#                   Stadt             x-Koordinate             y-Koordinate
                        3    4.000000000000000E+01    2.090000000000000E+03
                       26    4.900000000000000E+02    2.130000000000000E+03
                        9    7.900000000000000E+02    2.260000000000000E+03
                       12    1.170000000000000E+03    2.300000000000000E+03
                        6    1.030000000000000E+03    2.070000000000000E+03
                       28    1.260000000000000E+03    1.910000000000000E+03
                        1    1.150000000000000E+03    1.760000000000000E+03
                       24    1.260000000000000E+03    1.500000000000000E+03
                       13    9.700000000000000E+02    1.340000000000000E+03
                       16    1.280000000000000E+03    1.200000000000000E+03
                       27    1.460000000000000E+03    1.420000000000000E+03
                        8    1.490000000000000E+03    1.630000000000000E+03
                       23    1.840000000000000E+03    1.240000000000000E+03
                        7    1.650000000000000E+03    6.500000000000000E+02
                       25    1.280000000000000E+03    7.900000000000000E+02
                       19    1.040000000000000E+03    9.500000000000000E+02
                       11    8.400000000000000E+02    5.500000000000000E+02
                       22    4.900000000000000E+02    5.000000000000000E+02
                       17    2.300000000000000E+02    5.900000000000000E+02
                       14    5.100000000000000E+02    7.000000000000000E+02
                       18    4.600000000000000E+02    8.600000000000000E+02
                       15    7.500000000000000E+02    9.000000000000000E+02
                        4    7.500000000000000E+02    1.100000000000000E+03
                       10    7.100000000000000E+02    1.310000000000000E+03
                       20    5.900000000000000E+02    1.390000000000000E+03
                        2    6.300000000000000E+02    1.660000000000000E+03
                       21    8.300000000000000E+02    1.770000000000000E+03
                        5    7.500000000000000E+02    2.030000000000000E+03
                       29    3.600000000000000E+02    1.980000000000000E+03
