#                 1000000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    8.766650000000000E-01    1.892570731713649E+04
                       10    6.356665000000000E+00    1.738406789451833E+04
                       20    1.223333100000000E+01    1.452319420530648E+04
                       30    1.815666400000000E+01    1.355036554938853E+04
                       40    2.403332900000000E+01    1.306509601727752E+04
                       50    2.983332900000000E+01    1.214113202169860E+04
                       60    3.606999600000000E+01    1.173656439832083E+04
                       70    4.186666200000000E+01    1.153775175016529E+04
                       80    4.799332700000000E+01    1.104067248226020E+04
                       90    5.417332600000000E+01    1.073646964348259E+04
                      100    6.039666000000000E+01    1.067964938111116E+04
                      110    6.656999200000000E+01    1.030121264689302E+04
                      120    7.278332500000000E+01    1.018829905343759E+04
                      130    7.898999100000000E+01    1.008817597155201E+04
                      140    8.520999000000000E+01    9.891661954773168E+03
                      150    9.136998900000000E+01    9.781053060056935E+03
                      160    9.745998899999999E+01    9.732597004426025E+03
                      170    1.036866550000000E+02    9.560379388890977E+03
                      180    1.098399880000000E+02    9.374703299344686E+03
                      190    1.160466540000000E+02    9.374703299344686E+03
                      200    1.221633200000000E+02    9.234446891335316E+03
                      210    1.283599860000000E+02    9.151270914287590E+03
                      220    1.345333190000000E+02    9.107194413076817E+03
                      230    1.406633180000000E+02    9.107194413076813E+03
                      240    1.464033180000000E+02    9.077917742743311E+03
                      250    1.526499830000000E+02    9.077917742743311E+03
                      260    1.585633160000000E+02    9.076982920396540E+03
                      270    1.647366500000000E+02    9.076982920396538E+03
                      280    1.708066480000000E+02    9.076982920396538E+03
                      290    1.766633150000000E+02    9.076982920396538E+03
                      300    1.826699800000000E+02    9.076982920396538E+03
                      310    1.886333140000000E+02    9.076982920396538E+03
                      320    1.944633130000000E+02    9.076982920396538E+03
                      330    2.002399790000000E+02    9.076982920396538E+03
                      340    2.060199780000000E+02    9.076982920396538E+03
                      350    2.120933110000000E+02    9.076982920396538E+03
                      360    2.178699770000000E+02    9.076982920396538E+03
                      370    2.240299770000000E+02    9.076982920396538E+03
                      380    2.301566430000000E+02    9.076982920396538E+03
                      390    2.359333090000000E+02    9.076982920396538E+03
                      400    2.416966420000000E+02    9.076982920396538E+03
                      410    2.497766400000000E+02    9.076982920396538E+03
                      420    2.557633070000000E+02    9.076982920396538E+03
                      430    2.618033060000000E+02    9.076982920396538E+03
                      440    2.678899730000000E+02    9.076982920396538E+03
                      450    2.738966380000000E+02    9.076982920396538E+03
                      460    2.800266380000000E+02    9.076982920396538E+03
                      470    2.861799700000000E+02    9.076982920396538E+03
                      480    2.923699700000000E+02    9.076982920396538E+03
                      490    2.982966360000000E+02    9.074148047872843E+03
                      500    3.045066350000000E+02    9.074148047872843E+03
                      510    3.101633010000000E+02    9.074148047872843E+03
                      520    3.177399670000000E+02    9.074148047872843E+03
                      530    3.243999670000000E+02    9.074148047872841E+03
                      540    3.300499660000000E+02    9.074148047872841E+03
                      550    3.361032990000000E+02    9.074148047872841E+03
                      560    3.419466310000000E+02    9.074148047872841E+03
                      570    3.481466310000000E+02    9.074148047872841E+03
                      580    3.542699640000000E+02    9.074148047872841E+03
                      590    3.601199630000000E+02    9.074148047872841E+03
                      600    3.662499630000000E+02    9.074148047872841E+03
                      610    3.724032950000000E+02    9.074148047872841E+03
                      620    3.786299610000000E+02    9.074148047872841E+03
                      630    3.847066270000000E+02    9.074148047872841E+03
                      640    3.909066270000000E+02    9.074148047872841E+03
                      650    3.968566260000000E+02    9.074148047872841E+03
                      660    4.026732920000000E+02    9.074148047872841E+03
                      670    4.087532910000000E+02    9.074148047872841E+03
                      680    4.148466240000000E+02    9.074148047872841E+03
                      690    4.206199570000000E+02    9.074148047872841E+03
                      700    4.265466230000000E+02    9.074148047872841E+03
                      710    4.323932890000000E+02    9.074148047872841E+03
                      720    4.384332890000000E+02    9.074148047872841E+03
                      730    4.445866220000000E+02    9.074148047872841E+03
                      740    4.507266210000000E+02    9.074148047872841E+03
                      750    4.566099530000000E+02    9.074148047872841E+03
                      760    4.624199530000000E+02    9.074148047872841E+03
                      770    4.686132860000000E+02    9.074148047872841E+03
                      780    4.748066190000000E+02    9.074148047872841E+03
                      790    4.810366170000000E+02    9.074148047872841E+03
                      800    4.872199500000000E+02    9.074148047872841E+03
                      810    4.937532830000000E+02    9.074148047872841E+03
                      820    5.030566150000000E+02    9.074148047872841E+03
                      830    5.090499480000000E+02    9.074148047872841E+03
                      840    5.147899480000000E+02    9.074148047872841E+03
                      850    5.205432810000000E+02    9.074148047872841E+03
                      860    5.262699460000000E+02    9.074148047872841E+03
                      870    5.322399460000000E+02    9.074148047872841E+03
                      880    5.379766120000000E+02    9.074148047872841E+03
                      890    5.481866110000000E+02    9.074148047872841E+03
                      900    5.545966110000001E+02    9.074148047872841E+03
                      910    5.604599430000000E+02    9.074148047872841E+03
                      920    5.665932759999999E+02    9.074148047872841E+03
                      930    5.724632750000000E+02    9.074148047872841E+03
                      940    5.783332750000000E+02    9.074148047872841E+03
                      950    5.841599410000000E+02    9.074148047872841E+03
                      960    5.899266070000000E+02    9.074148047872841E+03
                      970    5.957799390000000E+02    9.074148047872841E+03
                      980    6.016799390000000E+02    9.074148047872841E+03
                      990    6.079199380000000E+02    9.074148047872841E+03
                     1000    6.139966040000000E+02    9.074148047872841E+03
                     1010    6.201266030000000E+02    9.074148047872841E+03
