#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    8.766650000000000E-01    2.559493746801115E+04
                       10    6.356665000000000E+00    2.111291671454080E+04
                       20    1.223333100000000E+01    1.859631378846024E+04
                       30    1.815666400000000E+01    1.685932921873016E+04
                       40    2.403332900000000E+01    1.533877561838278E+04
                       50    2.983332900000000E+01    1.431192598812761E+04
                       60    3.606999600000000E+01    1.349036998402991E+04
                       70    4.186666200000000E+01    1.280056518992232E+04
                       80    4.799332700000000E+01    1.233594861957850E+04
                       90    5.417332600000000E+01    1.198639912733727E+04
                      100    6.039666000000000E+01    1.164453676996951E+04
                      110    6.656999200000000E+01    1.133728689483871E+04
                      120    7.278332500000000E+01    1.111069642793472E+04
                      130    7.898999100000000E+01    1.085816057891955E+04
                      140    8.520999000000000E+01    1.069104101127526E+04
                      150    9.136998900000000E+01    1.054198846958586E+04
                      160    9.745998899999999E+01    1.043967588909230E+04
                      170    1.036866550000000E+02    1.031092352272642E+04
                      180    1.098399880000000E+02    1.026541017725947E+04
                      190    1.160466540000000E+02    1.021621082715112E+04
                      200    1.221633200000000E+02    1.018040449336142E+04
                      210    1.283599860000000E+02    1.014941462239054E+04
                      220    1.345333190000000E+02    1.009830555097087E+04
                      230    1.406633180000000E+02    1.009299737089606E+04
                      240    1.464033180000000E+02    1.004291293252419E+04
                      250    1.526499830000000E+02    1.004868106241527E+04
                      260    1.585633160000000E+02    1.004652559222969E+04
                      270    1.647366500000000E+02    1.002797875922227E+04
                      280    1.708066480000000E+02    1.002620156097538E+04
                      290    1.766633150000000E+02    9.989112794632070E+03
                      300    1.826699800000000E+02    9.986242743620460E+03
                      310    1.886333140000000E+02    9.977307571207017E+03
                      320    1.944633130000000E+02    9.986804412180934E+03
                      330    2.002399790000000E+02    9.996389418897295E+03
                      340    2.060199780000000E+02    9.981352491584244E+03
                      350    2.120933110000000E+02    9.987390819695476E+03
                      360    2.178699770000000E+02    9.987786363974350E+03
                      370    2.240299770000000E+02    9.999735818517382E+03
                      380    2.301566430000000E+02    9.986452824128339E+03
                      390    2.359333090000000E+02    9.975780947028656E+03
                      400    2.416966420000000E+02    9.983877569412769E+03
                      410    2.497766400000000E+02    9.988471055181046E+03
                      420    2.557633070000000E+02    9.981115869264589E+03
                      430    2.618033060000000E+02    9.993252436272451E+03
                      440    2.678899730000000E+02    9.994991529881601E+03
                      450    2.738966380000000E+02    9.982357552312433E+03
                      460    2.800266380000000E+02    9.975809104126585E+03
                      470    2.861799700000000E+02    9.983882157023461E+03
                      480    2.923699700000000E+02    9.973441871296936E+03
                      490    2.982966360000000E+02    9.972463142471152E+03
                      500    3.045066350000000E+02    9.996210462766101E+03
                      510    3.101633010000000E+02    9.997867027858429E+03
                      520    3.177399670000000E+02    9.973337192355624E+03
                      530    3.243999670000000E+02    9.983039955827997E+03
                      540    3.300499660000000E+02    9.985623847786086E+03
                      550    3.361032990000000E+02    9.994526294659108E+03
                      560    3.419466310000000E+02    9.979484784013934E+03
                      570    3.481466310000000E+02    9.963823422172551E+03
                      580    3.542699640000000E+02    9.988718135404024E+03
                      590    3.601199630000000E+02    9.969349690344505E+03
                      600    3.662499630000000E+02    9.983502882493991E+03
                      610    3.724032950000000E+02    9.997187922111374E+03
                      620    3.786299610000000E+02    9.981632163111006E+03
                      630    3.847066270000000E+02    9.981444912471296E+03
                      640    3.909066270000000E+02    9.988210752157782E+03
                      650    3.968566260000000E+02    9.978925185112330E+03
                      660    4.026732920000000E+02    9.993928715709353E+03
                      670    4.087532910000000E+02    9.978877949739057E+03
                      680    4.148466240000000E+02    9.983221186115536E+03
                      690    4.206199570000000E+02    9.968043696448269E+03
                      700    4.265466230000000E+02    9.975902669834715E+03
                      710    4.323932890000000E+02    9.992905847462040E+03
                      720    4.384332890000000E+02    9.971175232057703E+03
                      730    4.445866220000000E+02    9.978091255041329E+03
                      740    4.507266210000000E+02    9.982604483651794E+03
                      750    4.566099530000000E+02    9.991027768980726E+03
                      760    4.624199530000000E+02    9.984709970419832E+03
                      770    4.686132860000000E+02    1.000130580325719E+04
                      780    4.748066190000000E+02    9.982786778846870E+03
                      790    4.810366170000000E+02    9.997743572936923E+03
                      800    4.872199500000000E+02    9.989476147792202E+03
                      810    4.937532830000000E+02    9.990618183433409E+03
                      820    5.030566150000000E+02    9.997875425528295E+03
                      830    5.090499480000000E+02    9.994388146799531E+03
                      840    5.147899480000000E+02    9.981569914282158E+03
                      850    5.205432810000000E+02    9.928049635061827E+03
                      860    5.262699460000000E+02    9.955008009069490E+03
                      870    5.322399460000000E+02    9.919791337128971E+03
                      880    5.379766120000000E+02    9.927312500549509E+03
                      890    5.481866110000000E+02    9.920599785089869E+03
                      900    5.545966110000001E+02    9.930704313400271E+03
                      910    5.604599430000000E+02    9.914991377389984E+03
                      920    5.665932759999999E+02    9.913063840572260E+03
                      930    5.724632750000000E+02    9.914059597672373E+03
                      940    5.783332750000000E+02    9.917963153457738E+03
                      950    5.841599410000000E+02    9.938298991383803E+03
                      960    5.899266070000000E+02    9.925228264016689E+03
                      970    5.957799390000000E+02    9.907245817123199E+03
                      980    6.016799390000000E+02    9.924181128682800E+03
                      990    6.079199380000000E+02    9.903136218023472E+03
                     1000    6.139966040000000E+02    9.918985886838916E+03
                     1010    6.201266030000000E+02    9.918323475550111E+03
