#                   Stadt             x-Koordinate             y-Koordinate
                       51    1.340000000000000E+03    7.250000000000000E+02
                       11    1.605000000000000E+03    6.200000000000000E+02
                       52    1.740000000000000E+03    2.450000000000000E+02
                       14    1.530000000000000E+03    5.000000000000000E+00
                       13    1.465000000000000E+03    2.000000000000000E+02
                       47    1.170000000000000E+03    6.500000000000000E+01
                       26    1.215000000000000E+03    2.450000000000000E+02
                       27    1.320000000000000E+03    3.150000000000000E+02
                       28    1.250000000000000E+03    4.000000000000000E+02
                       12    1.220000000000000E+03    5.800000000000000E+02
                       25    9.750000000000000E+02    5.800000000000000E+02
                        4    9.450000000000000E+02    6.850000000000000E+02
                        6    8.800000000000000E+02    6.600000000000000E+02
                       15    8.450000000000000E+02    6.800000000000000E+02
                        5    8.450000000000000E+02    6.550000000000000E+02
                       24    8.350000000000000E+02    6.250000000000000E+02
                       48    8.300000000000000E+02    6.100000000000000E+02
                       38    7.950000000000000E+02    6.450000000000000E+02
                       37    7.700000000000000E+02    6.100000000000000E+02
                       40    7.600000000000000E+02    6.500000000000000E+02
                       39    7.200000000000000E+02    6.350000000000000E+02
                       36    6.850000000000000E+02    6.100000000000000E+02
                       35    6.850000000000000E+02    5.950000000000000E+02
                       34    7.000000000000000E+02    5.800000000000000E+02
                       44    7.000000000000000E+02    5.000000000000000E+02
                       46    8.300000000000000E+02    4.850000000000000E+02
                       16    7.250000000000000E+02    3.700000000000000E+02
                       29    6.600000000000000E+02    1.800000000000000E+02
                       50    5.950000000000000E+02    3.600000000000000E+02
                       20    5.600000000000000E+02    3.650000000000000E+02
                       23    4.800000000000000E+02    4.150000000000000E+02
                       30    4.100000000000000E+02    2.500000000000000E+02
                        2    2.500000000000000E+01    1.850000000000000E+02
                        7    2.500000000000000E+01    2.300000000000000E+02
                       42    9.500000000000000E+01    2.600000000000000E+02
                       21    3.000000000000000E+02    4.650000000000000E+02
                       17    1.450000000000000E+02    6.650000000000000E+02
                        3    3.450000000000000E+02    7.500000000000000E+02
                       18    4.150000000000000E+02    6.350000000000000E+02
                       31    4.200000000000000E+02    5.550000000000000E+02
                       22    5.200000000000000E+02    5.850000000000000E+02
                        1    5.650000000000000E+02    5.750000000000000E+02
                       49    6.050000000000000E+02    6.250000000000000E+02
                       32    5.750000000000000E+02    6.650000000000000E+02
                       45    5.550000000000000E+02    8.150000000000000E+02
                       19    5.100000000000000E+02    8.750000000000000E+02
                       41    4.750000000000000E+02    9.600000000000000E+02
                        8    5.250000000000000E+02    1.000000000000000E+03
                        9    5.800000000000000E+02    1.175000000000000E+03
                       10    6.500000000000000E+02    1.130000000000000E+03
                       43    8.750000000000000E+02    9.200000000000000E+02
                       33    1.150000000000000E+03    1.160000000000000E+03
                       51    1.340000000000000E+03    7.250000000000000E+02
