#                 1000000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    2.066650000000000E-01    2.291888389374203E+04
                       10    1.376666000000000E+00    1.993571576149797E+04
                       20    2.576666000000000E+00    1.816903226424148E+04
                       30    3.716665000000000E+00    1.637995767439028E+04
                       40    4.929998000000000E+00    1.564641939333603E+04
                       50    6.059998000000000E+00    1.494783884820519E+04
                       60    7.123332000000000E+00    1.469964250973796E+04
                       70    8.203331000000000E+00    1.324199974840725E+04
                       80    9.279998000000001E+00    1.355595070328732E+04
                       90    1.029999800000000E+01    1.307306586716463E+04
                      100    1.133999700000000E+01    1.275991300335012E+04
                      110    1.228666400000000E+01    1.242714460721416E+04
                      120    1.330999800000000E+01    1.214534116540344E+04
                      130    1.432333100000000E+01    1.166026192381358E+04
                      140    1.526333000000000E+01    1.158599093719571E+04
                      150    1.626333100000000E+01    1.148452508124961E+04
                      160    1.717333100000000E+01    1.136505972885234E+04
                      170    1.815999700000000E+01    1.121606734774766E+04
                      180    1.916999700000000E+01    1.108159850924657E+04
                      190    2.009999700000000E+01    1.086822762682020E+04
                      200    2.096666300000000E+01    1.057914217014409E+04
                      210    2.182333000000000E+01    1.056511736444242E+04
                      220    2.269666300000000E+01    1.037902517880390E+04
                      230    2.358666300000000E+01    1.035742108013126E+04
                      240    2.449999700000000E+01    1.031197581968541E+04
                      250    2.541666300000000E+01    1.031197581968541E+04
                      260    2.631999600000000E+01    1.019858303661163E+04
                      270    2.724333000000000E+01    1.019858303661163E+04
                      280    2.818999600000000E+01    9.788439302904815E+03
                      290    2.910333000000000E+01    9.788439302904815E+03
                      300    2.999333000000000E+01    9.766835204232182E+03
                      310    3.087666300000000E+01    9.661069807488253E+03
                      320    3.175999600000000E+01    9.556825898748011E+03
                      330    3.259999500000000E+01    9.645778299715876E+03
                      340    3.349332900000000E+01    9.624256776407732E+03
                      350    3.443666200000000E+01    9.392643372250932E+03
                      360    3.536332900000000E+01    9.392643372250932E+03
                      370    3.620666200000000E+01    9.223014653751798E+03
                      380    3.707999600000000E+01    9.223014653751798E+03
                      390    3.795666100000000E+01    9.223014653751798E+03
                      400    3.880666200000000E+01    9.223014653751798E+03
                      410    3.977332800000000E+01    9.223014653751798E+03
