#                 1000000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    2.129511250000000E-01    1.079313817686321E+04
                       10    6.161755000000001E-01    9.510847552766654E+03
                       20    1.120613000000000E+00    8.592958990243425E+03
                       30    1.656359125000000E+00    8.445176992550842E+03
                       40    2.160646375000000E+00    8.239723832531474E+03
                       50    2.629066875000000E+00    8.239723832531474E+03
                       60    3.116191125000000E+00    8.127678035436747E+03
                       70    3.616939875000000E+00    8.127678035436747E+03
                       80    4.168540250000000E+00    7.899623873462568E+03
                       90    4.567067750000001E+00    7.851236419680474E+03
                      100    5.122130625000000E+00    7.707618492403841E+03
                      110    5.685180250000000E+00    7.707618492403841E+03
                      120    6.225445625000000E+00    7.707618492403841E+03
                      130    6.703236125000000E+00    7.544365901904089E+03
                      140    7.197069375000000E+00    7.544365901904089E+03
                      150    7.711657125000000E+00    7.544365901904089E+03
                      160    8.188096125000000E+00    7.544365901904089E+03
                      170    8.696840874999999E+00    7.544365901904089E+03
                      180    9.255658125000000E+00    7.544365901904089E+03
                      190    9.801723500000000E+00    7.544365901904089E+03
                      200    1.037960837500000E+01    7.544365901904089E+03
                      210    1.084023462500000E+01    7.544365901904089E+03
                      220    1.131721662500000E+01    7.544365901904089E+03
                      230    1.184399912500000E+01    7.544365901904089E+03
                      240    1.232371062500000E+01    7.544365901904089E+03
                      250    1.283886912500000E+01    7.544365901904089E+03
                      260    1.334997025000000E+01    7.544365901904089E+03
                      270    1.388997775000000E+01    7.544365901904089E+03
                      280    1.442746837500000E+01    7.544365901904089E+03
                      290    1.482718237500000E+01    7.544365901904089E+03
                      300    1.530120987500000E+01    7.544365901904089E+03
                      310    1.575798937500000E+01    7.544365901904089E+03
                      320    1.622563987500000E+01    7.544365901904089E+03
                      330    1.677573887500000E+01    7.544365901904089E+03
                      340    1.729100775000000E+01    7.544365901904089E+03
                      350    1.785335550000000E+01    7.544365901904089E+03
                      360    1.839680937500000E+01    7.544365901904089E+03
                      370    1.888931700000000E+01    7.544365901904089E+03
                      380    1.939305537500000E+01    7.544365901904089E+03
                      390    1.989364125000000E+01    7.544365901904089E+03
                      400    2.039582700000000E+01    7.544365901904089E+03
                      410    2.095227325000000E+01    7.544365901904089E+03
                      420    2.149744450000000E+01    7.544365901904089E+03
                      430    2.199311725000000E+01    7.544365901904089E+03
                      440    2.254739162500000E+01    7.544365901904089E+03
                      450    2.305612525000000E+01    7.544365901904089E+03
                      460    2.362169862500000E+01    7.544365901904089E+03
                      470    2.417482775000000E+01    7.544365901904089E+03
                      480    2.464711550000000E+01    7.544365901904089E+03
                      490    2.525987600000000E+01    7.544365901904089E+03
                      500    2.577582950000000E+01    7.544365901904089E+03
                      510    2.631920950000000E+01    7.544365901904089E+03
                      520    2.687008975000000E+01    7.544365901904089E+03
                      530    2.741828087500000E+01    7.544365901904089E+03
                      540    2.794034450000000E+01    7.544365901904089E+03
                      550    2.847808575000000E+01    7.544365901904089E+03
                      560    2.897186412500000E+01    7.544365901904089E+03
                      570    2.945515662500000E+01    7.544365901904089E+03
                      580    3.000505912500000E+01    7.544365901904089E+03
                      590    3.053784475000000E+01    7.544365901904089E+03
                      600    3.101716812500000E+01    7.544365901904089E+03
                      610    3.138950987500000E+01    7.544365901904089E+03
                      620    3.193068675000000E+01    7.544365901904089E+03
                      630    3.242460712500000E+01    7.544365901904089E+03
                      640    3.298068287500000E+01    7.544365901904089E+03
                      650    3.352297262500000E+01    7.544365901904089E+03
                      660    3.395254762500000E+01    7.544365901904089E+03
                      670    3.451503987500000E+01    7.544365901904089E+03
                      680    3.505338487500000E+01    7.544365901904089E+03
                      690    3.555139037500000E+01    7.544365901904089E+03
                      700    3.608929775000000E+01    7.544365901904089E+03
                      710    3.660157762500000E+01    7.544365901904089E+03
                      720    3.711727212500000E+01    7.544365901904089E+03
                      730    3.765203462500000E+01    7.544365901904089E+03
                      740    3.816357387500000E+01    7.544365901904089E+03
                      750    3.859861662500000E+01    7.544365901904089E+03
                      760    3.917597700000000E+01    7.544365901904089E+03
                      770    3.968141587500000E+01    7.544365901904089E+03
                      780    4.014080250000000E+01    7.544365901904089E+03
                      790    4.056899337500000E+01    7.544365901904089E+03
                      800    4.098528262500000E+01    7.544365901904089E+03
                      810    4.154178462500000E+01    7.544365901904089E+03
                      820    4.207164650000000E+01    7.544365901904089E+03
                      830    4.248219100000000E+01    7.544365901904089E+03
                      840    4.297577200000000E+01    7.544365901904089E+03
                      850    4.357436325000000E+01    7.544365901904089E+03
                      860    4.411095687500000E+01    7.544365901904089E+03
                      870    4.463585850000000E+01    7.544365901904089E+03
                      880    4.520812150000000E+01    7.544365901904089E+03
                      890    4.571553000000000E+01    7.544365901904089E+03
                      900    4.623165012500000E+01    7.544365901904089E+03
                      910    4.680842562500000E+01    7.544365901904089E+03
                      920    4.724596262500000E+01    7.544365901904089E+03
                      930    4.779381362500000E+01    7.544365901904089E+03
                      940    4.838438375000000E+01    7.544365901904089E+03
                      950    4.888017475000000E+01    7.544365901904089E+03
                      960    4.937716487500000E+01    7.544365901904089E+03
                      970    4.987251662500000E+01    7.544365901904089E+03
                      980    5.037711300000000E+01    7.544365901904089E+03
                      990    5.079288087500000E+01    7.544365901904089E+03
                     1000    5.123116837500000E+01    7.544365901904089E+03
                     1010    5.167404700000000E+01    7.544365901904089E+03
                     1020    5.219045362500000E+01    7.544365901904089E+03
                     1030    5.274267062500000E+01    7.544365901904089E+03
                     1040    5.326759462500000E+01    7.544365901904089E+03
                     1050    5.375317087500000E+01    7.544365901904089E+03
                     1060    5.426887250000000E+01    7.544365901904089E+03
                     1070    5.480689850000000E+01    7.544365901904089E+03
                     1080    5.535647025000000E+01    7.544365901904089E+03
                     1090    5.576045612500000E+01    7.544365901904089E+03
                     1100    5.628812262500000E+01    7.544365901904089E+03
                     1110    5.680428050000000E+01    7.544365901904089E+03
                     1120    5.733903837500000E+01    7.544365901904089E+03
                     1130    5.775549775000000E+01    7.544365901904089E+03
                     1140    5.823559887500000E+01    7.544365901904089E+03
                     1150    5.879095887500000E+01    7.544365901904089E+03
                     1160    5.930409337500000E+01    7.544365901904089E+03
                     1170    5.985221600000000E+01    7.544365901904089E+03
                     1180    6.037244387500000E+01    7.544365901904089E+03
                     1190    6.075995350000000E+01    7.544365901904089E+03
                     1200    6.126687087500000E+01    7.544365901904089E+03
                     1210    6.158941787500000E+01    7.544365901904089E+03
                     1220    6.208960687500000E+01    7.544365901904089E+03
                     1230    6.263034325000000E+01    7.544365901904089E+03
                     1240    6.314925475000000E+01    7.544365901904089E+03
                     1250    6.366609187500000E+01    7.544365901904089E+03
                     1260    6.411403237500001E+01    7.544365901904089E+03
                     1270    6.450141925000001E+01    7.544365901904089E+03
                     1280    6.501090812500000E+01    7.544365901904089E+03
                     1290    6.551263850000001E+01    7.544365901904089E+03
                     1300    6.597869675000001E+01    7.544365901904089E+03
                     1310    6.645450650000001E+01    7.544365901904089E+03
                     1320    6.701765437500001E+01    7.544365901904089E+03
                     1330    6.755631312500000E+01    7.544365901904089E+03
                     1340    6.807550387500001E+01    7.544365901904089E+03
                     1350    6.853588462500001E+01    7.544365901904089E+03
                     1360    6.903004600000000E+01    7.544365901904089E+03
                     1370    6.957572300000001E+01    7.544365901904089E+03
                     1380    6.997342387500001E+01    7.544365901904089E+03
                     1390    7.053420750000001E+01    7.544365901904089E+03
