#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    2.066650000000000E-01    2.887363037300609E+04
                       10    1.376666000000000E+00    2.403507917231239E+04
                       20    2.576666000000000E+00    2.147793987575990E+04
                       30    3.716665000000000E+00    1.977547450612949E+04
                       40    4.929998000000000E+00    1.858432921896403E+04
                       50    6.059998000000000E+00    1.764335997804700E+04
                       60    7.123332000000000E+00    1.692330675479572E+04
                       70    8.203331000000000E+00    1.625932784658108E+04
                       80    9.279998000000001E+00    1.558171492029083E+04
                       90    1.029999800000000E+01    1.469164327797964E+04
                      100    1.133999700000000E+01    1.422982310693514E+04
                      110    1.228666400000000E+01    1.383828688691377E+04
                      120    1.330999800000000E+01    1.344994326298883E+04
                      130    1.432333100000000E+01    1.299604814626373E+04
                      140    1.526333000000000E+01    1.260335934757144E+04
                      150    1.626333100000000E+01    1.227637508871159E+04
                      160    1.717333100000000E+01    1.212909894972508E+04
                      170    1.815999700000000E+01    1.188541109356140E+04
                      180    1.916999700000000E+01    1.180235864775816E+04
                      190    2.009999700000000E+01    1.166627719888319E+04
                      200    2.096666300000000E+01    1.151605398691865E+04
                      210    2.182333000000000E+01    1.134345679348773E+04
                      220    2.269666300000000E+01    1.120291145606911E+04
                      230    2.358666300000000E+01    1.104016073831181E+04
                      240    2.449999700000000E+01    1.099234030115192E+04
                      250    2.541666300000000E+01    1.090667922667998E+04
                      260    2.631999600000000E+01    1.083775842052768E+04
                      270    2.724333000000000E+01    1.083246019240053E+04
                      280    2.818999600000000E+01    1.076264622665504E+04
                      290    2.910333000000000E+01    1.066743019257019E+04
                      300    2.999333000000000E+01    1.060012698001211E+04
                      310    3.087666300000000E+01    1.055016778346214E+04
                      320    3.175999600000000E+01    1.046578242601038E+04
                      330    3.259999500000000E+01    1.042747710991592E+04
                      340    3.349332900000000E+01    1.032542543971428E+04
                      350    3.443666200000000E+01    1.032991350561323E+04
                      360    3.536332900000000E+01    1.027127702680988E+04
                      370    3.620666200000000E+01    1.020994871304615E+04
                      380    3.707999600000000E+01    1.016269457424437E+04
                      390    3.795666100000000E+01    1.009980547929945E+04
                      400    3.880666200000000E+01    9.991008728145707E+03
                      410    3.977332800000000E+01    9.976338056000111E+03
                      420    4.073999500000000E+01    9.944076175693130E+03
                      430    4.171332800000000E+01    9.928256816826848E+03
                      440    4.267666100000000E+01    9.836498745918723E+03
                      450    4.357332800000000E+01    9.835994918715227E+03
                      460    4.455999500000000E+01    9.807392176870595E+03
                      470    4.542999400000000E+01    9.833198985470377E+03
                      480    4.631332800000000E+01    9.842084938415883E+03
                      490    4.722332700000000E+01    9.798322391240170E+03
                      500    4.813999400000000E+01    9.737597691711779E+03
                      510    4.905999400000000E+01    9.666065451523547E+03
                      520    4.998999400000000E+01    9.649836933523351E+03
                      530    5.087666100000000E+01    9.651514305886711E+03
                      540    5.177666000000000E+01    9.717723558347227E+03
                      550    5.268332700000000E+01    9.637977290143037E+03
                      560    5.353999400000000E+01    9.616268052832233E+03
                      570    5.450999300000000E+01    9.585463968305256E+03
                      580    5.539999300000000E+01    9.564943923797320E+03
                      590    5.629332600000000E+01    9.587049346819227E+03
                      600    5.714999400000000E+01    9.580639939703904E+03
                      610    5.803665900000000E+01    9.575732231283528E+03
                      620    5.890666000000000E+01    9.587311331449337E+03
                      630    5.976999300000000E+01    9.602742192251193E+03
                      640    6.068332600000000E+01    9.544239420444912E+03
                      650    6.156999300000000E+01    9.475263081062623E+03
                      660    6.241999300000000E+01    9.412441640815148E+03
                      670    6.331999200000000E+01    9.441511840734285E+03
                      680    6.419332600000000E+01    9.420525998724068E+03
                      690    6.507999200000000E+01    9.403635500704197E+03
                      700    6.595665900000000E+01    9.438357951576409E+03
                      710    6.679332500000000E+01    9.411767784157804E+03
                      720    6.774332600000000E+01    9.426759071829081E+03
                      730    6.856332500000001E+01    9.384170007952929E+03
                      740    6.952999199999999E+01    9.375847428445835E+03
                      750    7.047665900000000E+01    9.351577751045330E+03
                      760    7.135999200000001E+01    9.347590058650132E+03
                      770    7.223665800000001E+01    9.337244283495855E+03
                      780    7.321332500000000E+01    9.356129086710142E+03
                      790    7.416332500000000E+01    9.389832605233181E+03
                      800    7.512999100000000E+01    9.377150232133583E+03
                      810    7.610665800000000E+01    9.360167891033243E+03
                      820    7.693665799999999E+01    9.342325939436118E+03
                      830    7.778999100000000E+01    9.386617892031923E+03
                      840    7.867332399999999E+01    9.348951264837637E+03
                      850    7.953332399999999E+01    9.279482543461094E+03
                      860    8.048665800000001E+01    9.292215924529592E+03
                      870    8.132999100000001E+01    9.262515154333349E+03
                      880    8.230665700000000E+01    9.270592403897588E+03
                      890    8.326999100000000E+01    9.212682172742647E+03
                      900    8.413665700000000E+01    9.172192391892106E+03
                      910    8.501332400000000E+01    9.192739337110335E+03
                      920    8.590665700000000E+01    9.214123931439197E+03
                      930    8.673332400000000E+01    9.196021312227342E+03
                      940    8.772999000000000E+01    9.155760771978859E+03
                      950    8.860332300000000E+01    9.145573210830857E+03
                      960    8.947665700000000E+01    9.137083639630284E+03
                      970    9.046999000000000E+01    9.146943079717998E+03
                      980    9.132332300000000E+01    9.167829252964213E+03
                      990    9.220999000000000E+01    9.161297588943835E+03
                     1000    9.310665600000000E+01    9.190193812547579E+03
                     1010    9.399332300000000E+01    9.151143898097314E+03
                     1020    9.487665600000000E+01    9.186720557046647E+03
                     1030    9.582665600000000E+01    9.211545105224997E+03
                     1040    9.674665600000000E+01    8.853642320497607E+03
                     1050    9.758665600000000E+01    8.714613125009304E+03
                     1060    9.844332300000001E+01    8.689931767812295E+03
                     1070    9.925332200000000E+01    8.663965311141390E+03
                     1080    1.000466560000000E+02    8.663286608880899E+03
                     1090    1.009333230000000E+02    8.669139879985229E+03
                     1100    1.018099890000000E+02    8.632688846699810E+03
                     1110    1.026866550000000E+02    8.647037513141267E+03
                     1120    1.035066560000000E+02    8.636048189350293E+03
                     1130    1.044199890000000E+02    8.613539753215842E+03
                     1140    1.053799880000000E+02    8.629578225674250E+03
                     1150    1.062599880000000E+02    8.655144613062628E+03
                     1160    1.071866550000000E+02    8.614622003445555E+03
                     1170    1.080999880000000E+02    8.616840530309195E+03
                     1180    1.089666550000000E+02    8.652620007015163E+03
                     1190    1.098099880000000E+02    8.621789215260276E+03
                     1200    1.106399880000000E+02    8.623006669729621E+03
                     1210    1.115133220000000E+02    8.640597151171447E+03
                     1220    1.124066540000000E+02    8.606941653938215E+03
                     1230    1.132233210000000E+02    8.627664895062528E+03
                     1240    1.141866540000000E+02    8.632852001629508E+03
                     1250    1.150566540000000E+02    8.632092683623669E+03
                     1260    1.159433200000000E+02    8.628520838223469E+03
                     1270    1.168133200000000E+02    8.630994982156641E+03
                     1280    1.177933210000000E+02    8.622039882205037E+03
                     1290    1.186599870000000E+02    8.623614110882070E+03
                     1300    1.196399870000000E+02    8.601986949018315E+03
                     1310    1.205099870000000E+02    8.611757329739867E+03
                     1320    1.213766540000000E+02    8.642556141534063E+03
                     1330    1.223499870000000E+02    8.608704613827191E+03
                     1340    1.232299870000000E+02    8.626002753304965E+03
                     1350    1.241966530000000E+02    8.603876665411570E+03
                     1360    1.251899860000000E+02    8.613097965877234E+03
                     1370    1.260633200000000E+02    8.624871444404504E+03
                     1380    1.269333200000000E+02    8.619031604552129E+03
                     1390    1.278533190000000E+02    8.613189677520257E+03
                     1400    1.286766530000000E+02    8.598370942894435E+03
                     1410    1.296466520000000E+02    8.604186790146281E+03
                     1420    1.305299860000000E+02    8.615477408559123E+03
                     1430    1.314133200000000E+02    8.609012751246986E+03
                     1440    1.323733200000000E+02    8.613970302734238E+03
                     1450    1.332099860000000E+02    8.602953810835901E+03
                     1460    1.342233190000000E+02    8.628838220305895E+03
                     1470    1.351099860000000E+02    8.604942977731216E+03
                     1480    1.360999850000000E+02    8.622605372216472E+03
                     1490    1.370866520000000E+02    8.602322874486861E+03
                     1500    1.380699850000000E+02    8.632163696575144E+03
                     1510    1.389566520000000E+02    8.637635273544600E+03
                     1520    1.398366520000000E+02    8.660787209615986E+03
                     1530    1.407233190000000E+02    8.616525186889910E+03
                     1540    1.416933180000000E+02    8.646186024527009E+03
                     1550    1.426466520000000E+02    8.637046431829598E+03
                     1560    1.436166520000000E+02    8.606507140602876E+03
                     1570    1.445999850000000E+02    8.623627959162528E+03
                     1580    1.454699840000000E+02    8.641997843778292E+03
                     1590    1.463466520000000E+02    8.634248272469444E+03
                     1600    1.472199850000000E+02    8.613234301349294E+03
                     1610    1.482033170000000E+02    8.611078080471465E+03
                     1620    1.491766510000000E+02    8.609320871007476E+03
                     1630    1.500566510000000E+02    8.625711808614373E+03
                     1640    1.509366510000000E+02    8.625832091458693E+03
                     1650    1.519133180000000E+02    8.597525744846764E+03
                     1660    1.527866510000000E+02    8.621268607328615E+03
                     1670    1.537466510000000E+02    8.630045823304486E+03
                     1680    1.546366510000000E+02    8.612670868250523E+03
                     1690    1.555966500000000E+02    8.622502978508361E+03
                     1700    1.564833170000000E+02    8.588707865173497E+03
                     1710    1.574466500000000E+02    8.595503690392929E+03
                     1720    1.583299830000000E+02    8.604188387010287E+03
                     1730    1.592066500000000E+02    8.616930833458056E+03
                     1740    1.600833160000000E+02    8.617800786872705E+03
                     1750    1.608899830000000E+02    8.625873182085576E+03
                     1760    1.618499830000000E+02    8.603945420939393E+03
                     1770    1.628299830000000E+02    8.605864146706197E+03
                     1780    1.637066490000000E+02    8.605967846367144E+03
                     1790    1.645899820000000E+02    8.608264025783379E+03
                     1800    1.654633160000000E+02    8.623885314958317E+03
                     1810    1.663999820000000E+02    8.611642312864875E+03
                     1820    1.672766490000000E+02    8.588632412565999E+03
                     1830    1.682599820000000E+02    8.637382458943059E+03
                     1840    1.691333160000000E+02    8.602273190877546E+03
                     1850    1.700199820000000E+02    8.624967029270381E+03
                     1860    1.708966480000000E+02    8.589129490987121E+03
                     1870    1.718633150000000E+02    8.629441385160138E+03
                     1880    1.726766490000000E+02    8.616526285702215E+03
                     1890    1.736666480000000E+02    8.609684986197328E+03
                     1900    1.746699810000000E+02    8.614225457322207E+03
                     1910    1.756466480000000E+02    8.630477872517249E+03
                     1920    1.765199820000000E+02    8.611565653887243E+03
                     1930    1.774066480000000E+02    8.610111911765551E+03
                     1940    1.782933140000000E+02    8.617380111146680E+03
                     1950    1.791666470000000E+02    8.620759050736275E+03
                     1960    1.800399810000000E+02    8.599774543780582E+03
                     1970    1.808833140000000E+02    8.619463694986749E+03
                     1980    1.817633140000000E+02    8.611490145145692E+03
                     1990    1.826333140000000E+02    8.556249211331764E+03
                     2000    1.835133140000000E+02    8.594936591853111E+03
                     2010    1.843833140000000E+02    8.623540723505579E+03
                     2020    1.853666470000000E+02    8.594091123078000E+03
                     2030    1.862466470000000E+02    8.624138277645547E+03
                     2040    1.871133130000000E+02    8.597687997842877E+03
                     2050    1.879999800000000E+02    8.618231077973109E+03
                     2060    1.888833130000000E+02    8.617563713433088E+03
                     2070    1.898433140000000E+02    8.595158556426402E+03
                     2080    1.908233140000000E+02    8.636793003141627E+03
                     2090    1.917033130000000E+02    8.619478544439640E+03
                     2100    1.926766460000000E+02    8.578357304154739E+03
                     2110    1.935566470000000E+02    8.619675014771539E+03
                     2120    1.944366460000000E+02    8.620956069270544E+03
                     2130    1.954033130000000E+02    8.581555992424845E+03
                     2140    1.963833120000000E+02    8.597358860503613E+03
                     2150    1.972566460000000E+02    8.600890744022730E+03
                     2160    1.981233120000000E+02    8.612074097295856E+03
                     2170    1.989699790000000E+02    8.597648630098507E+03
                     2180    1.998499790000000E+02    8.619654661312008E+03
                     2190    2.007299790000000E+02    8.575121551278578E+03
                     2200    2.016099790000000E+02    8.618035964259740E+03
                     2210    2.024866450000000E+02    8.620845345947788E+03
                     2220    2.034666450000000E+02    8.624195462716987E+03
                     2230    2.044399790000000E+02    8.605604754598189E+03
                     2240    2.053066450000000E+02    8.587765926729222E+03
                     2250    2.062799790000000E+02    8.607763753809017E+03
                     2260    2.072599790000000E+02    8.621079296737920E+03
                     2270    2.081366450000000E+02    8.609398214579782E+03
                     2280    2.091233120000000E+02    8.622509339013452E+03
                     2290    2.101066450000000E+02    8.568111947294976E+03
                     2300    2.110933110000000E+02    8.562777378418201E+03
                     2310    2.119699780000000E+02    8.572712950703270E+03
                     2320    2.128399780000000E+02    8.544483959092682E+03
                     2330    2.137199780000000E+02    8.589681334898018E+03
                     2340    2.145799780000000E+02    8.576534251824411E+03
                     2350    2.154499770000000E+02    8.583258503282665E+03
                     2360    2.163266440000000E+02    8.564352564436358E+03
                     2370    2.172099780000000E+02    8.580059031596582E+03
                     2380    2.180833110000000E+02    8.579003623452085E+03
                     2390    2.189633100000000E+02    8.584872342316688E+03
                     2400    2.198399770000000E+02    8.567944463660999E+03
                     2410    2.206433100000000E+02    8.586143751277636E+03
                     2420    2.215299770000000E+02    8.567317077654603E+03
                     2430    2.224933100000000E+02    8.555721420925009E+03
                     2440    2.233733100000000E+02    8.593812912166006E+03
                     2450    2.243566440000000E+02    8.575928851873970E+03
                     2460    2.252333100000000E+02    8.583849244097304E+03
                     2470    2.261133100000000E+02    8.575376371599887E+03
                     2480    2.269866430000000E+02    8.586156487409353E+03
                     2490    2.288966430000000E+02    8.583015438395843E+03
                     2500    2.315433090000000E+02    8.577435250231756E+03
                     2510    2.340166420000000E+02    8.573867924807855E+03
                     2520    2.357433080000000E+02    8.572237281871401E+03
                     2530    2.367233080000000E+02    8.578630461233388E+03
                     2540    2.377099760000000E+02    8.594473482893893E+03
                     2550    2.386933090000000E+02    8.567881383464559E+03
                     2560    2.395766420000000E+02    8.577685293646740E+03
                     2570    2.404499750000000E+02    8.573693798155582E+03
                     2580    2.412799750000000E+02    8.628922330240632E+03
                     2590    2.421599740000000E+02    8.578443250641807E+03
                     2600    2.431333080000000E+02    8.587143496757846E+03
                     2610    2.441066410000000E+02    8.564252881400571E+03
                     2620    2.449766410000000E+02    8.550504367529378E+03
                     2630    2.458499740000000E+02    8.570189331136753E+03
                     2640    2.467399740000000E+02    8.568093119076382E+03
                     2650    2.476199750000000E+02    8.566203881763608E+03
                     2660    2.484466410000000E+02    8.558591357080522E+03
                     2670    2.493199740000000E+02    8.584137221304658E+03
                     2680    2.501966410000000E+02    8.573086202705294E+03
                     2690    2.511666410000000E+02    8.577201373269581E+03
                     2700    2.520466410000000E+02    8.596772134832381E+03
                     2710    2.529133070000000E+02    8.571605989142090E+03
                     2720    2.538199740000000E+02    8.553133037755197E+03
