#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    2.129511250000000E-01    2.902207231916171E+04
                       10    6.161755000000001E-01    2.330782294502489E+04
                       20    1.120613000000000E+00    1.310856425672513E+04
                       30    1.656359125000000E+00    1.145437298560283E+04
                       40    2.160646375000000E+00    1.061813409899895E+04
                       50    2.629066875000000E+00    1.004592734610937E+04
                       60    3.116191125000000E+00    9.686189923634527E+03
                       70    3.616939875000000E+00    9.523844287546333E+03
                       80    4.168540250000000E+00    9.359989780042539E+03
                       90    4.567067750000001E+00    9.122372893725689E+03
                      100    5.122130625000000E+00    8.999891511271879E+03
                      110    5.685180250000000E+00    8.944289424343324E+03
                      120    6.225445625000000E+00    8.862707861139810E+03
                      130    6.703236125000000E+00    8.821349030920823E+03
                      140    7.197069375000000E+00    8.768891081591841E+03
                      150    7.711657125000000E+00    8.781579977854159E+03
                      160    8.188096125000000E+00    8.697244849495837E+03
                      170    8.696840874999999E+00    8.656162980396448E+03
                      180    9.255658125000000E+00    8.628095561664681E+03
                      190    9.801723500000000E+00    8.569136519533924E+03
                      200    1.037960837500000E+01    8.542696785917986E+03
                      210    1.084023462500000E+01    8.569847717572262E+03
                      220    1.131721662500000E+01    8.521016362591279E+03
                      230    1.184399912500000E+01    8.638776468238688E+03
                      240    1.232371062500000E+01    8.565959685362737E+03
                      250    1.283886912500000E+01    8.535633009882966E+03
                      260    1.334997025000000E+01    8.499531415855177E+03
                      270    1.388997775000000E+01    8.520470074734247E+03
                      280    1.442746837500000E+01    8.535051851933069E+03
                      290    1.482718237500000E+01    8.499758256493893E+03
                      300    1.530120987500000E+01    8.512046833634482E+03
                      310    1.575798937500000E+01    8.508714584878413E+03
                      320    1.622563987500000E+01    8.439496776224867E+03
                      330    1.677573887500000E+01    8.463227130058131E+03
                      340    1.729100775000000E+01    8.484674664945911E+03
                      350    1.785335550000000E+01    8.449660612828922E+03
                      360    1.839680937500000E+01    8.438906936836169E+03
                      370    1.888931700000000E+01    8.466058131384110E+03
                      380    1.939305537500000E+01    8.416575808900609E+03
                      390    1.989364125000000E+01    8.464359689691748E+03
                      400    2.039582700000000E+01    8.449124077794610E+03
                      410    2.095227325000000E+01    8.418811289547786E+03
                      420    2.149744450000000E+01    8.428835445147532E+03
                      430    2.199311725000000E+01    8.415561671785978E+03
                      440    2.254739162500000E+01    8.454566717254813E+03
                      450    2.305612525000000E+01    8.411585679406557E+03
                      460    2.362169862500000E+01    8.399007073740893E+03
                      470    2.417482775000000E+01    8.472017587519556E+03
                      480    2.464711550000000E+01    8.409215156705386E+03
                      490    2.525987600000000E+01    8.345210709571547E+03
                      500    2.577582950000000E+01    8.387328134096420E+03
                      510    2.631920950000000E+01    8.390602491842003E+03
                      520    2.687008975000000E+01    8.369178425328053E+03
                      530    2.741828087500000E+01    8.355754546811315E+03
                      540    2.794034450000000E+01    8.356530045098574E+03
                      550    2.847808575000000E+01    8.346780437248515E+03
                      560    2.897186412500000E+01    8.413714836652143E+03
                      570    2.945515662500000E+01    8.362633389996952E+03
                      580    3.000505912500000E+01    8.294819093864586E+03
                      590    3.053784475000000E+01    8.336735158817395E+03
                      600    3.101716812500000E+01    8.361429548876307E+03
                      610    3.138950987500000E+01    8.335589282700141E+03
                      620    3.193068675000000E+01    8.308135574836399E+03
                      630    3.242460712500000E+01    8.301131858817880E+03
                      640    3.298068287500000E+01    8.343351962845798E+03
                      650    3.352297262500000E+01    8.348745410965448E+03
                      660    3.395254762500000E+01    8.270080739677671E+03
                      670    3.451503987500000E+01    8.339735120611011E+03
                      680    3.505338487500000E+01    8.347934627782801E+03
                      690    3.555139037500000E+01    8.330971138741686E+03
                      700    3.608929775000000E+01    8.283549358412622E+03
                      710    3.660157762500000E+01    8.339793622055626E+03
                      720    3.711727212500000E+01    8.377192068943674E+03
                      730    3.765203462500000E+01    8.281497729368277E+03
                      740    3.816357387500000E+01    8.314020551593852E+03
                      750    3.859861662500000E+01    8.236871781825084E+03
                      760    3.917597700000000E+01    8.321724110161202E+03
                      770    3.968141587500000E+01    8.307424535779215E+03
                      780    4.014080250000000E+01    8.299000477153164E+03
                      790    4.056899337500000E+01    8.265842420743387E+03
                      800    4.098528262500000E+01    8.311416125061896E+03
                      810    4.154178462500000E+01    8.272946331564042E+03
                      820    4.207164650000000E+01    8.303566917478907E+03
                      830    4.248219100000000E+01    8.315909730628813E+03
                      840    4.297577200000000E+01    8.282229902758911E+03
                      850    4.357436325000000E+01    8.324441605138418E+03
                      860    4.411095687500000E+01    8.300884801121243E+03
                      870    4.463585850000000E+01    8.323927313410935E+03
                      880    4.520812150000000E+01    8.284680615548183E+03
                      890    4.571553000000000E+01    8.319452472018878E+03
                      900    4.623165012500000E+01    8.290404992011307E+03
                      910    4.680842562500000E+01    8.297240873320199E+03
                      920    4.724596262500000E+01    8.375957481986383E+03
                      930    4.779381362500000E+01    8.337811805724443E+03
                      940    4.838438375000000E+01    8.311157495211697E+03
                      950    4.888017475000000E+01    8.343516489092770E+03
                      960    4.937716487500000E+01    8.330333588628520E+03
                      970    4.987251662500000E+01    8.308368552738419E+03
                      980    5.037711300000000E+01    8.340420095276475E+03
                      990    5.079288087500000E+01    8.248378021981182E+03
                     1000    5.123116837500000E+01    8.295925015063862E+03
                     1010    5.167404700000000E+01    8.282259074268139E+03
                     1020    5.219045362500000E+01    8.316828035657156E+03
                     1030    5.274267062500000E+01    8.304151877125372E+03
                     1040    5.326759462500000E+01    8.276742501976207E+03
                     1050    5.375317087500000E+01    8.306966624744011E+03
                     1060    5.426887250000000E+01    8.289540690757884E+03
                     1070    5.480689850000000E+01    8.244357750126830E+03
                     1080    5.535647025000000E+01    8.274623913384326E+03
                     1090    5.576045612500000E+01    8.289389912592411E+03
                     1100    5.628812262500000E+01    8.321491178843185E+03
                     1110    5.680428050000000E+01    8.305937121560071E+03
                     1120    5.733903837500000E+01    8.309118478175205E+03
                     1130    5.775549775000000E+01    8.280247296934818E+03
                     1140    5.823559887500000E+01    8.277599122593178E+03
                     1150    5.879095887500000E+01    8.249588448320748E+03
                     1160    5.930409337500000E+01    8.287295962661059E+03
                     1170    5.985221600000000E+01    8.308418600616622E+03
                     1180    6.037244387500000E+01    8.322358292247753E+03
                     1190    6.075995350000000E+01    8.260959677315643E+03
                     1200    6.126687087500000E+01    8.285554393058079E+03
                     1210    6.158941787500000E+01    8.333186303807448E+03
                     1220    6.208960687500000E+01    8.307989132892972E+03
                     1230    6.263034325000000E+01    8.323535515513437E+03
                     1240    6.314925475000000E+01    8.282574270454528E+03
                     1250    6.366609187500000E+01    8.269745424036459E+03
                     1260    6.411403237500001E+01    8.267330710026939E+03
                     1270    6.450141925000001E+01    8.267757042438850E+03
                     1280    6.501090812500000E+01    8.258390398995707E+03
                     1290    6.551263850000001E+01    8.243741045348186E+03
                     1300    6.597869675000001E+01    8.318349608298857E+03
                     1310    6.645450650000001E+01    8.316217120215624E+03
                     1320    6.701765437500001E+01    8.288661675250962E+03
                     1330    6.755631312500000E+01    8.240496498736324E+03
                     1340    6.807550387500001E+01    8.279104543956568E+03
                     1350    6.853588462500001E+01    8.261744927939231E+03
                     1360    6.903004600000000E+01    8.306679870278545E+03
                     1370    6.957572300000001E+01    8.275865347986371E+03
                     1380    6.997342387500001E+01    8.224079188394131E+03
                     1390    7.053420750000001E+01    8.280295702073221E+03
                     1400    7.105569787500001E+01    8.281575214639121E+03
                     1410    7.156620775000000E+01    8.295906480578244E+03
                     1420    7.194376912500000E+01    8.236096467693389E+03
                     1430    7.238602762500001E+01    8.282678123968422E+03
                     1440    7.289778125000001E+01    8.283423608159632E+03
                     1450    7.348734525000000E+01    8.279340338076252E+03
                     1460    7.404976050000000E+01    8.229810005518329E+03
                     1470    7.459594325000000E+01    8.233075702735716E+03
                     1480    7.506689687500001E+01    8.282232476300882E+03
