#                   Stadt             x-Koordinate             y-Koordinate
                       20    2.700000000000000E+01    3.300000000000000E+01
                       17    3.300000000000000E+01    6.700000000000000E+01
                       23    5.800000000000000E+01    6.600000000000000E+01
                       22    5.700000000000000E+01    5.900000000000000E+01
                       21    5.200000000000000E+01    4.100000000000000E+01
                       28    8.300000000000000E+01    3.800000000000000E+01
                       29    8.500000000000000E+01    2.500000000000000E+01
                       30    1.040000000000000E+02    3.500000000000000E+01
                       31    1.120000000000000E+02    3.700000000000000E+01
                       32    1.120000000000000E+02    2.400000000000000E+01
                       33    1.130000000000000E+02    1.300000000000000E+01
                       34    1.250000000000000E+02    3.000000000000000E+01
                       35    1.350000000000000E+02    3.200000000000000E+01
                       36    1.470000000000000E+02    1.800000000000000E+01
                       37    1.475000000000000E+02    3.600000000000000E+01
                       38    1.545000000000000E+02    4.500000000000000E+01
                       39    1.570000000000000E+02    5.400000000000000E+01
                       40    1.580000000000000E+02    6.100000000000000E+01
                       41    1.720000000000000E+02    8.200000000000000E+01
                       42    1.740000000000000E+02    8.700000000000000E+01
                        1    1.700000000000000E+02    8.500000000000000E+01
                        2    1.660000000000000E+02    8.800000000000000E+01
                        3    1.330000000000000E+02    7.300000000000000E+01
                        4    1.400000000000000E+02    7.000000000000000E+01
                        5    1.420000000000000E+02    5.500000000000000E+01
                        6    1.260000000000000E+02    5.300000000000000E+01
                        7    1.250000000000000E+02    6.000000000000000E+01
                        8    1.190000000000000E+02    6.800000000000000E+01
                        9    1.170000000000000E+02    7.400000000000000E+01
                       10    9.900000000000000E+01    8.300000000000000E+01
                       25    9.900000000000000E+01    6.700000000000000E+01
                       26    9.500000000000000E+01    5.500000000000000E+01
                       27    8.900000000000000E+01    5.500000000000000E+01
                       24    8.800000000000000E+01    6.500000000000000E+01
                       11    7.300000000000000E+01    7.900000000000000E+01
                       12    7.200000000000000E+01    9.100000000000000E+01
                       13    3.700000000000000E+01    9.400000000000000E+01
                       16    2.100000000000000E+01    8.200000000000000E+01
                       14    6.000000000000000E+00    1.060000000000000E+02
                       15    3.000000000000000E+00    9.700000000000000E+01
                       18    4.000000000000000E+00    6.600000000000000E+01
                       19    3.000000000000000E+00    4.200000000000000E+01
                       20    2.700000000000000E+01    3.300000000000000E+01
