#                 1000000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    3.507212500000000E-02    8.738909284422002E+02
                       10    1.175406250000000E-01    7.593337856984454E+02
                       20    2.050912500000000E-01    6.862082366879520E+02
                       30    2.957183750000000E-01    6.862082366879520E+02
                       40    3.803943750000000E-01    6.862082366879520E+02
                       50    4.738163750000000E-01    6.862082366879520E+02
                       60    5.696836249999999E-01    6.862082366879520E+02
                       70    6.715061250000000E-01    6.862082366879520E+02
                       80    7.612876250000000E-01    6.862082366879520E+02
                       90    8.595266250000000E-01    6.862082366879520E+02
                      100    9.497996249999999E-01    6.862082366879520E+02
                      110    1.044983500000000E+00    6.862082366879520E+02
                      120    1.136145875000000E+00    6.862082366879520E+02
                      130    1.229282375000000E+00    6.862082366879520E+02
                      140    1.322654000000000E+00    6.823238292853569E+02
                      150    1.423446250000000E+00    6.823238292853569E+02
                      160    1.514874875000000E+00    6.823238292853569E+02
                      170    1.600009500000000E+00    6.823238292853569E+02
                      180    1.690652750000000E+00    6.823238292853569E+02
                      190    1.784287375000000E+00    6.823238292853569E+02
                      200    1.885818000000000E+00    6.823238292853569E+02
                      210    1.975488000000000E+00    6.823238292853569E+02
                      220    2.073624750000000E+00    6.823238292853569E+02
                      230    2.164905875000000E+00    6.823238292853569E+02
                      240    2.266296375000000E+00    6.823238292853569E+02
                      250    2.361540500000000E+00    6.823238292853569E+02
                      260    2.452617375000000E+00    6.823238292853569E+02
                      270    2.551182250000000E+00    6.823238292853569E+02
                      280    2.647583375000000E+00    6.823238292853569E+02
                      290    2.738767375000000E+00    6.823238292853569E+02
                      300    2.825854125000000E+00    6.823238292853569E+02
                      310    2.913065250000000E+00    6.823238292853569E+02
                      320    3.010737625000000E+00    6.823238292853569E+02
                      330    3.100924250000000E+00    6.823238292853569E+02
                      340    3.192380000000000E+00    6.823238292853569E+02
                      350    3.283050375000000E+00    6.823238292853569E+02
                      360    3.376007125000000E+00    6.823238292853569E+02
                      370    3.461026250000000E+00    6.823238292853569E+02
                      380    3.557242250000000E+00    6.823238292853569E+02
                      390    3.649062875000000E+00    6.823238292853569E+02
                      400    3.745490250000000E+00    6.823238292853569E+02
                      410    3.837890000000000E+00    6.823238292853569E+02
                      420    3.932556250000000E+00    6.823238292853569E+02
                      430    4.024299000000000E+00    6.823238292853569E+02
                      440    4.124916000000000E+00    6.823238292853569E+02
                      450    4.216170000000000E+00    6.823238292853569E+02
                      460    4.309703125000000E+00    6.823238292853569E+02
                      470    4.399645375000000E+00    6.823238292853569E+02
                      480    4.495094750000000E+00    6.823238292853569E+02
                      490    4.588808875000000E+00    6.823238292853569E+02
                      500    4.686872000000000E+00    6.823238292853569E+02
                      510    4.776204750000000E+00    6.823238292853569E+02
                      520    4.867918374999999E+00    6.823238292853569E+02
                      530    4.957316875000000E+00    6.823238292853569E+02
                      540    5.048444625000000E+00    6.792019032278332E+02
                      550    5.139926625000000E+00    6.792019032278332E+02
                      560    5.230441750000000E+00    6.792019032278332E+02
                      570    5.320097375000000E+00    6.792019032278332E+02
                      580    5.414049125000000E+00    6.792019032278332E+02
                      590    5.510575125000000E+00    6.792019032278332E+02
                      600    5.603602500000000E+00    6.792019032278332E+02
                      610    5.698541124999999E+00    6.792019032278332E+02
                      620    5.791074125000000E+00    6.792019032278332E+02
                      630    5.883092250000000E+00    6.792019032278332E+02
                      640    5.973615250000000E+00    6.792019032278332E+02
                      650    6.065475500000000E+00    6.792019032278332E+02
                      660    6.156399749999999E+00    6.792019032278332E+02
                      670    6.252607750000000E+00    6.792019032278332E+02
                      680    6.346514375000000E+00    6.792019032278332E+02
                      690    6.437272375000000E+00    6.792019032278332E+02
                      700    6.533040499999999E+00    6.792019032278332E+02
                      710    6.622512875000000E+00    6.792019032278332E+02
                      720    6.718734500000000E+00    6.792019032278332E+02
                      730    6.810922250000000E+00    6.792019032278332E+02
                      740    6.905181250000000E+00    6.792019032278332E+02
                      750    6.997488000000000E+00    6.792019032278332E+02
                      760    7.086415124999999E+00    6.792019032278332E+02
                      770    7.177969000000000E+00    6.792019032278332E+02
                      780    7.272852625000000E+00    6.792019032278332E+02
                      790    7.359875000000000E+00    6.792019032278332E+02
                      800    7.456922749999999E+00    6.792019032278332E+02
                      810    7.544702875000000E+00    6.792019032278332E+02
                      820    7.631627375000000E+00    6.792019032278332E+02
                      830    7.727965500000000E+00    6.792019032278332E+02
                      840    7.824113625000000E+00    6.792019032278332E+02
                      850    7.913583875000000E+00    6.792019032278332E+02
                      860    8.009607000000001E+00    6.792019032278332E+02
                      870    8.106100500000000E+00    6.792019032278332E+02
                      880    8.203571875000002E+00    6.792019032278332E+02
                      890    8.296978000000001E+00    6.792019032278332E+02
                      900    8.387426125000001E+00    6.792019032278332E+02
                      910    8.480160875000001E+00    6.792019032278332E+02
                      920    8.572028625000002E+00    6.792019032278332E+02
                      930    8.669607000000001E+00    6.792019032278332E+02
                      940    8.765632500000001E+00    6.792019032278332E+02
                      950    8.861255875000001E+00    6.792019032278332E+02
                      960    8.954278250000000E+00    6.792019032278332E+02
                      970    9.046203625000000E+00    6.792019032278332E+02
                      980    9.137357250000001E+00    6.792019032278332E+02
                      990    9.232162875000000E+00    6.792019032278332E+02
                     1000    9.323567625000001E+00    6.792019032278332E+02
                     1010    9.416454875000001E+00    6.792019032278332E+02
                     1020    9.504847375000001E+00    6.792019032278332E+02
                     1030    9.600597750000000E+00    6.792019032278332E+02
                     1040    9.697220750000001E+00    6.792019032278332E+02
                     1050    9.792485625000001E+00    6.792019032278332E+02
                     1060    9.889020875000000E+00    6.792019032278332E+02
                     1070    9.983065375000001E+00    6.792019032278332E+02
                     1080    1.007683750000000E+01    6.792019032278332E+02
                     1090    1.016813475000000E+01    6.792019032278332E+02
                     1100    1.026362050000000E+01    6.792019032278331E+02
                     1110    1.035435062500000E+01    6.792019032278331E+02
                     1120    1.044870050000000E+01    6.792019032278331E+02
                     1130    1.054507325000000E+01    6.792019032278331E+02
                     1140    1.064229137500000E+01    6.792019032278331E+02
                     1150    1.073140475000000E+01    6.792019032278331E+02
                     1160    1.082281987500000E+01    6.792019032278331E+02
                     1170    1.091528025000000E+01    6.792019032278331E+02
                     1180    1.100600187500000E+01    6.792019032278331E+02
                     1190    1.109994062500000E+01    6.792019032278331E+02
                     1200    1.119544212500000E+01    6.792019032278331E+02
                     1210    1.128578987500000E+01    6.792019032278331E+02
                     1220    1.137930175000000E+01    6.792019032278331E+02
                     1230    1.147281550000000E+01    6.792019032278331E+02
                     1240    1.156309375000000E+01    6.792019032278331E+02
                     1250    1.165485325000000E+01    6.792019032278331E+02
                     1260    1.174989500000000E+01    6.792019032278331E+02
                     1270    1.184304912500000E+01    6.792019032278331E+02
                     1280    1.193615075000000E+01    6.792019032278331E+02
                     1290    1.203406075000000E+01    6.792019032278331E+02
                     1300    1.212770100000000E+01    6.792019032278331E+02
                     1310    1.221540000000000E+01    6.792019032278331E+02
                     1320    1.230941650000000E+01    6.792019032278331E+02
                     1330    1.240156387500000E+01    6.792019032278331E+02
                     1340    1.249520437500000E+01    6.792019032278331E+02
                     1350    1.259287900000000E+01    6.792019032278331E+02
                     1360    1.268671400000000E+01    6.792019032278331E+02
                     1370    1.277921325000000E+01    6.792019032278331E+02
                     1380    1.287676537500000E+01    6.792019032278331E+02
                     1390    1.296799550000000E+01    6.792019032278331E+02
                     1400    1.306261537500000E+01    6.792019032278331E+02
                     1410    1.315314987500000E+01    6.792019032278331E+02
                     1420    1.324276750000000E+01    6.792019032278331E+02
                     1430    1.333579987500000E+01    6.792019032278331E+02
                     1440    1.342861137500000E+01    6.792019032278331E+02
                     1450    1.352038262500000E+01    6.792019032278331E+02
                     1460    1.361282025000000E+01    6.792019032278331E+02
                     1470    1.370569025000000E+01    6.792019032278331E+02
                     1480    1.379682125000000E+01    6.792019032278331E+02
                     1490    1.388452287500000E+01    6.792019032278331E+02
                     1500    1.396908687500000E+01    6.792019032278331E+02
                     1510    1.405625575000000E+01    6.792019032278331E+02
                     1520    1.414348275000000E+01    6.792019032278331E+02
