#                 1000000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    6.944000000000001E-03    9.122991805229228E+02
                       10    2.748600000000000E-02    7.846915866279435E+02
                       20    3.509600000000000E-02    7.357518162449646E+02
                       30    4.326600000000000E-02    7.260230054284242E+02
                       40    5.207100000000000E-02    7.176701882802332E+02
                       50    6.041300000000000E-02    7.176701882802332E+02
                       60    6.873000000000000E-02    7.176701882802332E+02
                       70    7.721199999999999E-02    7.176701882802332E+02
                       80    8.546700000000000E-02    7.176701882802332E+02
                       90    9.374900000000000E-02    7.176701882802332E+02
                      100    1.021360000000000E-01    7.176701882802332E+02
                      110    1.105010000000000E-01    7.176701882802332E+02
                      120    1.189290000000000E-01    7.176701882802332E+02
                      130    1.273180000000000E-01    7.176701882802332E+02
                      140    1.356180000000000E-01    7.176701882802332E+02
                      150    1.443010000000000E-01    7.176701882802332E+02
                      160    1.524570000000000E-01    7.176701882802332E+02
                      170    1.607400000000000E-01    7.141203648880775E+02
                      180    1.692110000000000E-01    7.062147818925180E+02
                      190    1.775630000000000E-01    7.045460971033267E+02
                      200    1.854810000000000E-01    7.045460971033267E+02
                      210    1.936530000000000E-01    7.045460971033267E+02
                      220    2.020640000000000E-01    7.045460971033267E+02
                      230    2.104820000000000E-01    7.045460971033267E+02
                      240    2.188940000000000E-01    7.045460971033267E+02
                      250    2.273390000000000E-01    7.045460971033267E+02
                      260    2.356250000000000E-01    7.045460971033267E+02
                      270    2.439970000000000E-01    7.045460971033267E+02
                      280    2.528380000000000E-01    7.045460971033267E+02
                      290    2.612210000000000E-01    7.015566790776326E+02
                      300    2.695340000000000E-01    6.979215191815159E+02
                      310    2.780170000000000E-01    6.940355529708015E+02
                      320    2.863070000000000E-01    6.889074842650490E+02
                      330    2.946720000000000E-01    6.889074842650490E+02
                      340    3.031290000000000E-01    6.889074842650490E+02
                      350    3.116120000000000E-01    6.889074842650490E+02
                      360    3.200330000000000E-01    6.889074842650490E+02
                      370    3.284880000000000E-01    6.889074842650490E+02
                      380    3.368300000000000E-01    6.882080281349936E+02
                      390    3.451020000000000E-01    6.882080281349936E+02
                      400    3.535810000000000E-01    6.882080281349936E+02
                      410    3.618580000000000E-01    6.882080281349936E+02
                      420    3.701600000000000E-01    6.882080281349936E+02
                      430    3.785160000000000E-01    6.882080281349936E+02
                      440    3.868190000000000E-01    6.882080281349936E+02
                      450    3.951230000000000E-01    6.882080281349936E+02
                      460    4.034690000000000E-01    6.882080281349936E+02
                      470    4.116770000000000E-01    6.882080281349936E+02
                      480    4.200180000000000E-01    6.882080281349936E+02
                      490    4.279970000000000E-01    6.882080281349936E+02
                      500    4.364110000000000E-01    6.882080281349936E+02
                      510    4.447410000000000E-01    6.842538040862376E+02
                      520    4.535790000000000E-01    6.842538040862376E+02
                      530    4.618290000000000E-01    6.830470778924828E+02
                      540    4.700690000000000E-01    6.830470778924828E+02
                      550    4.782420000000000E-01    6.830470778924828E+02
                      560    4.867820000000000E-01    6.830470778924828E+02
                      570    4.951310000000000E-01    6.830470778924828E+02
                      580    5.036530000000000E-01    6.830470778924828E+02
                      590    5.119359999999999E-01    6.830470778924828E+02
                      600    5.202549999999999E-01    6.830470778924828E+02
                      610    5.286540000000000E-01    6.830470778924828E+02
                      620    5.371060000000000E-01    6.830470778924828E+02
                      630    5.453169999999999E-01    6.830470778924828E+02
                      640    5.536310000000000E-01    6.830470778924828E+02
                      650    5.620870000000000E-01    6.830470778924828E+02
                      660    5.702269999999999E-01    6.830470778924828E+02
                      670    5.785640000000000E-01    6.830470778924828E+02
                      680    5.866690000000000E-01    6.830470778924828E+02
                      690    5.953590000000000E-01    6.830470778924828E+02
                      700    6.037460000000000E-01    6.830470778924828E+02
                      710    6.120320000000000E-01    6.830470778924828E+02
                      720    6.202880000000000E-01    6.830470778924828E+02
                      730    6.287220000000000E-01    6.830470778924828E+02
                      740    6.369429999999999E-01    6.830470778924828E+02
                      750    6.452970000000000E-01    6.830470778924828E+02
                      760    6.537280000000000E-01    6.830470778924828E+02
                      770    6.620809999999999E-01    6.830470778924828E+02
                      780    6.704599999999999E-01    6.830470778924828E+02
                      790    6.787550000000000E-01    6.830470778924828E+02
                      800    6.869520000000000E-01    6.830470778924828E+02
                      810    6.955970000000000E-01    6.830470778924828E+02
                      820    7.038329999999999E-01    6.830470778924828E+02
                      830    7.120529999999999E-01    6.830470778924828E+02
                      840    7.205090000000000E-01    6.830470778924828E+02
                      850    7.287870000000000E-01    6.830470778924828E+02
                      860    7.370380000000000E-01    6.830470778924828E+02
                      870    7.452989999999999E-01    6.792019032278331E+02
                      880    7.535160000000000E-01    6.792019032278331E+02
                      890    7.619140000000000E-01    6.792019032278331E+02
                      900    7.706630000000000E-01    6.792019032278331E+02
                      910    7.789079999999999E-01    6.792019032278331E+02
                      920    7.873220000000000E-01    6.792019032278331E+02
                      930    7.956620000000000E-01    6.792019032278331E+02
                      940    8.038600000000000E-01    6.792019032278331E+02
                      950    8.119660000000000E-01    6.792019032278331E+02
                      960    8.202969999999999E-01    6.792019032278331E+02
                      970    8.286540000000000E-01    6.792019032278331E+02
                      980    8.369310000000000E-01    6.792019032278331E+02
                      990    8.452660000000000E-01    6.792019032278331E+02
                     1000    8.540650000000000E-01    6.792019032278331E+02
                     1010    8.623290000000000E-01    6.792019032278331E+02
                     1020    8.706729999999999E-01    6.792019032278331E+02
                     1030    8.790180000000000E-01    6.792019032278331E+02
                     1040    8.872559999999999E-01    6.792019032278331E+02
                     1050    8.955580000000000E-01    6.792019032278331E+02
                     1060    9.039999999999999E-01    6.792019032278331E+02
                     1070    9.124169999999999E-01    6.792019032278331E+02
                     1080    9.208830000000000E-01    6.792019032278331E+02
                     1090    9.290400000000000E-01    6.792019032278331E+02
                     1100    9.375470000000000E-01    6.792019032278331E+02
                     1110    9.457979999999999E-01    6.792019032278331E+02
                     1120    9.539750000000000E-01    6.792019032278331E+02
                     1130    9.622889999999999E-01    6.792019032278331E+02
                     1140    9.705090000000000E-01    6.792019032278331E+02
                     1150    9.789380000000000E-01    6.792019032278331E+02
                     1160    9.872040000000000E-01    6.792019032278331E+02
                     1170    9.954210000000000E-01    6.792019032278331E+02
                     1180    1.003776000000000E+00    6.792019032278331E+02
                     1190    1.012163000000000E+00    6.792019032278331E+02
                     1200    1.020530000000000E+00    6.792019032278331E+02
                     1210    1.028962000000000E+00    6.792019032278331E+02
                     1220    1.037224000000000E+00    6.792019032278331E+02
                     1230    1.045749000000000E+00    6.792019032278331E+02
                     1240    1.054395000000000E+00    6.792019032278331E+02
                     1250    1.062587000000000E+00    6.792019032278331E+02
                     1260    1.070801000000000E+00    6.792019032278331E+02
                     1270    1.079164000000000E+00    6.792019032278331E+02
                     1280    1.087377000000000E+00    6.792019032278331E+02
                     1290    1.095558000000000E+00    6.792019032278331E+02
                     1300    1.103875000000000E+00    6.792019032278331E+02
                     1310    1.112473000000000E+00    6.792019032278331E+02
                     1320    1.120835000000000E+00    6.792019032278331E+02
                     1330    1.129250000000000E+00    6.792019032278331E+02
                     1340    1.137544000000000E+00    6.792019032278331E+02
                     1350    1.145945000000000E+00    6.792019032278331E+02
                     1360    1.154369000000000E+00    6.792019032278331E+02
                     1370    1.162581000000000E+00    6.792019032278331E+02
                     1380    1.170859000000000E+00    6.792019032278331E+02
                     1390    1.179133000000000E+00    6.792019032278331E+02
                     1400    1.187797000000000E+00    6.792019032278331E+02
                     1410    1.196174000000000E+00    6.792019032278331E+02
                     1420    1.204299000000000E+00    6.792019032278331E+02
                     1430    1.212552000000000E+00    6.792019032278331E+02
                     1440    1.220881000000000E+00    6.792019032278331E+02
                     1450    1.229193000000000E+00    6.792019032278331E+02
                     1460    1.237378000000000E+00    6.792019032278331E+02
                     1470    1.245596000000000E+00    6.792019032278331E+02
                     1480    1.254227000000000E+00    6.792019032278331E+02
                     1490    1.262405000000000E+00    6.792019032278331E+02
                     1500    1.270679000000000E+00    6.792019032278331E+02
                     1510    1.278869000000000E+00    6.792019032278331E+02
                     1520    1.287395000000000E+00    6.792019032278331E+02
                     1530    1.295736000000000E+00    6.792019032278331E+02
                     1540    1.304080000000000E+00    6.792019032278331E+02
                     1550    1.312419000000000E+00    6.792019032278331E+02
                     1560    1.320911000000000E+00    6.792019032278331E+02
                     1570    1.329199000000000E+00    6.792019032278331E+02
                     1580    1.337529000000000E+00    6.792019032278331E+02
                     1590    1.345884000000000E+00    6.792019032278331E+02
                     1600    1.354113000000000E+00    6.792019032278331E+02
                     1610    1.362393000000000E+00    6.792019032278331E+02
                     1620    1.370734000000000E+00    6.792019032278331E+02
                     1630    1.379189000000000E+00    6.792019032278331E+02
                     1640    1.387536000000000E+00    6.792019032278331E+02
                     1650    1.395709000000000E+00    6.792019032278331E+02
                     1660    1.403920000000000E+00    6.792019032278331E+02
                     1670    1.412186000000000E+00    6.792019032278331E+02
                     1680    1.420474000000000E+00    6.792019032278331E+02
                     1690    1.429015000000000E+00    6.792019032278331E+02
                     1700    1.437347000000000E+00    6.792019032278331E+02
                     1710    1.445714000000000E+00    6.792019032278331E+02
                     1720    1.454280000000000E+00    6.792019032278331E+02
                     1730    1.462654000000000E+00    6.792019032278331E+02
                     1740    1.471020000000000E+00    6.792019032278331E+02
                     1750    1.479363000000000E+00    6.792019032278331E+02
                     1760    1.487875000000000E+00    6.792019032278331E+02
                     1770    1.496321000000000E+00    6.792019032278331E+02
                     1780    1.504558000000000E+00    6.792019032278331E+02
                     1790    1.512802000000000E+00    6.792019032278331E+02
                     1800    1.521139000000000E+00    6.792019032278331E+02
                     1810    1.529516000000000E+00    6.792019032278331E+02
                     1820    1.537770000000000E+00    6.792019032278331E+02
                     1830    1.546144000000000E+00    6.792019032278331E+02
                     1840    1.554250000000000E+00    6.792019032278331E+02
                     1850    1.562447000000000E+00    6.792019032278331E+02
                     1860    1.570798000000000E+00    6.792019032278331E+02
                     1870    1.579152000000000E+00    6.792019032278331E+02
                     1880    1.587568000000000E+00    6.792019032278331E+02
                     1890    1.595824000000000E+00    6.792019032278331E+02
                     1900    1.604190000000000E+00    6.792019032278331E+02
                     1910    1.612662000000000E+00    6.792019032278331E+02
