#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    6.945000000000000E-03    2.743836639543189E+03
                       10    1.941900000000000E-02    1.157783133553090E+03
                       20    2.811300000000000E-02    9.025675892080683E+02
                       30    3.614899999999999E-02    7.787389583502077E+02
                       40    4.418700000000000E-02    7.654956828474714E+02
                       50    5.259900000000000E-02    7.660806847909520E+02
                       60    6.169000000000000E-02    7.613257249488296E+02
                       70    6.977200000000000E-02    7.698662895616960E+02
                       80    7.816700000000000E-02    7.599716583794503E+02
                       90    8.625200000000001E-02    7.581647268568058E+02
                      100    9.489300000000001E-02    7.636347915566387E+02
                      110    1.032980000000000E-01    7.607268552749031E+02
                      120    1.115960000000000E-01    7.568791937587619E+02
                      130    1.202880000000000E-01    7.647880026927145E+02
                      140    1.285960000000000E-01    7.502803621534736E+02
                      150    1.370430000000000E-01    7.655819439362618E+02
                      160    1.450690000000000E-01    7.674558323083817E+02
                      170    1.536580000000000E-01    7.635318371903581E+02
                      180    1.619000000000000E-01    7.615381821657347E+02
                      190    1.698990000000000E-01    7.646376183678268E+02
                      200    1.780120000000000E-01    7.697098167626884E+02
                      210    1.864340000000000E-01    7.416144687623578E+02
                      220    1.946400000000000E-01    7.520076473180170E+02
                      230    2.031930000000000E-01    7.456260091082664E+02
                      240    2.112750000000000E-01    7.211448867194808E+02
                      250    2.196250000000000E-01    7.179798057943559E+02
                      260    2.279870000000000E-01    7.254121374724367E+02
                      270    2.362380000000000E-01    7.173219258110671E+02
                      280    2.446260000000000E-01    7.190302250832971E+02
                      290    2.528790000000000E-01    7.115154934755000E+02
                      300    2.613680000000000E-01    7.142057483006591E+02
                      310    2.696670000000000E-01    7.328923402352285E+02
                      320    2.781030000000000E-01    7.263157118851511E+02
                      330    2.864040000000000E-01    7.120043931966105E+02
                      340    2.947550000000000E-01    7.181945864374015E+02
                      350    3.027900000000000E-01    7.231598957362160E+02
                      360    3.110540000000000E-01    7.069358490406601E+02
                      370    3.194320000000000E-01    7.056766032300237E+02
                      380    3.279240000000000E-01    6.961254612259936E+02
                      390    3.364570000000000E-01    7.010671121989857E+02
                      400    3.451350000000000E-01    7.025882050070469E+02
                      410    3.534300000000000E-01    7.053695915263055E+02
                      420    3.616900000000000E-01    7.087703156805768E+02
                      430    3.699070000000000E-01    7.312282213120412E+02
                      440    3.788810000000000E-01    7.148055264623408E+02
                      450    3.871540000000000E-01    7.079710504958779E+02
                      460    3.955600000000000E-01    7.062710552168886E+02
                      470    4.038310000000000E-01    7.134162864759232E+02
                      480    4.121120000000000E-01    7.077440264818122E+02
                      490    4.204250000000000E-01    7.121090598133139E+02
                      500    4.289300000000000E-01    7.115518337289716E+02
                      510    4.371900000000000E-01    6.992550341323004E+02
                      520    4.455030000000000E-01    6.977079244089994E+02
                      530    4.538840000000000E-01    7.169137175146467E+02
                      540    4.622420000000000E-01    7.060504801233968E+02
                      550    4.707350000000000E-01    7.097250658898693E+02
                      560    4.789750000000000E-01    7.141897897324471E+02
                      570    4.873630000000000E-01    7.156730067503103E+02
                      580    4.960030000000000E-01    7.071049295516183E+02
                      590    5.043430000000000E-01    7.117243891198555E+02
                      600    5.125780000000000E-01    7.097203403314637E+02
                      610    5.212210000000000E-01    7.038340327539196E+02
                      620    5.297350000000001E-01    7.157371483629737E+02
                      630    5.381520000000001E-01    7.158672731462576E+02
                      640    5.463480000000001E-01    7.136181760958342E+02
                      650    5.545040000000000E-01    7.165813014148622E+02
                      660    5.629060000000000E-01    7.113709561181925E+02
                      670    5.711550000000001E-01    7.031647288943224E+02
                      680    5.794480000000001E-01    7.328194199472700E+02
                      690    5.881870000000000E-01    7.004679423023085E+02
                      700    5.966910000000001E-01    7.059164138103691E+02
                      710    6.049640000000001E-01    7.071611301406001E+02
                      720    6.133120000000001E-01    7.145755397008764E+02
                      730    6.216090000000001E-01    7.010924822750090E+02
                      740    6.300130000000000E-01    7.078563467403870E+02
                      750    6.383020000000000E-01    7.128532147450690E+02
                      760    6.465000000000001E-01    7.149905847380214E+02
                      770    6.553060000000001E-01    7.002272682463242E+02
                      780    6.636440000000000E-01    7.174607083028980E+02
                      790    6.718000000000001E-01    7.102120783472224E+02
                      800    6.798690000000001E-01    7.352813016356819E+02
                      810    6.882860000000001E-01    7.113059353271659E+02
                      820    6.968350000000000E-01    7.147609533580420E+02
                      830    7.051530000000000E-01    7.057436327012168E+02
                      840    7.135400000000001E-01    7.054720100140737E+02
                      850    7.218520000000000E-01    7.097664408418241E+02
                      860    7.304560000000000E-01    7.014998395287889E+02
                      870    7.386450000000000E-01    7.031239776617211E+02
                      880    7.467810000000000E-01    7.045775114971444E+02
                      890    7.551570000000001E-01    7.005444449422654E+02
                      900    7.636240000000001E-01    7.101963843639282E+02
                      910    7.719300000000000E-01    7.122633413935624E+02
                      920    7.803590000000000E-01    7.143409455148208E+02
                      930    7.887640000000000E-01    6.962071458156017E+02
                      940    7.972840000000000E-01    7.073170609681922E+02
                      950    8.057340000000001E-01    7.009785616094485E+02
                      960    8.138610000000001E-01    7.190232826378353E+02
                      970    8.223010000000001E-01    7.096662796641682E+02
                      980    8.305850000000000E-01    7.293868558835057E+02
                      990    8.392530000000000E-01    7.073265561716923E+02
                     1000    8.476540000000000E-01    7.054201649296504E+02
                     1010    8.560170000000000E-01    7.039867841157893E+02
                     1020    8.648780000000000E-01    7.242043318309049E+02
                     1030    8.730900000000000E-01    7.155153192198318E+02
                     1040    8.815420000000000E-01    6.999726392334557E+02
                     1050    8.900110000000000E-01    7.049244514305429E+02
                     1060    8.985190000000001E-01    7.168278635882839E+02
                     1070    9.067190000000001E-01    7.090566707120686E+02
                     1080    9.149850000000000E-01    7.222073746928141E+02
                     1090    9.232800000000000E-01    6.983696602005521E+02
                     1100    9.315650000000000E-01    7.204570218717485E+02
                     1110    9.400860000000000E-01    7.145640475476556E+02
                     1120    9.483960000000000E-01    7.130689043244265E+02
                     1130    9.567920000000001E-01    7.160169692864940E+02
                     1140    9.652300000000000E-01    7.154544528676415E+02
                     1150    9.735810000000000E-01    7.103928511680924E+02
                     1160    9.820450000000001E-01    7.084691618204815E+02
                     1170    9.903320000000000E-01    6.992342179761720E+02
                     1180    9.986030000000001E-01    7.120612364666117E+02
                     1190    1.007302000000000E+00    7.115932208315720E+02
                     1200    1.015726000000000E+00    7.167452389307530E+02
                     1210    1.023834000000000E+00    7.214205511353142E+02
                     1220    1.032420000000000E+00    7.190951042771912E+02
                     1230    1.040758000000000E+00    7.123809737835819E+02
                     1240    1.049217000000000E+00    7.106783021056184E+02
                     1250    1.057434000000000E+00    7.184942862465940E+02
                     1260    1.065865000000000E+00    7.139127385493256E+02
                     1270    1.074618000000000E+00    7.151439759873455E+02
                     1280    1.082889000000000E+00    7.060199045029882E+02
                     1290    1.091268000000000E+00    7.072690017974776E+02
                     1300    1.099813000000000E+00    7.219482823843596E+02
                     1310    1.108185000000000E+00    7.128482926066976E+02
                     1320    1.116527000000000E+00    7.140721112630024E+02
                     1330    1.124893000000000E+00    7.274857877868239E+02
                     1340    1.133170000000000E+00    7.045666427745729E+02
                     1350    1.141935000000000E+00    7.092071992098546E+02
                     1360    1.150387000000000E+00    7.183432085729210E+02
                     1370    1.158713000000000E+00    7.198832962547931E+02
                     1380    1.167010000000000E+00    7.063625816884442E+02
                     1390    1.175291000000000E+00    7.120305422894119E+02
                     1400    1.183616000000000E+00    7.047600355826351E+02
                     1410    1.191973000000000E+00    7.065692863865664E+02
                     1420    1.200236000000000E+00    7.124100443198507E+02
                     1430    1.208592000000000E+00    7.131746336671509E+02
                     1440    1.217124000000000E+00    7.191427503816001E+02
                     1450    1.225510000000000E+00    7.023846518550367E+02
                     1460    1.233624000000000E+00    7.162389057170006E+02
                     1470    1.241775000000000E+00    7.131180433684666E+02
                     1480    1.250006000000000E+00    7.156064630132844E+02
                     1490    1.258482000000000E+00    7.092583138049844E+02
                     1500    1.266594000000000E+00    7.199565038335975E+02
                     1510    1.275057000000000E+00    7.077700177310887E+02
                     1520    1.283919000000000E+00    7.155522519923546E+02
                     1530    1.292451000000000E+00    7.236947283086524E+02
                     1540    1.300848000000000E+00    7.129375077255568E+02
                     1550    1.309395000000000E+00    7.082599266577055E+02
                     1560    1.317710000000000E+00    7.196508029625696E+02
                     1570    1.326041000000000E+00    7.165627135909340E+02
                     1580    1.334502000000000E+00    7.057552142268860E+02
                     1590    1.342569000000000E+00    7.201978756695200E+02
                     1600    1.351099000000000E+00    7.182191530846126E+02
                     1610    1.359496000000000E+00    7.026549509666720E+02
                     1620    1.367833000000000E+00    7.140604390866121E+02
                     1630    1.376087000000000E+00    7.119902469673116E+02
                     1640    1.384566000000000E+00    7.129582763145529E+02
                     1650    1.392934000000000E+00    7.116780666222176E+02
                     1660    1.401373000000000E+00    7.071020253074955E+02
                     1670    1.409492000000000E+00    7.030070737961104E+02
                     1680    1.418081000000000E+00    7.056652673159439E+02
                     1690    1.426786000000000E+00    6.972666552312804E+02
                     1700    1.434451000000000E+00    7.147838133577202E+02
                     1710    1.442598000000000E+00    7.240994135166417E+02
                     1720    1.450862000000000E+00    7.071261100823167E+02
                     1730    1.458916000000000E+00    7.152120384953040E+02
                     1740    1.467004000000000E+00    7.134556543459659E+02
                     1750    1.475321000000000E+00    7.127211418478505E+02
                     1760    1.483493000000000E+00    7.013168894669957E+02
                     1770    1.492179000000000E+00    7.178597857846008E+02
                     1780    1.500602000000000E+00    7.087128965317072E+02
                     1790    1.508812000000000E+00    7.108497957317601E+02
                     1800    1.516968000000000E+00    7.014432711945963E+02
                     1810    1.525558000000000E+00    7.106862088057119E+02
                     1820    1.533886000000000E+00    7.026023657551766E+02
                     1830    1.542209000000000E+00    7.084102247604457E+02
                     1840    1.550618000000000E+00    7.216130774251072E+02
                     1850    1.559358000000000E+00    7.281705589308783E+02
                     1860    1.567890000000000E+00    7.149271032108425E+02
                     1870    1.575850000000000E+00    7.248358122370811E+02
                     1880    1.584471000000000E+00    7.086578263023149E+02
                     1890    1.592683000000000E+00    7.175866837570924E+02
                     1900    1.601067000000000E+00    7.309617390500703E+02
                     1910    1.609354000000000E+00    7.228625677382142E+02
                     1920    1.617729000000000E+00    7.184983016016256E+02
                     1930    1.626257000000000E+00    7.110759968638889E+02
