#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    3.507212500000000E-02    2.777574464801120E+03
                       10    1.175406250000000E-01    1.390886887618018E+03
                       20    2.050912500000000E-01    8.946170309890924E+02
                       30    2.957183750000000E-01    7.933933904527075E+02
                       40    3.803943750000000E-01    7.560229862841709E+02
                       50    4.738163750000000E-01    7.422995046556722E+02
                       60    5.696836249999999E-01    7.438054012862644E+02
                       70    6.715061250000000E-01    7.404516608306749E+02
                       80    7.612876250000000E-01    7.371810633913390E+02
                       90    8.595266250000000E-01    7.299777426850985E+02
                      100    9.497996249999999E-01    7.321952867014611E+02
                      110    1.044983500000000E+00    7.315498082627591E+02
                      120    1.136145875000000E+00    7.299197713305809E+02
                      130    1.229282375000000E+00    7.281926381602061E+02
                      140    1.322654000000000E+00    7.272070680434514E+02
                      150    1.423446250000000E+00    7.226600389185567E+02
                      160    1.514874875000000E+00    7.277228318377154E+02
                      170    1.600009500000000E+00    7.235766794550127E+02
                      180    1.690652750000000E+00    7.259545002744908E+02
                      190    1.784287375000000E+00    7.150944974571563E+02
                      200    1.885818000000000E+00    7.193291596303526E+02
                      210    1.975488000000000E+00    7.192405326477513E+02
                      220    2.073624750000000E+00    7.149582403071639E+02
                      230    2.164905875000000E+00    7.218621573312701E+02
                      240    2.266296375000000E+00    7.122064417208232E+02
                      250    2.361540500000000E+00    7.164280298213030E+02
                      260    2.452617375000000E+00    7.168014259848239E+02
                      270    2.551182250000000E+00    7.152172201153478E+02
                      280    2.647583375000000E+00    7.206364243453077E+02
                      290    2.738767375000000E+00    7.152356450207990E+02
                      300    2.825854125000000E+00    7.158402881818536E+02
                      310    2.913065250000000E+00    7.212258751626921E+02
                      320    3.010737625000000E+00    7.166860616044951E+02
                      330    3.100924250000000E+00    7.151984554426737E+02
                      340    3.192380000000000E+00    7.138201650921469E+02
                      350    3.283050375000000E+00    7.210519620211353E+02
                      360    3.376007125000000E+00    7.194563989042067E+02
                      370    3.461026250000000E+00    7.167591812117055E+02
                      380    3.557242250000000E+00    7.156012225733953E+02
                      390    3.649062875000000E+00    7.128912292306596E+02
                      400    3.745490250000000E+00    7.140745357942712E+02
                      410    3.837890000000000E+00    7.160480747740917E+02
                      420    3.932556250000000E+00    7.192023687381997E+02
                      430    4.024299000000000E+00    7.176906503644204E+02
                      440    4.124916000000000E+00    7.117932976482983E+02
                      450    4.216170000000000E+00    7.139150710599472E+02
                      460    4.309703125000000E+00    7.136483417050439E+02
                      470    4.399645375000000E+00    7.118589682630993E+02
                      480    4.495094750000000E+00    7.156069457448984E+02
                      490    4.588808875000000E+00    7.160373509619916E+02
                      500    4.686872000000000E+00    7.114665852409894E+02
                      510    4.776204750000000E+00    7.150114076335917E+02
                      520    4.867918374999999E+00    7.124229066837006E+02
                      530    4.957316875000000E+00    7.149175123561678E+02
                      540    5.048444625000000E+00    7.213810575320151E+02
                      550    5.139926625000000E+00    7.107964438990313E+02
                      560    5.230441750000000E+00    7.123929771710162E+02
                      570    5.320097375000000E+00    7.118899488695110E+02
                      580    5.414049125000000E+00    7.184183452608070E+02
                      590    5.510575125000000E+00    7.141873858238700E+02
                      600    5.603602500000000E+00    7.110778314674094E+02
                      610    5.698541124999999E+00    7.103646860325509E+02
                      620    5.791074125000000E+00    7.129336741155543E+02
                      630    5.883092250000000E+00    7.128616650588935E+02
                      640    5.973615250000000E+00    7.109947310255178E+02
                      650    6.065475500000000E+00    7.083261392140050E+02
                      660    6.156399749999999E+00    7.104355756049923E+02
                      670    6.252607750000000E+00    7.132774434583425E+02
                      680    6.346514375000000E+00    7.123022683820323E+02
                      690    6.437272375000000E+00    7.105953073959084E+02
                      700    6.533040499999999E+00    7.097194410645558E+02
                      710    6.622512875000000E+00    7.200358938075838E+02
                      720    6.718734500000000E+00    7.115388466600007E+02
                      730    6.810922250000000E+00    7.075989622578390E+02
                      740    6.905181250000000E+00    7.132751976272573E+02
                      750    6.997488000000000E+00    7.083221574021987E+02
                      760    7.086415124999999E+00    7.108242398951290E+02
                      770    7.177969000000000E+00    7.077271707892365E+02
                      780    7.272852625000000E+00    7.083195244125335E+02
                      790    7.359875000000000E+00    7.095841344750881E+02
                      800    7.456922749999999E+00    7.075983488862132E+02
                      810    7.544702875000000E+00    7.100326620803708E+02
                      820    7.631627375000000E+00    7.123511512959087E+02
                      830    7.727965500000000E+00    7.066430425758560E+02
                      840    7.824113625000000E+00    7.098030343333296E+02
                      850    7.913583875000000E+00    7.086349842929346E+02
