#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    6.796000000000000E-03    2.782159951108557E+03
                       10    1.991100000000000E-02    1.185713459680071E+03
                       20    2.748400000000000E-02    8.356246226316595E+02
                       30    3.593500000000000E-02    8.150645320837281E+02
                       40    4.432400000000000E-02    8.087690968697930E+02
                       50    5.261200000000000E-02    8.018438321736248E+02
                       60    6.095000000000000E-02    8.105227817212614E+02
                       70    6.928300000000001E-02    7.956987528003185E+02
                       80    7.791000000000001E-02    8.095522556314685E+02
                       90    8.590700000000001E-02    7.899528596617680E+02
                      100    9.405400000000001E-02    7.806633979070200E+02
                      110    1.024320000000000E-01    7.715448631953951E+02
                      120    1.109590000000000E-01    7.447344396594507E+02
                      130    1.194320000000000E-01    7.536805734363743E+02
                      140    1.276630000000000E-01    7.421138330866027E+02
                      150    1.361900000000000E-01    7.534682458205766E+02
                      160    1.443520000000000E-01    7.529185276717086E+02
                      170    1.527020000000000E-01    7.348943334588849E+02
                      180    1.609550000000000E-01    7.435630953718635E+02
                      190    1.693690000000000E-01    7.413242746355467E+02
                      200    1.780850000000000E-01    7.383574324535380E+02
                      210    1.865860000000000E-01    7.393204824344738E+02
                      220    1.950380000000000E-01    7.388922441764477E+02
                      230    2.033020000000000E-01    7.339976653677819E+02
                      240    2.117540000000000E-01    7.459398803312297E+02
                      250    2.202810000000000E-01    7.390916028508308E+02
                      260    2.286590000000000E-01    7.470978850013354E+02
                      270    2.369760000000000E-01    7.293972573521548E+02
                      280    2.457930000000000E-01    7.299321500433417E+02
                      290    2.544120000000000E-01    7.374193925091525E+02
                      300    2.628900000000000E-01    7.383654860042412E+02
                      310    2.714000000000000E-01    7.390215069509874E+02
                      320    2.797200000000000E-01    7.271321661959046E+02
                      330    2.879740000000000E-01    7.500160970921028E+02
                      340    2.967000000000000E-01    7.411592495996322E+02
                      350    3.050190000000000E-01    7.420969150674244E+02
                      360    3.136130000000000E-01    7.434679468722622E+02
                      370    3.220300000000000E-01    7.479758592065135E+02
                      380    3.304900000000000E-01    7.471080085399273E+02
                      390    3.388360000000000E-01    7.315667442741187E+02
                      400    3.476790000000000E-01    7.330209986512672E+02
                      410    3.560820000000000E-01    7.470320237405775E+02
                      420    3.646390000000000E-01    7.418004301979048E+02
                      430    3.730680000000000E-01    7.486482129738614E+02
                      440    3.815980000000000E-01    7.645944905780677E+02
                      450    3.900360000000000E-01    7.368205748621543E+02
                      460    3.985330000000000E-01    7.519937221464119E+02
                      470    4.067520000000000E-01    7.421126948198194E+02
                      480    4.153050000000000E-01    7.384871315247824E+02
                      490    4.237230000000000E-01    7.542964204090854E+02
                      500    4.320790000000000E-01    7.306722147612320E+02
                      510    4.405150000000000E-01    7.360049757275617E+02
                      520    4.487970000000000E-01    7.532768256593537E+02
                      530    4.572490000000000E-01    7.326775485290325E+02
                      540    4.656840000000000E-01    7.389434406748414E+02
                      550    4.742920000000000E-01    7.380321380015835E+02
                      560    4.826410000000000E-01    7.461551763492796E+02
                      570    4.907630000000000E-01    7.495880510670900E+02
                      580    4.991330000000000E-01    7.440041785756760E+02
                      590    5.075639999999999E-01    7.310554886216373E+02
                      600    5.162629999999999E-01    7.416972727491449E+02
                      610    5.247750000000000E-01    7.530224534515384E+02
                      620    5.331210000000000E-01    7.390522228340187E+02
                      630    5.414469999999999E-01    7.481018731161327E+02
                      640    5.497839999999999E-01    7.388424143522736E+02
                      650    5.580360000000000E-01    7.461328240668778E+02
                      660    5.664570000000000E-01    7.332109118202484E+02
                      670    5.748049999999999E-01    7.368922935755062E+02
                      680    5.832679999999999E-01    7.392057144176320E+02
                      690    5.919639999999999E-01    7.372574352533254E+02
                      700    6.003860000000000E-01    7.410947877608854E+02
                      710    6.088119999999999E-01    7.327459001984062E+02
                      720    6.174510000000000E-01    7.411697334404801E+02
                      730    6.261319999999999E-01    7.369735812218819E+02
                      740    6.343989999999999E-01    7.360656115528989E+02
                      750    6.429549999999999E-01    7.381713516705372E+02
                      760    6.514669999999999E-01    7.406256043219523E+02
                      770    6.598569999999999E-01    7.332898129260518E+02
                      780    6.683230000000000E-01    7.480602088255640E+02
                      790    6.766740000000000E-01    7.399828281305655E+02
                      800    6.850029999999999E-01    7.394120368351709E+02
                      810    6.934319999999999E-01    7.361749095149157E+02
                      820    7.020139999999999E-01    7.554567619916305E+02
                      830    7.104239999999999E-01    7.335245790538305E+02
                      840    7.187100000000000E-01    7.349622381838990E+02
                      850    7.270859999999999E-01    7.481497842801051E+02
                      860    7.352259999999999E-01    7.374058634391497E+02
                      870    7.433789999999999E-01    7.315175082284712E+02
                      880    7.518880000000000E-01    7.326342353923421E+02
                      890    7.602740000000000E-01    7.308257706474064E+02
                      900    7.685959999999999E-01    7.291991345881772E+02
                      910    7.768910000000000E-01    7.386306001960959E+02
                      920    7.852269999999999E-01    7.294067778160996E+02
                      930    7.937489999999999E-01    7.401936632522571E+02
                      940    8.021480000000000E-01    7.440231341910994E+02
                      950    8.106120000000000E-01    7.321872280493589E+02
                      960    8.190339999999999E-01    7.420507651244848E+02
                      970    8.273619999999999E-01    7.383564663922855E+02
                      980    8.356030000000000E-01    7.342186818284767E+02
                      990    8.440599999999999E-01    7.301021819621269E+02
                     1000    8.524499999999999E-01    7.424895049989183E+02
                     1010    8.615959999999999E-01    7.467461284171603E+02
                     1020    8.700660000000000E-01    7.501783480103450E+02
                     1030    8.783559999999999E-01    7.348442384731858E+02
                     1040    8.868569999999999E-01    7.311108671392369E+02
                     1050    8.952920000000000E-01    7.384399392864154E+02
                     1060    9.038499999999999E-01    7.334423652166882E+02
                     1070    9.122349999999999E-01    7.370587401881285E+02
                     1080    9.204659999999999E-01    7.564733957426637E+02
                     1090    9.287420000000000E-01    7.492204020374976E+02
                     1100    9.372569999999999E-01    7.264071068704163E+02
                     1110    9.455690000000000E-01    7.476977961852303E+02
                     1120    9.539420000000000E-01    7.329319325059143E+02
                     1130    9.621959999999999E-01    7.342117790787318E+02
                     1140    9.705050000000000E-01    7.362264436230995E+02
                     1150    9.788829999999999E-01    7.253107979165652E+02
                     1160    9.873040000000000E-01    7.443492961092074E+02
                     1170    9.956429999999999E-01    7.389673582800830E+02
                     1180    1.004029000000000E+00    7.332989648912164E+02
                     1190    1.012413000000000E+00    7.378356831668852E+02
                     1200    1.020747000000000E+00    7.375395205308904E+02
                     1210    1.029172000000000E+00    7.376674412489087E+02
                     1220    1.037596000000000E+00    7.412021169363705E+02
                     1230    1.046006000000000E+00    7.394056280986525E+02
                     1240    1.054387000000000E+00    7.445824984174016E+02
                     1250    1.062787000000000E+00    7.345437287657204E+02
                     1260    1.071161000000000E+00    7.326382936665916E+02
                     1270    1.079735000000000E+00    7.382578967831583E+02
                     1280    1.088080000000000E+00    7.411504941867067E+02
                     1290    1.096405000000000E+00    7.302037114396377E+02
                     1300    1.104836000000000E+00    7.369702244799596E+02
                     1310    1.113282000000000E+00    7.385846082716614E+02
                     1320    1.121600000000000E+00    7.272592644623836E+02
                     1330    1.129888000000000E+00    7.584175371934459E+02
                     1340    1.138110000000000E+00    7.300409566374691E+02
                     1350    1.146550000000000E+00    7.358976595535854E+02
                     1360    1.154947000000000E+00    7.404216729130529E+02
                     1370    1.163103000000000E+00    7.423696125400078E+02
                     1380    1.171443000000000E+00    7.339436715695870E+02
                     1390    1.179847000000000E+00    7.264641711238619E+02
                     1400    1.188133000000000E+00    7.371640920458242E+02
                     1410    1.196318000000000E+00    7.315553902451767E+02
                     1420    1.204528000000000E+00    7.434779417372082E+02
                     1430    1.212985000000000E+00    7.342169304492148E+02
                     1440    1.221523000000000E+00    7.246218126163945E+02
                     1450    1.229773000000000E+00    7.362937858659051E+02
                     1460    1.238161000000000E+00    7.447168883759697E+02
                     1470    1.246616000000000E+00    7.406037961696618E+02
                     1480    1.254910000000000E+00    7.441291139133322E+02
                     1490    1.263098000000000E+00    7.436991594817964E+02
                     1500    1.271297000000000E+00    7.312193025490026E+02
                     1510    1.279450000000000E+00    7.321196486754820E+02
                     1520    1.288054000000000E+00    7.324452036039927E+02
                     1530    1.296501000000000E+00    7.343638588954367E+02
                     1540    1.304971000000000E+00    7.304202694632454E+02
                     1550    1.313166000000000E+00    7.403852373106363E+02
                     1560    1.321450000000000E+00    7.273851785394651E+02
                     1570    1.329774000000000E+00    7.322097284436171E+02
                     1580    1.337990000000000E+00    7.494177198877841E+02
                     1590    1.346236000000000E+00    7.407383687083664E+02
                     1600    1.354761000000000E+00    7.360329117188460E+02
                     1610    1.363064000000000E+00    7.301307860643411E+02
                     1620    1.371565000000000E+00    7.357142895495606E+02
                     1630    1.379777000000000E+00    7.387874070577149E+02
                     1640    1.388083000000000E+00    7.406443532157308E+02
                     1650    1.396372000000000E+00    7.308396629879487E+02
                     1660    1.404671000000000E+00    7.280464356941299E+02
                     1670    1.412962000000000E+00    7.447597308882096E+02
                     1680    1.421316000000000E+00    7.328286736035417E+02
                     1690    1.429891000000000E+00    7.347549109983945E+02
                     1700    1.438362000000000E+00    7.448670381414628E+02
                     1710    1.446749000000000E+00    7.378778483142669E+02
                     1720    1.455048000000000E+00    7.333212341935637E+02
                     1730    1.463475000000000E+00    7.392507618690169E+02
                     1740    1.471588000000000E+00    7.388040898436826E+02
                     1750    1.479793000000000E+00    7.304965886119477E+02
                     1760    1.488179000000000E+00    7.395275683477853E+02
                     1770    1.496593000000000E+00    7.478498192562811E+02
                     1780    1.504901000000000E+00    7.312469039977519E+02
                     1790    1.513207000000000E+00    7.330544968855105E+02
                     1800    1.521774000000000E+00    7.400499580017262E+02
                     1810    1.530275000000000E+00    7.289602897181909E+02
                     1820    1.538737000000000E+00    7.366331141885825E+02
                     1830    1.546811000000000E+00    7.396737592540177E+02
                     1840    1.555131000000000E+00    7.490361347207820E+02
                     1850    1.563536000000000E+00    7.439280725199263E+02
