#                 1000000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    4.239002500000000E-01    8.606454595178088E+02
                       10    2.228564250000000E+00    7.480162798548166E+02
                       20    4.237521375000000E+00    6.790265944336104E+02
                       30    6.226056375000000E+00    6.464802808524859E+02
                       40    8.264249000000001E+00    6.464802808524859E+02
                       50    1.026770800000000E+01    6.462775133629948E+02
                       60    1.223665662500000E+01    6.324711506590795E+02
                       70    1.426355262500000E+01    6.324711506590795E+02
                       80    1.627822925000000E+01    6.324711506590795E+02
                       90    1.832627625000000E+01    6.230688336073183E+02
                      100    2.038423925000000E+01    6.230688336073183E+02
                      110    2.241886100000000E+01    6.188311187720890E+02
                      120    2.446391562500000E+01    6.136340910319229E+02
                      130    2.646606750000000E+01    6.136340910319229E+02
                      140    2.846912125000000E+01    6.014672539049202E+02
                      150    3.054178800000000E+01    6.014672539049202E+02
                      160    3.258250275000000E+01    6.014672539049202E+02
                      170    3.460750137500000E+01    6.014672539049202E+02
                      180    3.668116337500000E+01    6.003603832993571E+02
                      190    3.872689087500000E+01    6.003603832993571E+02
                      200    4.082664662500000E+01    6.003603832993571E+02
                      210    4.288982050000000E+01    6.003603832993571E+02
                      220    4.494090700000000E+01    5.998391734337016E+02
                      230    4.707818837500000E+01    5.998391734337016E+02
                      240    4.914083712500000E+01    5.998391734337016E+02
                      250    5.116498737500000E+01    5.998391734337016E+02
                      260    5.325018275000000E+01    5.997681238617705E+02
                      270    5.532840137500000E+01    5.997681238617705E+02
                      280    5.743349662500000E+01    5.997681238617705E+02
                      290    5.946885987500000E+01    5.997681238617705E+02
                      300    6.151941625000000E+01    5.997681238617705E+02
                      310    6.366462462500000E+01    5.972827775386189E+02
                      320    6.577571400000001E+01    5.972827775386189E+02
                      330    6.783742175000000E+01    5.972827775386189E+02
                      340    6.990379887500001E+01    5.972827775386189E+02
                      350    7.201698200000000E+01    5.972827775386189E+02
                      360    7.411312150000001E+01    5.972827775386189E+02
                      370    7.621938537500000E+01    5.972827775386189E+02
                      380    7.827797875000000E+01    5.972827775386189E+02
                      390    8.033502925000001E+01    5.972827775386189E+02
                      400    8.243230000000000E+01    5.970924910236212E+02
                      410    8.447940787500001E+01    5.970924910236212E+02
                      420    8.653150312500000E+01    5.970924910236212E+02
                      430    8.859295962500001E+01    5.970924910236212E+02
                      440    9.068737862499999E+01    5.920937812957981E+02
                      450    9.276238425000000E+01    5.893519401986423E+02
                      460    9.480222412500000E+01    5.893519401986423E+02
                      470    9.684227174999999E+01    5.893519401986423E+02
                      480    9.886290825000000E+01    5.883473094241455E+02
                      490    1.009127286250000E+02    5.883473094241455E+02
                      500    1.029897042500000E+02    5.875095870843138E+02
                      510    1.050518121250000E+02    5.875095870843138E+02
                      520    1.071129193750000E+02    5.875095870843138E+02
                      530    1.091618843750000E+02    5.875095870843138E+02
                      540    1.112428807500000E+02    5.875095870843138E+02
                      550    1.133811205000000E+02    5.875095870843138E+02
                      560    1.154365792500000E+02    5.875095870843138E+02
                      570    1.175167551250000E+02    5.875095870843138E+02
                      580    1.195692592500000E+02    5.875095870843138E+02
                      590    1.216281453750000E+02    5.875095870843138E+02
                      600    1.237202591250000E+02    5.875095870843138E+02
                      610    1.258053802500000E+02    5.875095870843138E+02
                      620    1.279159908750000E+02    5.875095870843138E+02
                      630    1.299972695000000E+02    5.875095870843138E+02
                      640    1.320760187500000E+02    5.875095870843138E+02
                      650    1.341382446250000E+02    5.875095870843138E+02
                      660    1.362774682500000E+02    5.875095870843138E+02
                      670    1.383294006250000E+02    5.875095870843138E+02
                      680    1.403929861250000E+02    5.875095870843138E+02
                      690    1.424886176250000E+02    5.875095870843138E+02
                      700    1.445461216250000E+02    5.875095870843138E+02
                      710    1.466117455000000E+02    5.875095870843138E+02
                      720    1.486270431250000E+02    5.875095870843138E+02
                      730    1.506273130000000E+02    5.875095870843138E+02
                      740    1.526568980000000E+02    5.875095870843138E+02
                      750    1.547143172500000E+02    5.875095870843138E+02
                      760    1.567734261250000E+02    5.875095870843138E+02
                      770    1.588364771250000E+02    5.875095870843138E+02
                      780    1.609237935000000E+02    5.875095870843138E+02
                      790    1.629549431250000E+02    5.875095870843138E+02
                      800    1.650259477500000E+02    5.875095870843138E+02
                      810    1.670850197500000E+02    5.875095870843138E+02
                      820    1.691197858750000E+02    5.875095870843138E+02
                      830    1.712325463750000E+02    5.875095870843138E+02
                      840    1.734458582500000E+02    5.875095870843138E+02
                      850    1.754871058750000E+02    5.875045961331398E+02
                      860    1.775828823750000E+02    5.875045961331398E+02
                      870    1.796414003750000E+02    5.875045961331398E+02
                      880    1.816655545000000E+02    5.875045961331398E+02
                      890    1.837107950000000E+02    5.875045961331398E+02
                      900    1.857272835000000E+02    5.875045961331398E+02
                      910    1.877832857500000E+02    5.875045961331398E+02
                      920    1.898773632500000E+02    5.875045961331398E+02
                      930    1.919167107500000E+02    5.875045961331398E+02
                      940    1.939458371250000E+02    5.875045961331398E+02
                      950    1.959901732500000E+02    5.875045961331398E+02
                      960    1.980070415000000E+02    5.875045961331398E+02
                      970    2.000685585000000E+02    5.875045961331398E+02
                      980    2.021062657500000E+02    5.875045961331398E+02
                      990    2.042078658750000E+02    5.875045961331398E+02
                     1000    2.062899878750000E+02    5.875045961331398E+02
                     1010    2.083502805000000E+02    5.875045961331398E+02
                     1020    2.104739763750000E+02    5.875045961331398E+02
                     1030    2.125787236250000E+02    5.875045961331398E+02
                     1040    2.146419080000000E+02    5.875045961331398E+02
                     1050    2.166749062500000E+02    5.875045961331398E+02
                     1060    2.187368293750000E+02    5.875045961331398E+02
                     1070    2.207627035000000E+02    5.855891022141840E+02
                     1080    2.227948298750000E+02    5.855891022141840E+02
                     1090    2.248613435000000E+02    5.829419059253394E+02
                     1100    2.268967011250000E+02    5.829419059253394E+02
                     1110    2.289758402500000E+02    5.829419059253394E+02
                     1120    2.310437285000000E+02    5.829419059253394E+02
                     1130    2.331487258750000E+02    5.829419059253394E+02
                     1140    2.353121887500000E+02    5.793609125453186E+02
                     1150    2.373788102500000E+02    5.793609125453186E+02
                     1160    2.394225278750000E+02    5.793609125453186E+02
                     1170    2.414794911250000E+02    5.793609125453186E+02
                     1180    2.435583026250000E+02    5.793609125453186E+02
                     1190    2.456708000000000E+02    5.793609125453186E+02
                     1200    2.478122357500000E+02    5.793609125453186E+02
                     1210    2.498781222500000E+02    5.793609125453186E+02
                     1220    2.520331948750000E+02    5.793609125453186E+02
                     1230    2.540679592500000E+02    5.793609125453186E+02
                     1240    2.561481481250000E+02    5.793609125453186E+02
                     1250    2.582184740000000E+02    5.793609125453186E+02
                     1260    2.603010681250000E+02    5.793609125453186E+02
                     1270    2.623365648750000E+02    5.793609125453186E+02
                     1280    2.643775546250000E+02    5.793609125453186E+02
                     1290    2.664182187500000E+02    5.793609125453186E+02
                     1300    2.685188196250000E+02    5.793609125453186E+02
                     1310    2.706143282500000E+02    5.793609125453186E+02
                     1320    2.727101542500000E+02    5.793609125453186E+02
                     1330    2.747682037500000E+02    5.787722436743207E+02
                     1340    2.768116553750000E+02    5.787722436743207E+02
                     1350    2.788989797500000E+02    5.787722436743207E+02
                     1360    2.809997770000000E+02    5.760595494871203E+02
                     1370    2.830905161250000E+02    5.760595494871203E+02
                     1380    2.851928506250000E+02    5.760595494871203E+02
                     1390    2.873242106250000E+02    5.760595494871203E+02
                     1400    2.894259131250000E+02    5.760595494871203E+02
                     1410    2.914660447500000E+02    5.760595494871203E+02
                     1420    2.934937617500000E+02    5.760595494871203E+02
                     1430    2.955618956250000E+02    5.760595494871203E+02
                     1440    2.976098332500000E+02    5.760595494871203E+02
                     1450    2.996491618750000E+02    5.760595494871203E+02
                     1460    3.017947593750000E+02    5.760595494871203E+02
                     1470    3.038334570000000E+02    5.760595494871203E+02
                     1480    3.058654576250000E+02    5.760595494871203E+02
                     1490    3.078988568750000E+02    5.760595494871203E+02
                     1500    3.099845911250000E+02    5.760595494871203E+02
                     1510    3.120265953750000E+02    5.760595494871203E+02
                     1520    3.141272801250000E+02    5.760595494871203E+02
                     1530    3.162062476250000E+02    5.760595494871203E+02
                     1540    3.182776276250000E+02    5.760595494871203E+02
                     1550    3.203693313750000E+02    5.760595494871203E+02
                     1560    3.224182808750000E+02    5.760595494871203E+02
                     1570    3.244640476250000E+02    5.760595494871203E+02
                     1580    3.265347298750000E+02    5.760595494871203E+02
                     1590    3.285778995000000E+02    5.760595494871203E+02
                     1600    3.306764970000000E+02    5.760595494871203E+02
                     1610    3.326893720000000E+02    5.760595494871203E+02
                     1620    3.347932633750000E+02    5.760595494871203E+02
                     1630    3.369576790000000E+02    5.760595494871203E+02
                     1640    3.389722211250000E+02    5.760595494871203E+02
                     1650    3.410579066250000E+02    5.760595494871203E+02
                     1660    3.430659322500000E+02    5.760595494871203E+02
                     1670    3.451540335000000E+02    5.760595494871203E+02
                     1680    3.472778493750000E+02    5.760595494871203E+02
                     1690    3.493595756250000E+02    5.760595494871203E+02
                     1700    3.514959092500000E+02    5.760595494871203E+02
                     1710    3.535406946250000E+02    5.760595494871203E+02
                     1720    3.556457085000000E+02    5.760595494871203E+02
                     1730    3.577496087500000E+02    5.760595494871203E+02
                     1740    3.598006901250000E+02    5.760595494871203E+02
                     1750    3.618668828750000E+02    5.760595494871203E+02
                     1760    3.639477728750000E+02    5.760595494871203E+02
                     1770    3.660442853750000E+02    5.760595494871203E+02
                     1780    3.681063348750000E+02    5.760595494871203E+02
                     1790    3.702152277500000E+02    5.760595494871203E+02
                     1800    3.723115831250000E+02    5.760595494871203E+02
                     1810    3.744243332500000E+02    5.760595494871203E+02
                     1820    3.764775007500000E+02    5.760595494871203E+02
                     1830    3.785951141250000E+02    5.760595494871203E+02
                     1840    3.806106891250000E+02    5.760595494871203E+02
                     1850    3.827244318750000E+02    5.760595494871203E+02
                     1860    3.847493383750000E+02    5.760595494871203E+02
                     1870    3.868831287500000E+02    5.760595494871203E+02
                     1880    3.889350951250000E+02    5.760595494871203E+02
                     1890    3.909500140000000E+02    5.760595494871203E+02
                     1900    3.931321618750000E+02    5.760595494871203E+02
                     1910    3.951824891250000E+02    5.760595494871203E+02
                     1920    3.972065296250000E+02    5.760595494871203E+02
                     1930    3.992920350000000E+02    5.760595494871203E+02
                     1940    4.012664938750000E+02    5.760595494871203E+02
                     1950    4.033369728750000E+02    5.760595494871203E+02
                     1960    4.054252118750000E+02    5.760595494871203E+02
                     1970    4.075046360000000E+02    5.760595494871203E+02
                     1980    4.096549235000000E+02    5.725435735162623E+02
                     1990    4.117411856250000E+02    5.725435735162623E+02
                     2000    4.138021236250000E+02    5.725435735162623E+02
                     2010    4.158821200000000E+02    5.725435735162623E+02
                     2020    4.179324785000000E+02    5.709287737346915E+02
                     2030    4.200948511250000E+02    5.709287737346915E+02
                     2040    4.222236603750000E+02    5.709287737346915E+02
                     2050    4.243274010000000E+02    5.709287737346915E+02
                     2060    4.264332408750000E+02    5.709287737346915E+02
                     2070    4.285400377500000E+02    5.709287737346915E+02
                     2080    4.306624047500000E+02    5.709287737346915E+02
                     2090    4.327880920000000E+02    5.709287737346915E+02
                     2100    4.348739323750000E+02    5.709287737346915E+02
                     2110    4.369489445000000E+02    5.709287737346915E+02
                     2120    4.391259151250000E+02    5.709287737346915E+02
                     2130    4.411657582500000E+02    5.709287737346915E+02
                     2140    4.432916197500000E+02    5.709287737346915E+02
                     2150    4.453246882500000E+02    5.709287737346915E+02
                     2160    4.473829323750000E+02    5.709287737346915E+02
                     2170    4.494677607500000E+02    5.709287737346915E+02
                     2180    4.515458501250000E+02    5.709287737346915E+02
                     2190    4.536183133750000E+02    5.709287737346915E+02
                     2200    4.556586922500000E+02    5.709287737346915E+02
                     2210    4.577111520000000E+02    5.705578872854630E+02
                     2220    4.597526677500000E+02    5.700752530353949E+02
                     2230    4.618065900000000E+02    5.700752530353949E+02
                     2240    4.638587426250000E+02    5.700752530353949E+02
                     2250    4.659314805000000E+02    5.686861330475723E+02
                     2260    4.679799505000000E+02    5.686861330475723E+02
                     2270    4.700482572500000E+02    5.686861330475723E+02
                     2280    4.721220502500000E+02    5.686861330475723E+02
                     2290    4.742356880000000E+02    5.686861330475723E+02
                     2300    4.762969043750000E+02    5.686861330475723E+02
                     2310    4.783688445000000E+02    5.686861330475723E+02
                     2320    4.804354986250000E+02    5.686861330475723E+02
                     2330    4.825203990000000E+02    5.686861330475723E+02
                     2340    4.846136076250000E+02    5.686861330475723E+02
                     2350    4.866364067500000E+02    5.686861330475723E+02
                     2360    4.886975570000000E+02    5.686861330475723E+02
                     2370    4.908043457500000E+02    5.686861330475723E+02
                     2380    4.928446592500000E+02    5.686861330475723E+02
                     2390    4.949487260000000E+02    5.686861330475723E+02
                     2400    4.970945715000000E+02    5.686861330475723E+02
                     2410    4.992439823750000E+02    5.686861330475723E+02
                     2420    5.013281831250000E+02    5.686861330475723E+02
                     2430    5.034071936250000E+02    5.686861330475723E+02
                     2440    5.054732247500000E+02    5.686861330475723E+02
                     2450    5.075443030000000E+02    5.686861330475723E+02
                     2460    5.096330578750000E+02    5.686861330475723E+02
                     2470    5.116952140000000E+02    5.686861330475723E+02
                     2480    5.137135060000001E+02    5.686861330475723E+02
                     2490    5.158621351250000E+02    5.686861330475723E+02
                     2500    5.179206177500000E+02    5.686861330475723E+02
                     2510    5.200000226250000E+02    5.686861330475723E+02
                     2520    5.220854901250000E+02    5.686861330475723E+02
                     2530    5.241496966250000E+02    5.686861330475723E+02
                     2540    5.262025871250000E+02    5.686861330475723E+02
                     2550    5.283168558750000E+02    5.686861330475723E+02
                     2560    5.304227105000000E+02    5.686861330475723E+02
                     2570    5.326284525000000E+02    5.686861330475723E+02
                     2580    5.347608917500000E+02    5.686861330475723E+02
                     2590    5.369422762500000E+02    5.686861330475723E+02
                     2600    5.390507018750000E+02    5.686861330475723E+02
                     2610    5.411879646249999E+02    5.686861330475723E+02
                     2620    5.433271955000000E+02    5.686861330475723E+02
                     2630    5.455083937500000E+02    5.686861330475723E+02
                     2640    5.475908140000000E+02    5.686861330475723E+02
                     2650    5.497294238750000E+02    5.686861330475723E+02
                     2660    5.518385708750000E+02    5.686861330475723E+02
                     2670    5.540209488750000E+02    5.686861330475723E+02
                     2680    5.560987265000000E+02    5.686861330475723E+02
                     2690    5.582310343750000E+02    5.686861330475723E+02
                     2700    5.603657836249999E+02    5.686861330475723E+02
                     2710    5.625015891250000E+02    5.686861330475723E+02
                     2720    5.646282323750000E+02    5.686861330475723E+02
                     2730    5.667277755000000E+02    5.686861330475723E+02
                     2740    5.688996600000000E+02    5.686861330475723E+02
                     2750    5.710358106250000E+02    5.686861330475723E+02
                     2760    5.732412348750000E+02    5.686861330475723E+02
                     2770    5.753342115000000E+02    5.686861330475723E+02
                     2780    5.774200893750000E+02    5.686861330475723E+02
                     2790    5.795096138750000E+02    5.686861330475723E+02
                     2800    5.815877441250000E+02    5.686861330475723E+02
                     2810    5.836234293750000E+02    5.686861330475723E+02
                     2820    5.856619265000000E+02    5.686861330475723E+02
                     2830    5.877567846250000E+02    5.686861330475723E+02
                     2840    5.897796088750000E+02    5.686861330475723E+02
                     2850    5.919262213750000E+02    5.686861330475723E+02
                     2860    5.939873226250000E+02    5.686861330475723E+02
                     2870    5.960234710000000E+02    5.686861330475723E+02
                     2880    5.981480095000001E+02    5.686861330475723E+02
                     2890    6.002107241250000E+02    5.686861330475723E+02
                     2900    6.022999783750000E+02    5.686861330475723E+02
                     2910    6.043171586250000E+02    5.686861330475723E+02
                     2920    6.063840306250000E+02    5.686861330475723E+02
                     2930    6.084880066250000E+02    5.686861330475723E+02
                     2940    6.105330702500000E+02    5.686861330475723E+02
                     2950    6.126023493750000E+02    5.686861330475723E+02
                     2960    6.146354253750000E+02    5.686861330475723E+02
                     2970    6.167199482500000E+02    5.686861330475723E+02
                     2980    6.188325823750000E+02    5.686861330475723E+02
                     2990    6.208857426250000E+02    5.686861330475723E+02
                     3000    6.229475915000000E+02    5.686861330475723E+02
                     3010    6.249989107500001E+02    5.686861330475723E+02
                     3020    6.271361961250000E+02    5.686861330475723E+02
                     3030    6.291957368750000E+02    5.686861330475723E+02
                     3040    6.312749470000000E+02    5.686861330475723E+02
                     3050    6.333313512500000E+02    5.686861330475723E+02
                     3060    6.354161582500000E+02    5.686861330475723E+02
                     3070    6.374823870000000E+02    5.686861330475723E+02
                     3080    6.395577401250000E+02    5.686861330475723E+02
                     3090    6.416300982499999E+02    5.686861330475723E+02
                     3100    6.437259011250000E+02    5.686861330475723E+02
                     3110    6.458174896250000E+02    5.686861330475723E+02
                     3120    6.479004770000000E+02    5.686861330475723E+02
                     3130    6.500554592500000E+02    5.686861330475723E+02
                     3140    6.521356093749999E+02    5.686861330475723E+02
                     3150    6.542374912499999E+02    5.686861330475723E+02
                     3160    6.563634145000000E+02    5.686861330475723E+02
                     3170    6.584377505000000E+02    5.686861330475723E+02
                     3180    6.604987858750000E+02    5.686861330475723E+02
                     3190    6.625683386250000E+02    5.686861330475723E+02
                     3200    6.646569381250000E+02    5.686861330475723E+02
                     3210    6.667579805000000E+02    5.686861330475723E+02
                     3220    6.688007626249999E+02    5.686861330475723E+02
                     3230    6.708782626250000E+02    5.686861330475723E+02
                     3240    6.729204431250000E+02    5.686861330475723E+02
                     3250    6.750676348750000E+02    5.686861330475723E+02
                     3260    6.771846573750000E+02    5.686861330475723E+02
                     3270    6.793452108750000E+02    5.686861330475723E+02
                     3280    6.815124966250000E+02    5.686861330475723E+02
                     3290    6.836125570000000E+02    5.686861330475723E+02
                     3300    6.856827541250000E+02    5.686861330475723E+02
                     3310    6.878010421250000E+02    5.686861330475723E+02
                     3320    6.898827411250001E+02    5.686861330475723E+02
                     3330    6.920309586250000E+02    5.686861330475723E+02
                     3340    6.940985168750000E+02    5.686861330475723E+02
                     3350    6.961906173750000E+02    5.686861330475723E+02
                     3360    6.982480332500000E+02    5.686861330475723E+02
                     3370    7.003555713750000E+02    5.686861330475723E+02
                     3380    7.024336131250000E+02    5.686861330475723E+02
                     3390    7.044980158750000E+02    5.686861330475723E+02
                     3400    7.065589265000000E+02    5.686861330475723E+02
                     3410    7.086236680000000E+02    5.686861330475723E+02
                     3420    7.107083720000001E+02    5.686861330475723E+02
                     3430    7.128057430000000E+02    5.686861330475723E+02
                     3440    7.149394851250000E+02    5.686861330475723E+02
                     3450    7.170054661250000E+02    5.686861330475723E+02
                     3460    7.190853222500000E+02    5.686861330475723E+02
                     3470    7.211833600000000E+02    5.686861330475723E+02
