#                 1000000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    2.978365000000000E-01    9.060889133942984E+02
                       10    7.994966250000000E-01    7.470472490354339E+02
                       20    1.381052625000000E+00    6.623446065089564E+02
                       30    1.885325125000000E+00    6.623446065089564E+02
                       40    2.432937500000000E+00    6.494532266420435E+02
                       50    3.023982500000000E+00    6.494532266420435E+02
                       60    3.586687000000000E+00    6.494532266420435E+02
                       70    4.165796125000000E+00    6.477309427981791E+02
                       80    4.692220875000000E+00    6.476939631871836E+02
                       90    5.294381250000001E+00    6.372048479572611E+02
                      100    5.869434750000000E+00    6.273814227027365E+02
                      110    6.359472750000000E+00    6.198994235437781E+02
                      120    6.890091375000000E+00    6.139899008869268E+02
                      130    7.461326750000000E+00    6.139899008869268E+02
                      140    8.040483125000000E+00    6.139899008869268E+02
                      150    8.674335624999999E+00    6.139899008869268E+02
                      160    9.224252499999999E+00    6.139899008869268E+02
                      170    9.794673249999999E+00    6.139899008869268E+02
                      180    1.036683687500000E+01    6.041039493877654E+02
                      190    1.082577375000000E+01    6.041039493877654E+02
                      200    1.141156137500000E+01    6.041039493877654E+02
                      210    1.200679675000000E+01    5.948259468213535E+02
                      220    1.260776512500000E+01    5.948259468213535E+02
                      230    1.309794437500000E+01    5.948259468213535E+02
                      240    1.371211762500000E+01    5.948259468213535E+02
                      250    1.421562075000000E+01    5.948259468213535E+02
                      260    1.473725450000000E+01    5.948259468213535E+02
                      270    1.526248575000000E+01    5.948259468213535E+02
                      280    1.585211850000000E+01    5.948259468213535E+02
                      290    1.642607800000000E+01    5.948259468213535E+02
                      300    1.697642725000000E+01    5.917020468446626E+02
                      310    1.749969775000000E+01    5.917020468446626E+02
                      320    1.800952062500000E+01    5.917020468446626E+02
                      330    1.859839800000000E+01    5.917020468446626E+02
                      340    1.922314537500000E+01    5.917020468446626E+02
                      350    1.979812200000000E+01    5.917020468446626E+02
                      360    2.040166787500000E+01    5.917020468446626E+02
                      370    2.095714550000000E+01    5.917020468446626E+02
                      380    2.147792887500000E+01    5.917020468446626E+02
                      390    2.203878775000000E+01    5.902550331809896E+02
                      400    2.262715762500000E+01    5.902550331809896E+02
                      410    2.311168325000000E+01    5.902550331809896E+02
                      420    2.359562550000000E+01    5.902550331809896E+02
                      430    2.407385462500000E+01    5.902550331809896E+02
                      440    2.464673412500000E+01    5.902550331809896E+02
                      450    2.521612425000000E+01    5.902550331809896E+02
                      460    2.577162125000000E+01    5.902550331809896E+02
                      470    2.631132550000000E+01    5.902550331809896E+02
                      480    2.687631800000000E+01    5.902550331809896E+02
                      490    2.742637887500000E+01    5.902550331809896E+02
                      500    2.797981650000000E+01    5.902550331809896E+02
                      510    2.852204112500000E+01    5.902550331809896E+02
                      520    2.908622312500000E+01    5.902550331809896E+02
                      530    2.961206350000000E+01    5.896494819055256E+02
                      540    3.025291512500000E+01    5.896494819055256E+02
                      550    3.086131237500000E+01    5.896494819055256E+02
                      560    3.137339725000000E+01    5.896494819055256E+02
                      570    3.195816625000000E+01    5.896494819055256E+02
                      580    3.242590912500000E+01    5.896494819055256E+02
                      590    3.299121787500000E+01    5.896494819055256E+02
                      600    3.361233250000000E+01    5.896494819055256E+02
                      610    3.417018825000000E+01    5.896494819055256E+02
                      620    3.474258450000000E+01    5.896494819055256E+02
                      630    3.529617475000000E+01    5.896494819055256E+02
                      640    3.587864762500000E+01    5.896074315354706E+02
                      650    3.642824450000000E+01    5.896074315354706E+02
                      660    3.700617625000000E+01    5.896074315354706E+02
                      670    3.756010200000000E+01    5.896074315354706E+02
                      680    3.807686175000000E+01    5.896074315354706E+02
                      690    3.855639450000000E+01    5.896074315354706E+02
                      700    3.907181150000000E+01    5.896074315354706E+02
                      710    3.962636137500000E+01    5.896074315354706E+02
                      720    4.013658462500000E+01    5.896074315354706E+02
                      730    4.073198075000000E+01    5.896074315354706E+02
                      740    4.130355500000000E+01    5.896074315354706E+02
                      750    4.184390987500000E+01    5.896074315354706E+02
                      760    4.237276837500000E+01    5.896074315354706E+02
                      770    4.289813725000000E+01    5.896074315354706E+02
                      780    4.347038287500000E+01    5.896074315354706E+02
                      790    4.402564587500000E+01    5.896074315354706E+02
                      800    4.460111475000000E+01    5.896074315354706E+02
                      810    4.516767450000000E+01    5.896074315354706E+02
                      820    4.574367287500000E+01    5.886425988334020E+02
                      830    4.637452712500000E+01    5.886425988334020E+02
                      840    4.692570875000000E+01    5.886425988334020E+02
                      850    4.744350062500000E+01    5.886425988334020E+02
                      860    4.803468437500000E+01    5.886425988334020E+02
                      870    4.853750475000000E+01    5.886425988334020E+02
                      880    4.909594887500000E+01    5.886425988334020E+02
                      890    4.968658737500000E+01    5.886425988334020E+02
                      900    5.027992475000000E+01    5.886425988334020E+02
                      910    5.087835250000000E+01    5.886425988334020E+02
                      920    5.144644787500000E+01    5.834322710028641E+02
                      930    5.196417687500000E+01    5.834322710028641E+02
                      940    5.251861062500000E+01    5.834322710028641E+02
                      950    5.305827112500000E+01    5.834322710028641E+02
