#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    4.239002500000000E-01    4.485247978186271E+03
                       10    2.228564250000000E+00    3.397861635973396E+03
                       20    4.237521375000000E+00    1.510028469746328E+03
                       30    6.226056375000000E+00    1.170969855432513E+03
                       40    8.264249000000001E+00    1.090074255674337E+03
                       50    1.026770800000000E+01    1.030509838273435E+03
                       60    1.223665662500000E+01    1.005213038297191E+03
                       70    1.426355262500000E+01    9.850482985962454E+02
                       80    1.627822925000000E+01    9.725877133388922E+02
                       90    1.832627625000000E+01    9.485890136160482E+02
                      100    2.038423925000000E+01    9.330730779999283E+02
                      110    2.241886100000000E+01    9.155994920161625E+02
                      120    2.446391562500000E+01    9.170197600321668E+02
                      130    2.646606750000000E+01    9.097080128295938E+02
                      140    2.846912125000000E+01    8.770741386339560E+02
                      150    3.054178800000000E+01    8.784154784697243E+02
                      160    3.258250275000000E+01    8.557101219847184E+02
                      170    3.460750137500000E+01    8.614362159613952E+02
                      180    3.668116337500000E+01    8.559798667107998E+02
                      190    3.872689087500000E+01    8.626339726606464E+02
                      200    4.082664662500000E+01    8.565829721983013E+02
                      210    4.288982050000000E+01    8.482110451703368E+02
                      220    4.494090700000000E+01    8.442936988771294E+02
                      230    4.707818837500000E+01    8.327342123214861E+02
                      240    4.914083712500000E+01    8.343209540841289E+02
                      250    5.116498737500000E+01    8.337326564878754E+02
                      260    5.325018275000000E+01    8.399321390023122E+02
                      270    5.532840137500000E+01    8.471284670959539E+02
                      280    5.743349662500000E+01    8.525031512093523E+02
                      290    5.946885987500000E+01    8.495065468043074E+02
                      300    6.151941625000000E+01    8.390066191154556E+02
                      310    6.366462462500000E+01    8.280962858561286E+02
                      320    6.577571400000001E+01    8.274397152478624E+02
                      330    6.783742175000000E+01    8.223419312727738E+02
                      340    6.990379887500001E+01    8.310435347412397E+02
                      350    7.201698200000000E+01    8.213190747337433E+02
                      360    7.411312150000001E+01    8.235658777118039E+02
                      370    7.621938537500000E+01    8.210562211359022E+02
                      380    7.827797875000000E+01    8.187711828328501E+02
                      390    8.033502925000001E+01    8.204360764135921E+02
                      400    8.243230000000000E+01    8.148143476653986E+02
                      410    8.447940787500001E+01    8.183827771928735E+02
                      420    8.653150312500000E+01    8.272695747596437E+02
                      430    8.859295962500001E+01    8.273845752961920E+02
                      440    9.068737862499999E+01    8.311159577868597E+02
                      450    9.276238425000000E+01    8.123814961080725E+02
                      460    9.480222412500000E+01    8.299874007567196E+02
                      470    9.684227174999999E+01    8.315367406795007E+02
                      480    9.886290825000000E+01    8.412474791624950E+02
                      490    1.009127286250000E+02    8.221153384251481E+02
                      500    1.029897042500000E+02    8.382102347234331E+02
                      510    1.050518121250000E+02    8.447170911046474E+02
                      520    1.071129193750000E+02    8.260046713036797E+02
                      530    1.091618843750000E+02    8.421059534188946E+02
                      540    1.112428807500000E+02    8.370354173171804E+02
                      550    1.133811205000000E+02    8.167911500005812E+02
                      560    1.154365792500000E+02    8.250690800329603E+02
                      570    1.175167551250000E+02    8.171341711324837E+02
                      580    1.195692592500000E+02    8.198345427593933E+02
                      590    1.216281453750000E+02    8.217807304769204E+02
                      600    1.237202591250000E+02    8.092001871241544E+02
                      610    1.258053802500000E+02    8.103037268795196E+02
                      620    1.279159908750000E+02    8.105646393819115E+02
                      630    1.299972695000000E+02    8.150172835858359E+02
                      640    1.320760187500000E+02    8.178730130885745E+02
                      650    1.341382446250000E+02    8.280783405196354E+02
                      660    1.362774682500000E+02    8.212769226280432E+02
                      670    1.383294006250000E+02    8.236399068043429E+02
                      680    1.403929861250000E+02    8.088850545911766E+02
                      690    1.424886176250000E+02    8.286358355123388E+02
                      700    1.445461216250000E+02    8.315663260718808E+02
                      710    1.466117455000000E+02    8.390912091616049E+02
                      720    1.486270431250000E+02    8.309647960470809E+02
                      730    1.506273130000000E+02    8.297903188710961E+02
                      740    1.526568980000000E+02    8.249157315840117E+02
                      750    1.547143172500000E+02    8.284733534108674E+02
                      760    1.567734261250000E+02    8.114554587642897E+02
                      770    1.588364771250000E+02    8.320799712586233E+02
                      780    1.609237935000000E+02    8.334216158908919E+02
                      790    1.629549431250000E+02    8.283378309286861E+02
                      800    1.650259477500000E+02    8.332094515364233E+02
                      810    1.670850197500000E+02    8.303574255745218E+02
                      820    1.691197858750000E+02    8.235225052170031E+02
                      830    1.712325463750000E+02    8.143991544886615E+02
                      840    1.734458582500000E+02    8.149644109886068E+02
                      850    1.754871058750000E+02    8.266827310538026E+02
                      860    1.775828823750000E+02    8.404901938108674E+02
                      870    1.796414003750000E+02    8.416335523032574E+02
                      880    1.816655545000000E+02    8.451501145886032E+02
                      890    1.837107950000000E+02    8.372433967833524E+02
                      900    1.857272835000000E+02    8.321008301406808E+02
                      910    1.877832857500000E+02    8.391121206059834E+02
                      920    1.898773632500000E+02    8.328578940170432E+02
                      930    1.919167107500000E+02    8.358974457982054E+02
                      940    1.939458371250000E+02    8.366771327453396E+02
                      950    1.959901732500000E+02    8.414601146521857E+02
                      960    1.980070415000000E+02    8.463118450949013E+02
                      970    2.000685585000000E+02    8.355846743167865E+02
                      980    2.021062657500000E+02    8.309529079687534E+02
                      990    2.042078658750000E+02    8.257542892445240E+02
                     1000    2.062899878750000E+02    8.288978337754122E+02
                     1010    2.083502805000000E+02    8.181316104280523E+02
                     1020    2.104739763750000E+02    8.218853241311268E+02
                     1030    2.125787236250000E+02    8.301286733375687E+02
                     1040    2.146419080000000E+02    8.389053364384213E+02
                     1050    2.166749062500000E+02    8.332384406496689E+02
                     1060    2.187368293750000E+02    8.331983693981001E+02
                     1070    2.207627035000000E+02    8.441620549969913E+02
                     1080    2.227948298750000E+02    8.298639415502039E+02
                     1090    2.248613435000000E+02    8.184891802874041E+02
                     1100    2.268967011250000E+02    8.225790507710900E+02
                     1110    2.289758402500000E+02    8.168041440324173E+02
                     1120    2.310437285000000E+02    8.255921371893960E+02
                     1130    2.331487258750000E+02    8.158911954967368E+02
                     1140    2.353121887500000E+02    8.230177975384906E+02
                     1150    2.373788102500000E+02    8.195378327177689E+02
                     1160    2.394225278750000E+02    8.128134144435494E+02
                     1170    2.414794911250000E+02    8.224217453719459E+02
                     1180    2.435583026250000E+02    8.062408963463678E+02
                     1190    2.456708000000000E+02    8.110215724607845E+02
                     1200    2.478122357500000E+02    8.308569037639792E+02
                     1210    2.498781222500000E+02    8.242574326005731E+02
                     1220    2.520331948750000E+02    8.110932271223903E+02
                     1230    2.540679592500000E+02    8.360377089633216E+02
                     1240    2.561481481250000E+02    8.142561809422866E+02
                     1250    2.582184740000000E+02    8.166389560649861E+02
                     1260    2.603010681250000E+02    8.196623672082740E+02
                     1270    2.623365648750000E+02    8.304565671395708E+02
                     1280    2.643775546250000E+02    8.301353212116451E+02
                     1290    2.664182187500000E+02    8.354409341841479E+02
                     1300    2.685188196250000E+02    8.326628176602842E+02
                     1310    2.706143282500000E+02    8.219884061709060E+02
                     1320    2.727101542500000E+02    8.143962968928397E+02
                     1330    2.747682037500000E+02    8.028614531858416E+02
                     1340    2.768116553750000E+02    8.004597539100860E+02
                     1350    2.788989797500000E+02    8.088726881705127E+02
                     1360    2.809997770000000E+02    8.133071239510249E+02
                     1370    2.830905161250000E+02    8.229306031020452E+02
                     1380    2.851928506250000E+02    8.204756589629079E+02
                     1390    2.873242106250000E+02    8.145309152005622E+02
                     1400    2.894259131250000E+02    8.151497467753547E+02
                     1410    2.914660447500000E+02    8.192690186782188E+02
                     1420    2.934937617500000E+02    8.313758650236891E+02
                     1430    2.955618956250000E+02    8.157428784604706E+02
                     1440    2.976098332500000E+02    8.157360688652639E+02
                     1450    2.996491618750000E+02    8.111942463337498E+02
                     1460    3.017947593750000E+02    7.994731664681649E+02
                     1470    3.038334570000000E+02    8.161758567869565E+02
                     1480    3.058654576250000E+02    8.232850220909405E+02
                     1490    3.078988568750000E+02    8.163850386101558E+02
                     1500    3.099845911250000E+02    8.170943682527080E+02
                     1510    3.120265953750000E+02    8.266525090178545E+02
                     1520    3.141272801250000E+02    8.304254661383106E+02
                     1530    3.162062476250000E+02    8.433758789140473E+02
                     1540    3.182776276250000E+02    8.431084679922606E+02
                     1550    3.203693313750000E+02    8.425032077656480E+02
                     1560    3.224182808750000E+02    8.407136300167203E+02
                     1570    3.244640476250000E+02    8.386851070063751E+02
                     1580    3.265347298750000E+02    8.368190136624387E+02
                     1590    3.285778995000000E+02    8.299027600559873E+02
                     1600    3.306764970000000E+02    8.399835883547432E+02
                     1610    3.326893720000000E+02    8.459840451600414E+02
                     1620    3.347932633750000E+02    8.463272740904868E+02
                     1630    3.369576790000000E+02    8.374582956855402E+02
                     1640    3.389722211250000E+02    8.558457872263205E+02
                     1650    3.410579066250000E+02    8.670526366275501E+02
                     1660    3.430659322500000E+02    8.590512378065732E+02
                     1670    3.451540335000000E+02    8.513532386973671E+02
                     1680    3.472778493750000E+02    8.509824397859015E+02
                     1690    3.493595756250000E+02    8.285140161129075E+02
                     1700    3.514959092500000E+02    8.283804709095120E+02
                     1710    3.535406946250000E+02    8.337384028106376E+02
                     1720    3.556457085000000E+02    8.353305777409860E+02
                     1730    3.577496087500000E+02    8.244805327971158E+02
                     1740    3.598006901250000E+02    8.193303215417628E+02
                     1750    3.618668828750000E+02    8.197721306067863E+02
                     1760    3.639477728750000E+02    8.182685467838048E+02
                     1770    3.660442853750000E+02    8.225188123420306E+02
                     1780    3.681063348750000E+02    8.132386422930202E+02
                     1790    3.702152277500000E+02    8.184660912715647E+02
                     1800    3.723115831250000E+02    8.128600105273051E+02
