#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    6.830525000000000E-02    4.481489364799843E+03
                      100    1.796578250000000E+00    9.359124796455084E+02
                      200    3.551397500000000E+00    8.644033415710355E+02
                      300    5.288429500000000E+00    9.076927933504387E+02
                      400    7.021016750000000E+00    8.706240207750486E+02
                      500    8.726515000000001E+00    8.859103144275507E+02
                      600    1.047663850000000E+01    9.058937748237440E+02
                      700    1.223054675000000E+01    9.372938885866332E+02
                      800    1.394516900000000E+01    9.021559592383455E+02
                      900    1.573000050000000E+01    8.835327461005663E+02
                     1000    1.748388700000000E+01    8.957977736045641E+02
                     1100    1.917832675000000E+01    8.603323490098627E+02
                     1200    2.092141275000000E+01    8.867925980645126E+02
                     1300    2.264852025000000E+01    8.728661146160714E+02
                     1400    2.439402200000000E+01    8.739040349437680E+02
                     1500    2.617126525000000E+01    8.765599181174305E+02
                     1600    2.791982975000000E+01    8.944523715266637E+02
                     1700    2.964467950000000E+01    8.856172263269546E+02
                     1800    3.140383650000000E+01    8.813592663702178E+02
                     1900    3.317784575000000E+01    8.455183182874192E+02
                     2000    3.494496475000000E+01    9.009965507754503E+02
                     2100    3.670661225000000E+01    8.328487280770198E+02
                     2200    3.843115000000000E+01    8.600930194139769E+02
                     2300    4.018527400000000E+01    8.664558502997601E+02
                     2400    4.193576450000000E+01    8.697103386974544E+02
                     2500    4.368833550000000E+01    8.326591708995026E+02
                     2600    4.536680275000001E+01    8.417343054851208E+02
                     2700    4.704910150000000E+01    8.595925400363560E+02
                     2800    4.873567850000000E+01    8.735497654614369E+02
                     2900    5.043356475000000E+01    8.870392739791946E+02
                     3000    5.197415375000000E+01    8.511853605424534E+02
                     3100    5.369462775000000E+01    8.545985468718509E+02
                     3200    5.541802450000000E+01    8.771465036529538E+02
                     3300    5.697976150000000E+01    8.155667449879135E+02
                     3400    5.871239200000000E+01    8.841490503802734E+02
                     3500    6.043228850000000E+01    8.780561775592546E+02
                     3600    6.211078350000000E+01    8.413388120721547E+02
                     3700    6.382655125000000E+01    8.455745298595477E+02
                     3800    6.558937850000000E+01    9.004868478182829E+02
                     3900    6.732732849999999E+01    8.413748608962439E+02
                     4000    6.903522074999999E+01    8.578180242734079E+02
                     4100    7.079913499999999E+01    8.558128897445553E+02
                     4200    7.256553325000000E+01    8.684054719668788E+02
                     4300    7.430225625000000E+01    8.304800408068221E+02
                     4400    7.600738249999999E+01    8.761830023102591E+02
                     4500    7.772118250000000E+01    8.663842677873346E+02
                     4600    7.946549225000000E+01    8.634092971790035E+02
                     4700    8.116908850000000E+01    8.751606115481213E+02
                     4800    8.288698525000000E+01    9.002491322804815E+02
                     4900    8.459183775000000E+01    8.714584325331596E+02
                     5000    8.627426550000000E+01    8.803186060306161E+02
                     5100    8.800852100000000E+01    8.762711816042836E+02
                     5200    8.973239525000000E+01    8.686464137964797E+02
                     5300    9.140897575000000E+01    8.136913268692491E+02
                     5400    9.313671325000000E+01    8.766785456451628E+02
                     5500    9.487739699999999E+01    8.808733597117260E+02
                     5600    9.663159024999999E+01    8.514497552540835E+02
                     5700    9.830255174999999E+01    8.421260804939220E+02
                     5800    9.998937224999999E+01    8.601913970736348E+02
                     5900    1.018290375000000E+02    9.031700974563103E+02
                     6000    1.035641770000000E+02    9.118117852271472E+02
                     6100    1.052586962500000E+02    8.667581630506847E+02
                     6200    1.069620392500000E+02    8.650360957767155E+02
                     6300    1.086683112500000E+02    8.555467238207317E+02
                     6400    1.103476240000000E+02    8.980479855906983E+02
                     6500    1.122353617500000E+02    8.964990999499050E+02
                     6600    1.141957960000000E+02    8.368863323107198E+02
                     6700    1.161517032500000E+02    8.984739793864074E+02
                     6800    1.180699567500000E+02    8.866236267634837E+02
                     6900    1.199911667500000E+02    8.375187625713172E+02
                     7000    1.219436205000000E+02    8.814884653673672E+02
                     7100    1.239043712500000E+02    8.636015345492652E+02
                     7200    1.258671452500000E+02    8.372378501300258E+02
                     7300    1.278194142500000E+02    8.156130745661989E+02
                     7400    1.297937242500000E+02    8.551219469526757E+02
                     7500    1.318082735000000E+02    8.712284121418151E+02
                     7600    1.338021137500000E+02    8.427519425858793E+02
                     7700    1.357471135000000E+02    8.023449064551772E+02
                     7800    1.376171470000000E+02    8.546532664791584E+02
                     7900    1.393371460000000E+02    8.948239706150994E+02
                     8000    1.410482005000000E+02    8.124642764464354E+02
                     8100    1.427819127500000E+02    8.811060282390844E+02
                     8200    1.445484852500000E+02    8.342886935461407E+02
                     8300    1.463266667500000E+02    8.554179821245152E+02
                     8400    1.480958677500000E+02    8.294862684622965E+02
                     8500    1.498859230000000E+02    8.477756160990974E+02
                     8600    1.516761995000000E+02    8.697199823523256E+02
                     8700    1.534173397500000E+02    8.837091697975725E+02
                     8800    1.552261452500000E+02    8.675297068675136E+02
                     8900    1.570276800000000E+02    8.534998574237943E+02
                     9000    1.587971187500000E+02    8.844357833704289E+02
                     9100    1.605666802500000E+02    8.374237241332137E+02
                     9200    1.623031330000000E+02    8.574249341928281E+02
                     9300    1.640999047500000E+02    8.298312891696294E+02
                     9400    1.657802717500000E+02    8.350521432577657E+02
                     9500    1.675796497500000E+02    8.278943882857546E+02
                     9600    1.692922177500000E+02    8.560632700375854E+02
                     9700    1.710128757500000E+02    7.963127840446122E+02
                     9800    1.727683707500000E+02    8.151638568358571E+02
                     9900    1.745441030000000E+02    8.429398497915893E+02
                    10000    1.762237125000000E+02    8.631416734222262E+02
                    10100    1.780218502500000E+02    8.135027374603133E+02
                    10200    1.797128092500000E+02    8.258009246909014E+02
                    10300    1.814305372500000E+02    8.339990503963729E+02
                    10400    1.831474510000000E+02    8.673312629258799E+02
                    10500    1.850624210000000E+02    8.954482060824453E+02
                    10600    1.868166782500000E+02    8.257189303802834E+02
                    10700    1.885620072500000E+02    8.342958284542384E+02
                    10800    1.903980430000000E+02    8.291311387071610E+02
                    10900    1.921507395000000E+02    7.928128660072962E+02
                    11000    1.935805407500000E+02    8.278730343862435E+02
                    11100    1.949543095000000E+02    8.742133792775056E+02
                    11200    1.967341317500000E+02    8.360903109243927E+02
                    11300    1.984385222500000E+02    8.627541882339347E+02
                    11400    2.001712035000000E+02    8.519981382152796E+02
                    11500    2.021807587500000E+02    8.122254761719456E+02
                    11600    2.041221422500000E+02    8.097875535036374E+02
                    11700    2.058486000000000E+02    8.070499721486914E+02
                    11800    2.070481047500000E+02    7.879640225564633E+02
                    11900    2.082408870000000E+02    8.428444003806827E+02
                    12000    2.095747512500000E+02    8.148547755047946E+02
                    12100    2.108118572500000E+02    8.431698213838501E+02
                    12200    2.120172380000000E+02    8.366485293448675E+02
                    12300    2.132836580000000E+02    8.321447154972955E+02
                    12400    2.144829962500000E+02    8.453756134232610E+02
                    12500    2.164488845000000E+02    8.197183846331650E+02
                    12600    2.184320675000000E+02    9.023685346244598E+02
                    12700    2.203819920000000E+02    8.541439887151254E+02
                    12800    2.223266870000000E+02    8.516666827632296E+02
                    12900    2.242524295000000E+02    8.603388916841934E+02
                    13000    2.261763555000000E+02    8.419584017534190E+02
                    13100    2.281215965000000E+02    8.190381459696098E+02
                    13200    2.300975757500000E+02    7.999127226292699E+02
                    13300    2.320683500000000E+02    8.282471423079672E+02
                    13400    2.340178472500000E+02    8.717431330920751E+02
                    13500    2.359663030000000E+02    8.377712748720819E+02
                    13600    2.377024517500000E+02    8.928393682512965E+02
                    13700    2.394845037500000E+02    8.462118349094587E+02
                    13800    2.411684912500000E+02    8.171302363672967E+02
                    13900    2.428739867500000E+02    8.033457265774881E+02
                    14000    2.445631192500000E+02    8.488742622689412E+02
                    14100    2.462815597500000E+02    8.228943681835735E+02
                    14200    2.479959175000000E+02    8.324890185195668E+02
                    14300    2.497429977500000E+02    8.460920959148544E+02
                    14400    2.514504467500000E+02    8.874162919921544E+02
                    14500    2.532068055000000E+02    8.301595095952864E+02
                    14600    2.549591687500000E+02    8.642218605509640E+02
                    14700    2.566992805000000E+02    8.921058500973854E+02
                    14800    2.584099870000000E+02    8.498709782918554E+02
                    14900    2.601360255000000E+02    8.020856672826252E+02
                    15000    2.621397495000000E+02    8.269079753576088E+02
                    15100    2.640887140000000E+02    8.103011832597845E+02
                    15200    2.660678675000000E+02    7.719103355720608E+02
                    15300    2.678052075000000E+02    8.365190430891422E+02
                    15400    2.695936687500000E+02    8.435545663879548E+02
                    15500    2.713248580000000E+02    8.361742425593222E+02
                    15600    2.731087635000000E+02    8.400012245504470E+02
                    15700    2.748863245000000E+02    8.097744733621680E+02
                    15800    2.766166382500000E+02    8.555251366548532E+02
                    15900    2.783725920000000E+02    8.175680458984612E+02
                    16000    2.800708000000000E+02    8.552606530755174E+02
                    16100    2.817758335000000E+02    8.593894298173634E+02
                    16200    2.835269880000000E+02    8.634326756202577E+02
                    16300    2.852784810000000E+02    8.172883220112878E+02
                    16400    2.870469297500000E+02    8.336501606642921E+02
                    16500    2.887101850000000E+02    8.779021106357206E+02
                    16600    2.907120572500000E+02    8.408889174385129E+02
                    16700    2.926806982500000E+02    7.891650515276914E+02
                    16800    2.946620800000000E+02    8.708781666668260E+02
                    16900    2.964466520000000E+02    8.171667637084079E+02
                    17000    2.982323365000000E+02    8.766013548016116E+02
                    17100    2.999501215000000E+02    8.422491412246026E+02
                    17200    3.016383090000000E+02    8.383044982410047E+02
                    17300    3.035923322500000E+02    8.868526741606269E+02
                    17400    3.055546017500000E+02    8.424942587507010E+02
                    17500    3.075052045000000E+02    7.933958322059113E+02
                    17600    3.094958500000000E+02    8.322459425458374E+02
                    17700    3.114473407500000E+02    8.508865687552355E+02
                    17800    3.133783205000000E+02    8.719219404892563E+02
                    17900    3.153627372500000E+02    8.622306596531556E+02
                    18000    3.171180087500000E+02    7.825980150966857E+02
                    18100    3.184967882500000E+02    8.336122862947173E+02
                    18200    3.197115327500000E+02    8.378280930684796E+02
                    18300    3.211697055000000E+02    8.561124751020579E+02
                    18400    3.224198355000000E+02    8.523111605951242E+02
                    18500    3.236540717500000E+02    8.174569022060723E+02
                    18600    3.249070012500000E+02    8.087665545070678E+02
                    18700    3.261647025000000E+02    8.513631733737074E+02
                    18800    3.274270945000000E+02    8.363887226927452E+02
                    18900    3.286857367500000E+02    8.137302793381998E+02
                    19000    3.304755850000000E+02    8.557945140723817E+02
                    19100    3.322561382500000E+02    8.327183489546653E+02
                    19200    3.340394537500000E+02    8.687706253349712E+02
                    19300    3.357803202500000E+02    8.278472107797938E+02
                    19400    3.377752835000000E+02    7.909552592006979E+02
                    19500    3.397501967500000E+02    8.182962270887081E+02
                    19600    3.417313237500000E+02    8.117109421950983E+02
                    19700    3.437029982500000E+02    8.326498666692552E+02
                    19800    3.456782585000000E+02    8.567525184678606E+02
                    19900    3.476594250000000E+02    8.257153414380663E+02
                    20000    3.496378845000000E+02    8.363355180659735E+02
                    20100    3.515888912500000E+02    8.871474732683643E+02
                    20200    3.535465595000000E+02    8.600204092457191E+02
                    20300    3.555287135000000E+02    8.233277403214063E+02
                    20400    3.574832210000000E+02    8.625455892759571E+02
                    20500    3.592382845000000E+02    8.284485907843532E+02
                    20600    3.609950340000000E+02    8.208239994475186E+02
                    20700    3.626837267500000E+02    8.619606540135977E+02
                    20800    3.643708677500000E+02    8.279388947390879E+02
                    20900    3.660843972500000E+02    8.222566004271348E+02
                    21000    3.678286230000000E+02    8.151351005773806E+02
                    21100    3.697519270000000E+02    8.275821048119370E+02
                    21200    3.717062365000000E+02    8.120484280526246E+02
                    21300    3.736635167500000E+02    8.396159851651521E+02
                    21400    3.756310600000000E+02    8.516644872996335E+02
                    21500    3.776008922500000E+02    8.396028963662078E+02
                    21600    3.795549270000000E+02    8.327128016379301E+02
                    21700    3.815179857500000E+02    8.505424599842065E+02
                    21800    3.834996997500000E+02    8.573477063115537E+02
                    21900    3.854641235000000E+02    8.409770061703879E+02
                    22000    3.874220342500000E+02    8.656555724190077E+02
                    22100    3.893529210000000E+02    8.187053771889424E+02
                    22200    3.912901240000000E+02    8.239597845209428E+02
                    22300    3.932592167500000E+02    7.812265787454680E+02
                    22400    3.952116262500000E+02    8.656469507857337E+02
                    22500    3.971322407500000E+02    8.439156333358612E+02
                    22600    3.991112875000000E+02    8.368087327667541E+02
                    22700    4.010795637500000E+02    8.339710461903323E+02
                    22800    4.030764897500000E+02    8.455837285219139E+02
                    22900    4.050642145000000E+02    8.036737164216315E+02
                    23000    4.070546472500000E+02    8.297630488245811E+02
                    23100    4.090384732500000E+02    8.570966418500918E+02
                    23200    4.110085922500000E+02    8.675268518394387E+02
                    23300    4.129825842500000E+02    8.390083324182673E+02
                    23400    4.149713360000000E+02    8.439903728469926E+02
                    23500    4.169144485000000E+02    8.176889102297681E+02
                    23600    4.189089510000000E+02    8.298001213454480E+02
                    23700    4.208813987500000E+02    8.563313597144547E+02
                    23800    4.228439725000000E+02    8.249419424463929E+02
                    23900    4.248490490000000E+02    7.941192832602248E+02
                    24000    4.268208487500000E+02    8.607095260782106E+02
                    24100    4.287924812500000E+02    8.515800998327312E+02
                    24200    4.307744417500000E+02    8.691209240013594E+02
                    24300    4.327769625000000E+02    8.575120135515342E+02
                    24400    4.348061962500000E+02    8.558709171707125E+02
                    24500    4.367722512500000E+02    8.408056018111808E+02
                    24600    4.387982482500000E+02    8.473495150548356E+02
                    24700    4.407380875000000E+02    8.674108938035888E+02
                    24800    4.426911910000000E+02    8.102006418574430E+02
                    24900    4.446720310000000E+02    7.944185216066442E+02
                    25000    4.466413422500000E+02    8.612871164664759E+02
                    25100    4.485909952500000E+02    8.729116325399253E+02
                    25200    4.505925867500000E+02    8.448853079216567E+02
                    25300    4.525622012500000E+02    8.426427880816993E+02
                    25400    4.545097955000000E+02    8.722684031762930E+02
                    25500    4.564911957500000E+02    8.276728151853586E+02
                    25600    4.584367737500000E+02    8.428472395528077E+02
                    25700    4.604271142500000E+02    8.724682144397094E+02
                    25800    4.623908470000000E+02    8.458610741461678E+02
                    25900    4.643357415000000E+02    8.156390826019870E+02
                    26000    4.663070560000000E+02    8.563568450807977E+02
                    26100    4.683097845000000E+02    8.330668721713416E+02
                    26200    4.702932610000000E+02    8.343341582669815E+02
                    26300    4.722546505000000E+02    8.461159330158064E+02
                    26400    4.741954952500000E+02    8.177094073772500E+02
                    26500    4.761698472500000E+02    8.637800411442988E+02
                    26600    4.781560762500000E+02    8.593873489381268E+02
                    26700    4.801222730000000E+02    8.131755579446632E+02
                    26800    4.820862897500000E+02    8.673573442123446E+02
                    26900    4.840388097500000E+02    8.192382270484529E+02
                    27000    4.859854362500000E+02    8.943968919284112E+02
                    27100    4.879753075000000E+02    8.577380127898050E+02
                    27200    4.899481960000000E+02    8.382844282478952E+02
                    27300    4.918921730000000E+02    8.481055443583869E+02
                    27400    4.938408527500000E+02    8.385130125468688E+02
                    27500    4.958051422500000E+02    8.132867800261797E+02
                    27600    4.977706627500000E+02    8.402987177191180E+02
                    27700    4.997407387500000E+02    8.135603695638083E+02
                    27800    5.016961655000000E+02    8.638189931311232E+02
                    27900    5.036828630000000E+02    8.156831879327967E+02
                    28000    5.056079105000000E+02    8.534868645788207E+02
                    28100    5.075462547500000E+02    8.911833363144489E+02
                    28200    5.094998432500000E+02    8.552894129973379E+02
                    28300    5.114679197500000E+02    8.246659679360753E+02
                    28400    5.134244105000000E+02    8.511762859051425E+02
                    28500    5.154225812500000E+02    8.447146409381096E+02
                    28600    5.173689572500000E+02    8.487189285841802E+02
                    28700    5.193353962500000E+02    8.217985497767901E+02
                    28800    5.213193792500000E+02    8.335857499650385E+02
                    28900    5.233253042500000E+02    8.364310108454466E+02
                    29000    5.253073127500001E+02    8.011729521192989E+02
                    29100    5.272644590000000E+02    8.619392439508156E+02
                    29200    5.291999975000000E+02    8.242380469278451E+02
                    29300    5.311779957500000E+02    8.430709842546818E+02
                    29400    5.331597915000000E+02    8.497655696838874E+02
                    29500    5.351175637500000E+02    8.396652805840106E+02
                    29600    5.370937120000000E+02    8.346315284576070E+02
                    29700    5.390301132500000E+02    9.039846193572872E+02
                    29800    5.410039067500001E+02    8.389118259648044E+02
                    29900    5.429740570000000E+02    8.178180982615614E+02
                    30000    5.449230902500000E+02    8.482414479213277E+02
                    30100    5.468881827500001E+02    8.566479761311257E+02
                    30200    5.488704140000000E+02    8.509806589071043E+02
                    30300    5.508396315000000E+02    8.957271801452713E+02
                    30400    5.527933555000000E+02    8.664293695546252E+02
                    30500    5.547564342500000E+02    8.736972313476423E+02
                    30600    5.567392140000001E+02    8.730104770776535E+02
                    30700    5.587177325000000E+02    8.491151818418979E+02
                    30800    5.606981975000000E+02    8.523365771911469E+02
                    30900    5.626810202500000E+02    8.244357814367135E+02
                    31000    5.646843287500000E+02    8.189964782188845E+02
                    31100    5.666611962500000E+02    8.205767360238195E+02
                    31200    5.686687482500000E+02    8.427026117604872E+02
                    31300    5.706671542500000E+02    8.606809176291781E+02
                    31400    5.726577007500000E+02    8.127300653367927E+02
                    31500    5.746301262500000E+02    8.656550202269792E+02
                    31600    5.766424885000000E+02    8.612605577631775E+02
                    31700    5.786365065000000E+02    8.700175290715648E+02
                    31800    5.806018770000001E+02    8.415067473521935E+02
                    31900    5.825681282500000E+02    8.859293775375747E+02
                    32000    5.845478905000000E+02    8.612368634625815E+02
                    32100    5.865261207500000E+02    8.175727605280759E+02
                    32200    5.884840725000000E+02    8.456952005260468E+02
                    32300    5.904273197500000E+02    8.301700588424305E+02
                    32400    5.923774307500000E+02    8.569907147973131E+02
                    32500    5.943377512500000E+02    8.727263275692104E+02
                    32600    5.962734410000000E+02    8.311378486736171E+02
                    32700    5.982141707500000E+02    8.680991765666502E+02
                    32800    6.001849697500001E+02    8.445432899433812E+02
                    32900    6.021357142500000E+02    8.137489652106495E+02
                    33000    6.041069342500000E+02    8.742917502563316E+02
                    33100    6.060938355000000E+02    8.161445243958767E+02
                    33200    6.080596452500000E+02    8.222797246014627E+02
                    33300    6.100346370000000E+02    8.269270737397479E+02
                    33400    6.120369987500000E+02    8.954823435574699E+02
                    33500    6.139996080000000E+02    8.084175692077363E+02
                    33600    6.159621932500000E+02    8.381926111609720E+02
                    33700    6.179280840000000E+02    8.264784845912950E+02
                    33800    6.199107045000001E+02    8.608024484620585E+02
                    33900    6.218606685000000E+02    8.382310078426328E+02
                    34000    6.238856587500001E+02    8.657219829496270E+02
                    34100    6.258598567500001E+02    8.336224800887338E+02
                    34200    6.278187795000000E+02    8.699165028350059E+02
                    34300    6.298265622500001E+02    8.694570542594222E+02
                    34400    6.317771257500000E+02    8.411454724401249E+02
                    34500    6.337480562500000E+02    8.531087926320315E+02
                    34600    6.357009330000000E+02    8.691650398248750E+02
                    34700    6.376541495000000E+02    8.338050502881215E+02
                    34800    6.396476930000000E+02    8.388849817821417E+02
                    34900    6.414075110000000E+02    8.609292103056198E+02
                    35000    6.431996217500000E+02    8.354359015865244E+02
                    35100    6.449578047500000E+02    8.356075156085162E+02
                    35200    6.466501902500000E+02    8.636292081677771E+02
                    35300    6.483620260000000E+02    8.121187835797829E+02
                    35400    6.500780745000000E+02    8.505360808236902E+02
                    35500    6.518366125000000E+02    8.365819918391787E+02
                    35600    6.536114220000001E+02    7.981571119598373E+02
                    35700    6.553660902500000E+02    8.474480730144587E+02
                    35800    6.571662340000000E+02    8.212018593221885E+02
                    35900    6.589200920000000E+02    8.507067739029292E+02
                    36000    6.606872132500000E+02    8.543406099188182E+02
                    36100    6.624639410000000E+02    8.429601964326978E+02
                    36200    6.642501070000000E+02    8.532575442538237E+02
                    36300    6.660263102500001E+02    8.317217736748496E+02
                    36400    6.677994115000000E+02    8.266790346617045E+02
