#                  100000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    2.572237500000000E-01    5.131895841022008E+03
                       10    1.064603750000000E+00    4.720562413607374E+03
                       20    1.989309750000000E+00    3.965391235783800E+03
                       30    2.888397750000000E+00    3.518510429981800E+03
                       40    3.871508250000000E+00    3.518510429981800E+03
                       50    4.909332750000000E+00    3.493413990345509E+03
                       60    5.891501000000000E+00    3.424281109093551E+03
                       70    6.881086500000000E+00    3.424281109093551E+03
                       80    7.884824750000000E+00    3.325587339859720E+03
                       90    8.910237000000000E+00    3.283725749405420E+03
                      100    9.857958250000001E+00    3.256196191258131E+03
                      110    1.088464275000000E+01    3.256196191258131E+03
                      120    1.194242100000000E+01    3.256196191258131E+03
                      130    1.295024875000000E+01    3.102243784505378E+03
                      140    1.392688350000000E+01    2.995424647641476E+03
                      150    1.494816475000000E+01    2.976433136912434E+03
                      160    1.598995800000000E+01    2.976433136912434E+03
                      170    1.704012425000000E+01    2.947692356002077E+03
                      180    1.804627400000000E+01    2.945569561401951E+03
                      190    1.908941925000000E+01    2.944787126254537E+03
                      200    2.011300175000000E+01    2.944787126254537E+03
                      210    2.116356000000000E+01    2.931708465270698E+03
                      220    2.221352800000000E+01    2.925081048272728E+03
                      230    2.330941300000000E+01    2.925081048272728E+03
                      240    2.435488675000000E+01    2.925081048272728E+03
                      250    2.538146325000000E+01    2.925081048272728E+03
                      260    2.646065425000000E+01    2.925081048272728E+03
                      270    2.749484225000000E+01    2.918479131260363E+03
                      280    2.853562650000000E+01    2.918479131260363E+03
                      290    2.959153675000000E+01    2.918259762276215E+03
                      300    3.069430325000000E+01    2.915957064452220E+03
                      310    3.178302575000000E+01    2.915957064452220E+03
                      320    3.286143425000000E+01    2.915957064452220E+03
                      330    3.391254550000000E+01    2.915957064452220E+03
                      340    3.499928275000000E+01    2.915957064452220E+03
                      350    3.606081600000000E+01    2.915957064452220E+03
                      360    3.714306575000000E+01    2.915957064452220E+03
                      370    3.820872400000000E+01    2.915957064452220E+03
                      380    3.928349125000000E+01    2.915957064452220E+03
                      390    4.035622225000000E+01    2.915957064452220E+03
                      400    4.145842475000000E+01    2.915957064452220E+03
                      410    4.252666100000000E+01    2.915957064452220E+03
                      420    4.362929625000000E+01    2.915957064452220E+03
                      430    4.467997925000000E+01    2.915957064452220E+03
                      440    4.578575525000000E+01    2.909329647454250E+03
                      450    4.683341500000000E+01    2.909329647454250E+03
                      460    4.793062800000000E+01    2.909329647454250E+03
                      470    4.901320575000000E+01    2.909329647454250E+03
                      480    5.005176725000000E+01    2.909329647454250E+03
                      490    5.110548575000000E+01    2.909329647454250E+03
                      500    5.220970400000000E+01    2.909329647454250E+03
                      510    5.328626475000000E+01    2.909329647454250E+03
                      520    5.437718800000000E+01    2.909329647454250E+03
                      530    5.544917900000000E+01    2.909329647454250E+03
                      540    5.655177825000000E+01    2.907012979378135E+03
                      550    5.765202975000000E+01    2.907012979378135E+03
                      560    5.874291125000000E+01    2.904590774276279E+03
                      570    5.983728600000000E+01    2.904590774276279E+03
                      580    6.091396100000000E+01    2.904590774276279E+03
                      590    6.198914500000000E+01    2.904590774276279E+03
                      600    6.308459650000000E+01    2.904590774276279E+03
                      610    6.415421000000001E+01    2.904590774276279E+03
                      620    6.523794675000001E+01    2.904590774276279E+03
