#                  100000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    2.572237500000000E-01    3.310864520553256E+04
                       10    1.064603750000000E+00    2.471600578347203E+04
                       20    1.989309750000000E+00    5.713661320379643E+03
                       30    2.888397750000000E+00    4.775106043577405E+03
                       40    3.871508250000000E+00    4.270352167423061E+03
                       50    4.909332750000000E+00    4.099972029965251E+03
                       60    5.891501000000000E+00    3.975286692369503E+03
                       70    6.881086500000000E+00    3.834359451908194E+03
                       80    7.884824750000000E+00    3.795859922667001E+03
                       90    8.910237000000000E+00    3.762926973268913E+03
                      100    9.857958250000001E+00    3.708088934234205E+03
                      110    1.088464275000000E+01    3.661690250582917E+03
                      120    1.194242100000000E+01    3.636067115572492E+03
                      130    1.295024875000000E+01    3.578132475135979E+03
                      140    1.392688350000000E+01    3.551403734706703E+03
                      150    1.494816475000000E+01    3.476256608270443E+03
                      160    1.598995800000000E+01    3.482879251345015E+03
                      170    1.704012425000000E+01    3.436154961598792E+03
                      180    1.804627400000000E+01    3.378543306619963E+03
                      190    1.908941925000000E+01    3.380674666574159E+03
                      200    2.011300175000000E+01    3.341585739386662E+03
                      210    2.116356000000000E+01    3.310488999557378E+03
                      220    2.221352800000000E+01    3.324648404114070E+03
                      230    2.330941300000000E+01    3.309023480977583E+03
                      240    2.435488675000000E+01    3.325158850694031E+03
                      250    2.538146325000000E+01    3.291566873185063E+03
                      260    2.646065425000000E+01    3.277536109336641E+03
                      270    2.749484225000000E+01    3.287704862565353E+03
                      280    2.853562650000000E+01    3.266888687509889E+03
                      290    2.959153675000000E+01    3.266045453144930E+03
                      300    3.069430325000000E+01    3.256483219228960E+03
                      310    3.178302575000000E+01    3.225047187829186E+03
                      320    3.286143425000000E+01    3.246890235641264E+03
                      330    3.391254550000000E+01    3.252898303370553E+03
                      340    3.499928275000000E+01    3.241466747234803E+03
                      350    3.606081600000000E+01    3.239050832769299E+03
                      360    3.714306575000000E+01    3.227144433436314E+03
                      370    3.820872400000000E+01    3.224933136347685E+03
                      380    3.928349125000000E+01    3.213357657098670E+03
                      390    4.035622225000000E+01    3.246526652062154E+03
                      400    4.145842475000000E+01    3.220266893978963E+03
                      410    4.252666100000000E+01    3.238432634978979E+03
                      420    4.362929625000000E+01    3.227944764073408E+03
                      430    4.467997925000000E+01    3.231039950811738E+03
                      440    4.578575525000000E+01    3.234101620602606E+03
