# 100 Städte
# Stadt             x-Koordinate             y-Koordinate
     1    1.000000000000000E+00    0.000000000000000E+00
     2    2.000000000000000E+00    0.000000000000000E+00
     3    3.000000000000000E+00    0.000000000000000E+00
     4    4.000000000000000E+00    0.000000000000000E+00
     5    5.000000000000000E+00    0.000000000000000E+00
     6    6.000000000000000E+00    0.000000000000000E+00
     7    7.000000000000000E+00    0.000000000000000E+00
     8    8.000000000000000E+00    0.000000000000000E+00
     9    9.000000000000000E+00    0.000000000000000E+00
    10    1.000000000000000E+01    0.000000000000000E+00
    11    1.100000000000000E+01    0.000000000000000E+00
    12    1.200000000000000E+01    0.000000000000000E+00
    13    1.300000000000000E+01    0.000000000000000E+00
    14    1.400000000000000E+01    0.000000000000000E+00
    15    1.500000000000000E+01    0.000000000000000E+00
    16    1.600000000000000E+01    0.000000000000000E+00
    17    1.700000000000000E+01    0.000000000000000E+00
    18    1.800000000000000E+01    0.000000000000000E+00
    19    1.900000000000000E+01    0.000000000000000E+00
    20    2.000000000000000E+01    0.000000000000000E+00
    21    2.100000000000000E+01    0.000000000000000E+00
    22    2.200000000000000E+01    0.000000000000000E+00
    23    2.300000000000000E+01    0.000000000000000E+00
    24    2.400000000000000E+01    0.000000000000000E+00
    25    2.500000000000000E+01    0.000000000000000E+00
    26    2.600000000000000E+01    0.000000000000000E+00
    27    2.700000000000000E+01    0.000000000000000E+00
    28    2.800000000000000E+01    0.000000000000000E+00
    29    2.900000000000000E+01    0.000000000000000E+00
    30    3.000000000000000E+01    0.000000000000000E+00
    31    3.100000000000000E+01    0.000000000000000E+00
    32    3.200000000000000E+01    0.000000000000000E+00
    33    3.300000000000000E+01    0.000000000000000E+00
    34    3.400000000000000E+01    0.000000000000000E+00
    35    3.500000000000000E+01    0.000000000000000E+00
    36    3.600000000000000E+01    0.000000000000000E+00
    37    3.700000000000000E+01    0.000000000000000E+00
    38    3.800000000000000E+01    0.000000000000000E+00
    39    3.900000000000000E+01    0.000000000000000E+00
    40    4.000000000000000E+01    0.000000000000000E+00
    41    4.100000000000000E+01    0.000000000000000E+00
    42    4.200000000000000E+01    0.000000000000000E+00
    43    4.300000000000000E+01    0.000000000000000E+00
    44    4.400000000000000E+01    0.000000000000000E+00
    45    4.500000000000000E+01    0.000000000000000E+00
    46    4.600000000000000E+01    0.000000000000000E+00
    47    4.700000000000000E+01    0.000000000000000E+00
    48    4.800000000000000E+01    0.000000000000000E+00
    49    4.900000000000000E+01    0.000000000000000E+00
    50    5.000000000000000E+01    0.000000000000000E+00
    51    5.100000000000000E+01    0.000000000000000E+00
    52    5.200000000000000E+01    0.000000000000000E+00
    53    5.300000000000000E+01    0.000000000000000E+00
    54    5.400000000000000E+01    0.000000000000000E+00
    55    5.500000000000000E+01    0.000000000000000E+00
    56    5.600000000000000E+01    0.000000000000000E+00
    57    5.700000000000000E+01    0.000000000000000E+00
    58    5.800000000000000E+01    0.000000000000000E+00
    59    5.900000000000000E+01    0.000000000000000E+00
    60    6.000000000000000E+01    0.000000000000000E+00
    61    6.100000000000000E+01    0.000000000000000E+00
    62    6.200000000000000E+01    0.000000000000000E+00
    63    6.300000000000000E+01    0.000000000000000E+00
    64    6.400000000000000E+01    0.000000000000000E+00
    65    6.500000000000000E+01    0.000000000000000E+00
    66    6.600000000000000E+01    0.000000000000000E+00
    67    6.700000000000000E+01    0.000000000000000E+00
    68    6.800000000000000E+01    0.000000000000000E+00
    69    6.900000000000000E+01    0.000000000000000E+00
    70    7.000000000000000E+01    0.000000000000000E+00
    71    7.100000000000000E+01    0.000000000000000E+00
    72    7.200000000000000E+01    0.000000000000000E+00
    73    7.300000000000000E+01    0.000000000000000E+00
    74    7.400000000000000E+01    0.000000000000000E+00
    75    7.500000000000000E+01    0.000000000000000E+00
    76    7.600000000000000E+01    0.000000000000000E+00
    77    7.700000000000000E+01    0.000000000000000E+00
    78    7.800000000000000E+01    0.000000000000000E+00
    79    7.900000000000000E+01    0.000000000000000E+00
    80    8.000000000000000E+01    0.000000000000000E+00
    81    8.100000000000000E+01    0.000000000000000E+00
    82    8.200000000000000E+01    0.000000000000000E+00
    83    8.300000000000000E+01    0.000000000000000E+00
    84    8.400000000000000E+01    0.000000000000000E+00
    85    8.500000000000000E+01    0.000000000000000E+00
    86    8.600000000000000E+01    0.000000000000000E+00
    87    8.700000000000000E+01    0.000000000000000E+00
    88    8.800000000000000E+01    0.000000000000000E+00
    89    8.900000000000000E+01    0.000000000000000E+00
    90    9.000000000000000E+01    0.000000000000000E+00
    91    9.100000000000000E+01    0.000000000000000E+00
    92    9.200000000000000E+01    0.000000000000000E+00
    93    9.300000000000000E+01    0.000000000000000E+00
    94    9.400000000000000E+01    0.000000000000000E+00
    95    9.500000000000000E+01    0.000000000000000E+00
    96    9.600000000000000E+01    0.000000000000000E+00
    97    9.700000000000000E+01    0.000000000000000E+00
    98    9.800000000000000E+01    0.000000000000000E+00
    99    9.900000000000000E+01    0.000000000000000E+00
   100    1.000000000000000E+02    0.000000000000000E+00
