#  10 Städte
# Stadt             x-Koordinate             y-Koordinate
     1    1.000000000000000E+00    0.000000000000000E+00
     2    2.000000000000000E+00    0.000000000000000E+00
     3    3.000000000000000E+00    0.000000000000000E+00
     4    4.000000000000000E+00    0.000000000000000E+00
     5    5.000000000000000E+00    0.000000000000000E+00
     6    6.000000000000000E+00    0.000000000000000E+00
     7    7.000000000000000E+00    0.000000000000000E+00
     8    8.000000000000000E+00    0.000000000000000E+00
     9    9.000000000000000E+00    0.000000000000000E+00
    10    1.000000000000000E+01    0.000000000000000E+00
