#                  100000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    1.089660000000000E-01    2.094784904040584E+04
                       10    4.208407500000000E-01    1.866057897849899E+04
                       20    7.741030000000000E-01    1.811377269659588E+04
                       30    1.124801250000000E+00    1.738497875356330E+04
                       40    1.495037500000000E+00    1.734215440528089E+04
                       50    1.879317500000000E+00    1.726077856555235E+04
                       60    2.277864500000000E+00    1.711803427161033E+04
                       70    2.661433250000000E+00    1.703803577687034E+04
                       80    3.073325000000000E+00    1.676767728232127E+04
                       90    3.485702000000000E+00    1.676767728232127E+04
                      100    3.934961500000000E+00    1.674267559265420E+04
                      110    4.341196000000000E+00    1.673962016251967E+04
                      120    4.773856250000000E+00    1.673962016251967E+04
                      130    5.187521500000000E+00    1.673067059583086E+04
                      140    5.626344500000000E+00    1.673067059583086E+04
                      150    6.064535999999999E+00    1.673067059583086E+04
                      160    6.488098500000000E+00    1.673067059583086E+04
                      170    6.917323000000000E+00    1.673067059583086E+04
                      180    7.345557750000000E+00    1.673067059583086E+04
                      190    7.773775000000000E+00    1.673067059583086E+04
                      200    8.208771000000000E+00    1.673067059583086E+04
                      210    8.640144500000000E+00    1.673067059583086E+04
                      220    9.073083250000000E+00    1.673067059583086E+04
                      230    9.495466499999999E+00    1.673067059583086E+04
                      240    9.922689750000000E+00    1.672813009006936E+04
                      250    1.035643075000000E+01    1.672813009006936E+04
                      260    1.080545425000000E+01    1.672813009006936E+04
                      270    1.124175150000000E+01    1.672813009006936E+04
                      280    1.166474800000000E+01    1.672813009006936E+04
                      290    1.209325775000000E+01    1.672813009006936E+04
                      300    1.252619575000000E+01    1.672813009006936E+04
                      310    1.297086075000000E+01    1.672813009006936E+04
                      320    1.340447850000000E+01    1.672813009006936E+04
                      330    1.382649400000000E+01    1.668957301391862E+04
                      340    1.425097650000000E+01    1.660677832247613E+04
                      350    1.467007125000000E+01    1.660677832247613E+04
                      360    1.510164750000000E+01    1.660677832247613E+04
                      370    1.553418200000000E+01    1.660677832247613E+04
                      380    1.595507525000000E+01    1.660677832247613E+04
                      390    1.637745075000000E+01    1.660677832247613E+04
                      400    1.679616775000000E+01    1.660677832247613E+04
                      410    1.723395775000000E+01    1.660677832247613E+04
                      420    1.766143325000000E+01    1.660677832247613E+04
                      430    1.807750625000000E+01    1.660677832247613E+04
                      440    1.850124500000000E+01    1.660677832247613E+04
                      450    1.892296000000000E+01    1.658448772684588E+04
                      460    1.934834475000000E+01    1.658448772684588E+04
                      470    1.976788700000000E+01    1.658284955124884E+04
                      480    2.021379475000000E+01    1.658284955124884E+04
                      490    2.062783225000000E+01    1.658284955124884E+04
                      500    2.104430125000000E+01    1.658284955124884E+04
                      510    2.147401125000000E+01    1.658284955124884E+04
                      520    2.189893400000000E+01    1.654608584736580E+04
                      530    2.232333275000000E+01    1.654608584736580E+04
                      540    2.275486850000000E+01    1.654608584736580E+04
                      550    2.318647100000000E+01    1.654608584736580E+04
                      560    2.361880175000000E+01    1.654207369434836E+04
                      570    2.404213600000000E+01    1.654207369434836E+04
                      580    2.448183600000000E+01    1.654207369434836E+04
                      590    2.491482125000000E+01    1.654207369434836E+04
                      600    2.534569250000000E+01    1.654207369434836E+04
                      610    2.577420100000000E+01    1.652346235443620E+04
                      620    2.620586975000000E+01    1.649333688608153E+04
                      630    2.662609000000000E+01    1.649333688608153E+04
                      640    2.705238650000000E+01    1.649333688608153E+04
                      650    2.748717900000000E+01    1.649333688608153E+04
                      660    2.791464225000000E+01    1.649333688608153E+04
                      670    2.833409725000000E+01    1.649333688608153E+04
                      680    2.875801900000000E+01    1.649333688608153E+04
                      690    2.917771400000000E+01    1.645044707922666E+04
                      700    2.960734175000000E+01    1.645044707922666E+04
                      710    3.002535275000000E+01    1.645044707922666E+04
                      720    3.045047650000000E+01    1.645044707922666E+04
                      730    3.088513375000000E+01    1.645044707922666E+04
                      740    3.131016025000000E+01    1.645044707922666E+04
                      750    3.172955450000000E+01    1.645044707922666E+04
                      760    3.215742675000000E+01    1.645044707922666E+04
                      770    3.258576325000000E+01    1.645044707922666E+04
                      780    3.301227725000000E+01    1.645044707922666E+04
                      790    3.345058075000000E+01    1.645044707922666E+04
                      800    3.387301000000000E+01    1.645044707922666E+04
