#                  100000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    6.375800000000000E-02    2.103608963472463E+04
                       10    1.375300000000000E-01    1.876582340622400E+04
                       20    2.226342500000000E-01    1.821503012166966E+04
                       30    2.939352500000000E-01    1.756211408703438E+04
                       40    3.621807500000000E-01    1.724339529253297E+04
                       50    4.407232500000000E-01    1.704237992198306E+04
                       60    5.351280000000000E-01    1.704237992198306E+04
                       70    6.206015000000000E-01    1.685879634973849E+04
                       80    7.086067500000001E-01    1.685879634973849E+04
                       90    8.266500000000000E-01    1.685879634973849E+04
                      100    9.379255000000001E-01    1.685879634973849E+04
                      110    1.022247750000000E+00    1.685879634973849E+04
                      120    1.094285750000000E+00    1.685879634973849E+04
                      130    1.208351000000000E+00    1.685879634973849E+04
                      140    1.295159000000000E+00    1.685879634973849E+04
                      150    1.370362750000000E+00    1.685879634973849E+04
                      160    1.455025000000000E+00    1.685879634973849E+04
                      170    1.526544750000000E+00    1.685879634973849E+04
                      180    1.625870000000000E+00    1.685879634973849E+04
                      190    1.705835250000000E+00    1.685879634973849E+04
                      200    1.780738500000000E+00    1.685879634973849E+04
                      210    1.877706750000000E+00    1.683451613328990E+04
                      220    1.959779250000000E+00    1.682197860628241E+04
                      230    2.054554250000000E+00    1.682197860628241E+04
                      240    2.132865000000000E+00    1.682197860628241E+04
                      250    2.214558250000000E+00    1.682197860628241E+04
                      260    2.328193250000000E+00    1.680461189573054E+04
                      270    2.418781250000000E+00    1.680461189573054E+04
                      280    2.493362500000000E+00    1.680461189573054E+04
                      290    2.588317750000000E+00    1.680461189573054E+04
                      300    2.661705000000000E+00    1.680461189573054E+04
                      310    2.739874500000000E+00    1.680461189573054E+04
                      320    2.828506000000000E+00    1.677056514530648E+04
                      330    2.944693500000000E+00    1.677056514530648E+04
                      340    3.047815250000000E+00    1.677056514530648E+04
                      350    3.144759000000000E+00    1.677056514530648E+04
                      360    3.239174750000000E+00    1.677056514530648E+04
                      370    3.307146250000000E+00    1.677056514530648E+04
                      380    3.394388500000000E+00    1.677056514530648E+04
                      390    3.483690250000000E+00    1.677056514530648E+04
                      400    3.560251750000000E+00    1.677056514530648E+04
                      410    3.649729000000000E+00    1.677056514530648E+04
                      420    3.737351000000000E+00    1.677056514530648E+04
                      430    3.807723750000000E+00    1.677056514530648E+04
                      440    3.918536500000000E+00    1.672548253607423E+04
                      450    4.017482750000000E+00    1.672548253607423E+04
                      460    4.095237000000000E+00    1.672548253607423E+04
                      470    4.175563250000000E+00    1.672548253607423E+04
                      480    4.284375250000000E+00    1.672548253607423E+04
                      490    4.361154249999999E+00    1.672548253607423E+04
                      500    4.429344250000000E+00    1.672548253607423E+04
                      510    4.525924000000000E+00    1.672548253607423E+04
                      520    4.617298500000000E+00    1.672548253607423E+04
                      530    4.706079249999999E+00    1.670378031052365E+04
                      540    4.800858750000000E+00    1.670378031052365E+04
                      550    4.909790999999999E+00    1.670378031052365E+04
                      560    5.019674250000000E+00    1.669915706106392E+04
                      570    5.117233000000000E+00    1.669915706106392E+04
                      580    5.205256250000000E+00    1.669915706106392E+04
                      590    5.314003000000000E+00    1.669915706106392E+04
                      600    5.391277000000000E+00    1.669915706106392E+04
                      610    5.483027000000000E+00    1.669915706106392E+04
                      620    5.568472499999999E+00    1.669915706106392E+04
                      630    5.655811000000000E+00    1.669915706106392E+04
                      640    5.738671750000000E+00    1.669915706106392E+04
                      650    5.813906999999999E+00    1.669915706106392E+04
                      660    5.917880250000000E+00    1.669915706106392E+04
                      670    5.991918249999999E+00    1.669915706106392E+04
                      680    6.073480000000000E+00    1.669915706106392E+04
                      690    6.164188250000000E+00    1.666923794600747E+04
                      700    6.242194749999999E+00    1.666923794600747E+04
                      710    6.317276250000000E+00    1.666923794600747E+04
                      720    6.415091250000000E+00    1.666295436772616E+04
                      730    6.506448750000000E+00    1.665917447785572E+04
                      740    6.578938249999999E+00    1.665917447785572E+04
                      750    6.664224249999999E+00    1.665917447785572E+04
                      760    6.763800499999999E+00    1.665917447785572E+04
                      770    6.838905250000000E+00    1.665917447785572E+04
                      780    6.914912999999999E+00    1.665917447785572E+04
                      790    7.013847250000000E+00    1.665917447785572E+04
                      800    7.099373500000000E+00    1.665917447785572E+04
                      810    7.187073250000000E+00    1.665917447785572E+04
                      820    7.265591499999999E+00    1.665917447785572E+04
                      830    7.359467749999999E+00    1.665917447785572E+04
                      840    7.455572750000000E+00    1.665917447785572E+04
                      850    7.542685250000000E+00    1.665917447785572E+04
                      860    7.624258500000000E+00    1.665917447785572E+04
                      870    7.722460250000000E+00    1.665917447785572E+04
                      880    7.805685749999999E+00    1.665917447785572E+04
                      890    7.921400250000000E+00    1.665917447785572E+04
                      900    8.007943000000001E+00    1.665917447785572E+04
                      910    8.095529000000001E+00    1.665917447785572E+04
                      920    8.179813250000000E+00    1.665917447785572E+04
                      930    8.259351750000000E+00    1.665917447785572E+04
                      940    8.326774500000001E+00    1.665917447785572E+04
                      950    8.407433500000000E+00    1.665917447785572E+04
                      960    8.505262750000000E+00    1.647355476634769E+04
                      970    8.584677000000001E+00    1.647355476634769E+04
