#                  100000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    6.375800000000000E-02    1.831136396610031E+05
                       10    1.375300000000000E-01    3.451641788030033E+04
                       20    2.226342500000000E-01    2.157180626293042E+04
                       30    2.939352500000000E-01    1.996772715625873E+04
                       40    3.621807500000000E-01    1.915199273182521E+04
                       50    4.407232500000000E-01    1.905744039976751E+04
                       60    5.351280000000000E-01    1.884460039796827E+04
                       70    6.206015000000000E-01    1.870551833772787E+04
                       80    7.086067500000001E-01    1.859524195214606E+04
                       90    8.266500000000000E-01    1.828686635946158E+04
                      100    9.379255000000001E-01    1.830493454865797E+04
                      110    1.022247750000000E+00    1.811592930928044E+04
                      120    1.094285750000000E+00    1.794706118347778E+04
                      130    1.208351000000000E+00    1.819254410063566E+04
                      140    1.295159000000000E+00    1.786968310800091E+04
                      150    1.370362750000000E+00    1.807815822933245E+04
                      160    1.455025000000000E+00    1.795898160265259E+04
                      170    1.526544750000000E+00    1.795543539058374E+04
                      180    1.625870000000000E+00    1.799282100463271E+04
                      190    1.705835250000000E+00    1.788529842141223E+04
                      200    1.780738500000000E+00    1.789372485817127E+04
                      210    1.877706750000000E+00    1.807789495357978E+04
                      220    1.959779250000000E+00    1.806539579991172E+04
                      230    2.054554250000000E+00    1.794640230372137E+04
                      240    2.132865000000000E+00    1.788681588289208E+04
                      250    2.214558250000000E+00    1.784808435861397E+04
                      260    2.328193250000000E+00    1.797207719193914E+04
                      270    2.418781250000000E+00    1.780693105369666E+04
                      280    2.493362500000000E+00    1.803152362289131E+04
                      290    2.588317750000000E+00    1.791724411539480E+04
                      300    2.661705000000000E+00    1.796161646714358E+04
                      310    2.739874500000000E+00    1.797206090160807E+04
                      320    2.828506000000000E+00    1.798177021779403E+04
                      330    2.944693500000000E+00    1.798856102785780E+04
                      340    3.047815250000000E+00    1.791424725970181E+04
                      350    3.144759000000000E+00    1.805413087006517E+04
                      360    3.239174750000000E+00    1.787674632251297E+04
                      370    3.307146250000000E+00    1.812234678946323E+04
                      380    3.394388500000000E+00    1.805176244448360E+04
                      390    3.483690250000000E+00    1.781752240603447E+04
                      400    3.560251750000000E+00    1.784721918079757E+04
                      410    3.649729000000000E+00    1.796626670164166E+04
                      420    3.737351000000000E+00    1.778526431194346E+04
                      430    3.807723750000000E+00    1.790975852119729E+04
                      440    3.918536500000000E+00    1.782711795333502E+04
                      450    4.017482750000000E+00    1.776728531966027E+04
                      460    4.095237000000000E+00    1.798236193071424E+04
                      470    4.175563250000000E+00    1.794719984977230E+04
                      480    4.284375250000000E+00    1.785519141393761E+04
                      490    4.361154249999999E+00    1.787783773324995E+04
                      500    4.429344250000000E+00    1.809327214683818E+04
                      510    4.525924000000000E+00    1.782525176331820E+04
                      520    4.617298500000000E+00    1.784708656670901E+04
                      530    4.706079249999999E+00    1.784730726588055E+04
                      540    4.800858750000000E+00    1.785503753043595E+04
                      550    4.909790999999999E+00    1.795523919093981E+04
                      560    5.019674250000000E+00    1.804801333861687E+04
                      570    5.117233000000000E+00    1.780244106692304E+04
                      580    5.205256250000000E+00    1.792676683842066E+04
                      590    5.314003000000000E+00    1.770746938631164E+04
                      600    5.391277000000000E+00    1.788081850562975E+04
                      610    5.483027000000000E+00    1.785357460978868E+04
                      620    5.568472499999999E+00    1.803229441890644E+04
                      630    5.655811000000000E+00    1.792567559868943E+04
                      640    5.738671750000000E+00    1.796944292051542E+04
                      650    5.813906999999999E+00    1.795187789688487E+04
                      660    5.917880250000000E+00    1.791765160164201E+04
                      670    5.991918249999999E+00    1.786069784877428E+04
                      680    6.073480000000000E+00    1.796837419810876E+04
                      690    6.164188250000000E+00    1.784320231689877E+04
                      700    6.242194749999999E+00    1.775948708561198E+04
                      710    6.317276250000000E+00    1.785233303215227E+04
                      720    6.415091250000000E+00    1.778615505030723E+04
                      730    6.506448750000000E+00    1.773539720149596E+04
                      740    6.578938249999999E+00    1.779627615762947E+04
                      750    6.664224249999999E+00    1.785035593473243E+04
                      760    6.763800499999999E+00    1.772944958615081E+04
                      770    6.838905250000000E+00    1.787609316512518E+04
                      780    6.914912999999999E+00    1.762687754462950E+04
                      790    7.013847250000000E+00    1.788451384236724E+04
                      800    7.099373500000000E+00    1.785445543192112E+04
                      810    7.187073250000000E+00    1.779857862346466E+04
                      820    7.265591499999999E+00    1.802507716037008E+04
                      830    7.359467749999999E+00    1.790030114988386E+04
                      840    7.455572750000000E+00    1.789173690768788E+04
                      850    7.542685250000000E+00    1.777784755917697E+04
                      860    7.624258500000000E+00    1.773644089061774E+04
                      870    7.722460250000000E+00    1.781247847639463E+04
                      880    7.805685749999999E+00    1.794398951547198E+04
                      890    7.921400250000000E+00    1.780769531524648E+04
                      900    8.007943000000001E+00    1.786833123792967E+04
                      910    8.095529000000001E+00    1.796296690223284E+04
                      920    8.179813250000000E+00    1.781515916775959E+04
                      930    8.259351750000000E+00    1.778630780191129E+04
                      940    8.326774500000001E+00    1.769506305356788E+04
                      950    8.407433500000000E+00    1.769707321178597E+04
                      960    8.505262750000000E+00    1.791536942185805E+04
                      970    8.584677000000001E+00    1.782417599082666E+04
                      980    8.655796500000001E+00    1.769046388918178E+04
                      990    8.723524500000000E+00    1.798271607197985E+04
                     1000    8.806730250000001E+00    1.790335354945665E+04
                     1010    8.898253000000000E+00    1.793906303033740E+04
                     1020    8.976774750000001E+00    1.785557122259432E+04
                     1030    9.076560250000000E+00    1.775880873114718E+04
                     1040    9.159129250000001E+00    1.778870111474701E+04
                     1050    9.249169250000001E+00    1.775891030357888E+04
                     1060    9.332933000000001E+00    1.765074711905374E+04
                     1070    9.408557250000001E+00    1.771541360282376E+04
                     1080    9.503089000000001E+00    1.780555519754457E+04
                     1090    9.580455500000001E+00    1.781301524397937E+04
                     1100    9.670919750000001E+00    1.776104898174430E+04
                     1110    9.760475250000001E+00    1.793214611761853E+04
                     1120    9.833108500000000E+00    1.784666617417197E+04
                     1130    9.908958000000000E+00    1.786973477131115E+04
                     1140    9.992746500000001E+00    1.781184762401185E+04
                     1150    1.005948575000000E+01    1.798756519870604E+04
                     1160    1.015548575000000E+01    1.781612919844881E+04
                     1170    1.023098900000000E+01    1.774486786501601E+04
                     1180    1.031942025000000E+01    1.804893175425557E+04
                     1190    1.042167300000000E+01    1.755247924907001E+04
                     1200    1.053207050000000E+01    1.773171706749276E+04
                     1210    1.062744250000000E+01    1.772730551809548E+04
                     1220    1.069836025000000E+01    1.774075591503180E+04
                     1230    1.079476375000000E+01    1.772139388342946E+04
                     1240    1.087812250000000E+01    1.766952148433409E+04
                     1250    1.099075325000000E+01    1.771358594211638E+04
                     1260    1.108492675000000E+01    1.788142749646540E+04
                     1270    1.116799600000000E+01    1.769471214711174E+04
                     1280    1.124621175000000E+01    1.774083715792366E+04
                     1290    1.133250825000000E+01    1.765226144682282E+04
                     1300    1.142491550000000E+01    1.764256372469126E+04
                     1310    1.151017875000000E+01    1.783403557618767E+04
                     1320    1.159432125000000E+01    1.805993985056447E+04
                     1330    1.168652850000000E+01    1.778600523912229E+04
                     1340    1.176463900000000E+01    1.805059420504167E+04
                     1350    1.184023750000000E+01    1.769471478122792E+04
                     1360    1.192119300000000E+01    1.774985073286694E+04
