#                   Stadt             x-Koordinate             y-Koordinate
                       14    1.200000000000000E+01    4.200000000000000E+01
                       25    7.000000000000000E+00    3.800000000000000E+01
                       13    5.000000000000000E+00    2.500000000000000E+01
                       41    1.000000000000000E+01    1.700000000000000E+01
                       40    5.000000000000000E+00    6.000000000000000E+00
                       19    1.300000000000000E+01    1.300000000000000E+01
                       42    2.100000000000000E+01    1.000000000000000E+01
                       44    3.000000000000000E+01    1.500000000000000E+01
                       17    2.700000000000000E+01    2.300000000000000E+01
                       37    3.200000000000000E+01    2.200000000000000E+01
                       15    3.600000000000000E+01    1.600000000000000E+01
                       45    3.900000000000000E+01    1.000000000000000E+01
                       33    4.600000000000000E+01    1.000000000000000E+01
                       39    5.900000000000000E+01    1.500000000000000E+01
                       10    5.100000000000000E+01    2.100000000000000E+01
                       49    4.800000000000000E+01    2.800000000000000E+01
                        5    4.000000000000000E+01    3.000000000000000E+01
                       38    4.500000000000000E+01    3.500000000000000E+01
                       11    4.200000000000000E+01    4.100000000000000E+01
                       32    3.800000000000000E+01    4.600000000000000E+01
                        1    3.700000000000000E+01    5.200000000000000E+01
                       22    4.200000000000000E+01    5.700000000000000E+01
                        2    4.900000000000000E+01    4.900000000000000E+01
                       16    5.200000000000000E+01    4.100000000000000E+01
                       50    5.600000000000000E+01    3.700000000000000E+01
                        9    5.200000000000000E+01    3.300000000000000E+01
                       30    5.800000000000000E+01    2.700000000000000E+01
                       34    6.100000000000000E+01    3.300000000000000E+01
                       21    6.200000000000000E+01    4.200000000000000E+01
                       29    5.800000000000000E+01    4.800000000000000E+01
                       20    5.700000000000000E+01    5.800000000000000E+01
                       35    6.200000000000000E+01    6.300000000000000E+01
                       36    6.300000000000000E+01    6.900000000000000E+01
                        3    5.200000000000000E+01    6.400000000000000E+01
                       28    4.300000000000000E+01    6.700000000000000E+01
                       31    3.700000000000000E+01    6.900000000000000E+01
                        8    3.100000000000000E+01    6.200000000000000E+01
                       26    2.700000000000000E+01    6.800000000000000E+01
                        7    1.700000000000000E+01    6.300000000000000E+01
                       43    5.000000000000000E+00    6.400000000000000E+01
                       24    8.000000000000000E+00    5.200000000000000E+01
                       23    1.600000000000000E+01    5.700000000000000E+01
                       48    2.500000000000000E+01    5.500000000000000E+01
                        6    2.100000000000000E+01    4.700000000000000E+01
                       27    3.000000000000000E+01    4.800000000000000E+01
                       51    3.000000000000000E+01    4.000000000000000E+01
                       46    3.200000000000000E+01    3.900000000000000E+01
                       12    3.100000000000000E+01    3.200000000000000E+01
                       47    2.500000000000000E+01    3.200000000000000E+01
                        4    2.000000000000000E+01    2.600000000000000E+01
                       18    1.700000000000000E+01    3.300000000000000E+01
                       14    1.200000000000000E+01    4.200000000000000E+01
