#                  100000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    3.876950000000000E-02    5.896699908070681E+02
                       10    7.867425000000000E-02    5.326278385041069E+02
                       20    1.348712500000000E-01    4.808592299487495E+02
                       30    1.826927500000000E-01    4.589190197337051E+02
                       40    2.220950000000000E-01    4.589190197337051E+02
                       50    2.712290000000000E-01    4.589190197337051E+02
                       60    3.136685000000000E-01    4.589190197337051E+02
                       70    3.537050000000000E-01    4.589190197337051E+02
                       80    3.892485000000000E-01    4.589190197337051E+02
                       90    4.336362500000000E-01    4.589190197337051E+02
                      100    4.918590000000000E-01    4.584701637702557E+02
                      110    5.417742500000000E-01    4.533705780194427E+02
                      120    5.853657500000000E-01    4.505482147427207E+02
                      130    6.319547500000000E-01    4.486352531244256E+02
                      140    6.783472500000000E-01    4.486352531244256E+02
                      150    7.309192500000000E-01    4.446474922530132E+02
                      160    7.812390000000000E-01    4.446474922530132E+02
                      170    8.271215000000000E-01    4.446474922530132E+02
                      180    9.031157500000000E-01    4.446474922530132E+02
                      190    9.481075000000000E-01    4.446474922530132E+02
                      200    9.934397500000000E-01    4.446474922530132E+02
                      210    1.039081250000000E+00    4.446474922530132E+02
                      220    1.084548750000000E+00    4.446474922530132E+02
                      230    1.125430750000000E+00    4.446474922530132E+02
                      240    1.188165000000000E+00    4.446474922530132E+02
                      250    1.239527500000000E+00    4.446474922530132E+02
                      260    1.285399250000000E+00    4.446474922530132E+02
                      270    1.325318000000000E+00    4.446474922530132E+02
                      280    1.379916750000000E+00    4.446474922530132E+02
                      290    1.427620000000000E+00    4.446474922530132E+02
                      300    1.472451500000000E+00    4.446474922530132E+02
                      310    1.517475250000000E+00    4.446474922530132E+02
                      320    1.588613500000000E+00    4.446474922530132E+02
                      330    1.638377000000000E+00    4.446474922530132E+02
                      340    1.701075750000000E+00    4.446474922530132E+02
                      350    1.744690250000000E+00    4.446474922530132E+02
                      360    1.794663750000000E+00    4.446474922530132E+02
                      370    1.846710500000000E+00    4.446474922530132E+02
                      380    1.893668250000000E+00    4.446474922530132E+02
                      390    1.940379000000000E+00    4.446474922530132E+02
                      400    1.996238500000000E+00    4.446474922530132E+02
                      410    2.044177000000000E+00    4.446474922530132E+02
                      420    2.088743250000000E+00    4.446474922530132E+02
                      430    2.142823750000000E+00    4.446474922530132E+02
                      440    2.192823750000000E+00    4.444063495789792E+02
                      450    2.233455500000000E+00    4.349237245440922E+02
                      460    2.285691500000000E+00    4.349237245440922E+02
                      470    2.330757250000000E+00    4.349237245440922E+02
                      480    2.370579500000000E+00    4.349237245440922E+02
                      490    2.419573000000000E+00    4.349237245440922E+02
                      500    2.472991250000000E+00    4.349237245440922E+02
                      510    2.520329250000000E+00    4.349237245440922E+02
                      520    2.575362000000000E+00    4.349237245440922E+02
                      530    2.617884500000000E+00    4.349237245440922E+02
                      540    2.660065000000000E+00    4.349237245440922E+02
                      550    2.708770250000000E+00    4.349237245440922E+02
                      560    2.750317000000000E+00    4.349237245440922E+02
                      570    2.792645500000000E+00    4.349237245440922E+02
                      580    2.836545500000000E+00    4.349237245440922E+02
                      590    2.879465250000000E+00    4.349237245440922E+02
                      600    2.918998000000000E+00    4.349237245440922E+02
                      610    2.960133500000000E+00    4.349237245440922E+02
                      620    3.011167000000000E+00    4.349237245440922E+02
                      630    3.054571250000000E+00    4.349237245440922E+02
                      640    3.090101000000000E+00    4.349237245440922E+02
                      650    3.139712750000000E+00    4.349237245440922E+02
                      660    3.178829250000000E+00    4.349237245440922E+02
                      670    3.220778500000000E+00    4.349237245440922E+02
                      680    3.273387000000000E+00    4.349237245440922E+02
                      690    3.313949250000000E+00    4.349237245440922E+02
                      700    3.353796750000000E+00    4.349237245440922E+02
                      710    3.394433750000000E+00    4.349237245440922E+02
                      720    3.442297750000000E+00    4.349237245440922E+02
                      730    3.484507500000000E+00    4.349237245440922E+02
                      740    3.529934500000000E+00    4.349237245440922E+02
                      750    3.573115000000000E+00    4.349237245440922E+02
                      760    3.612711750000000E+00    4.349237245440922E+02
                      770    3.656833750000000E+00    4.349237245440922E+02
                      780    3.704429750000000E+00    4.349237245440922E+02
                      790    3.748438750000000E+00    4.349237245440922E+02
                      800    3.790958500000000E+00    4.349237245440922E+02
                      810    3.835713000000000E+00    4.349237245440922E+02
