#                  100000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    4.128300000000000E-02    5.777931916428912E+02
                       10    7.639325000000000E-02    5.541902144860713E+02
                       20    1.127937500000000E-01    4.687693391453772E+02
                       30    1.469955000000000E-01    4.585804038948984E+02
                       40    1.826277500000000E-01    4.569255731918640E+02
                       50    2.251692500000000E-01    4.483806077513300E+02
                       60    2.648007500000000E-01    4.483806077513300E+02
                       70    3.086317500000000E-01    4.480233579339771E+02
                       80    3.550487500000000E-01    4.468323340674962E+02
                       90    4.047870000000000E-01    4.468323340674962E+02
                      100    4.454725000000000E-01    4.468323340674962E+02
                      110    4.876965000000000E-01    4.468323340674962E+02
                      120    5.336742500000000E-01    4.468323340674962E+02
                      130    5.880302500000000E-01    4.468323340674962E+02
                      140    6.250912500000000E-01    4.468323340674962E+02
                      150    6.649677500000000E-01    4.468323340674962E+02
                      160    7.102752500000000E-01    4.468323340674962E+02
                      170    7.606680000000000E-01    4.468323340674962E+02
                      180    7.993882500000000E-01    4.468323340674962E+02
                      190    8.491992500000000E-01    4.468323340674962E+02
                      200    8.894860000000000E-01    4.468323340674962E+02
                      210    9.328120000000000E-01    4.468323340674962E+02
                      220    9.834062499999999E-01    4.468323340674962E+02
                      230    1.024740500000000E+00    4.468323340674962E+02
                      240    1.064712250000000E+00    4.468323340674962E+02
                      250    1.111104250000000E+00    4.468323340674962E+02
                      260    1.147338500000000E+00    4.468323340674962E+02
                      270    1.191399250000000E+00    4.468323340674962E+02
                      280    1.236628750000000E+00    4.468323340674962E+02
                      290    1.283919750000000E+00    4.468323340674962E+02
                      300    1.330341000000000E+00    4.468323340674962E+02
                      310    1.388929500000000E+00    4.468323340674962E+02
                      320    1.440422500000000E+00    4.468323340674962E+02
                      330    1.484189250000000E+00    4.468323340674962E+02
                      340    1.537899750000000E+00    4.468323340674962E+02
                      350    1.589163500000000E+00    4.468323340674962E+02
                      360    1.642766000000000E+00    4.459033761614882E+02
                      370    1.687438750000000E+00    4.459033761614882E+02
                      380    1.743215750000000E+00    4.459033761614882E+02
                      390    1.791352000000000E+00    4.459033761614882E+02
                      400    1.830856500000000E+00    4.459033761614882E+02
                      410    1.870411500000000E+00    4.459033761614882E+02
                      420    1.918536250000000E+00    4.459033761614882E+02
                      430    1.964605000000000E+00    4.459033761614882E+02
