#                  100000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    3.876950000000000E-02    1.617702717260199E+03
                       10    7.867425000000000E-02    1.250694428966431E+03
                       20    1.348712500000000E-01    5.841995405207374E+02
                       30    1.826927500000000E-01    5.044000480561417E+02
                       40    2.220950000000000E-01    4.848335786061349E+02
                       50    2.712290000000000E-01    4.800453435741758E+02
                       60    3.136685000000000E-01    4.765420233786139E+02
                       70    3.537050000000000E-01    4.730166685131404E+02
                       80    3.892485000000000E-01    4.725478067788982E+02
                       90    4.336362500000000E-01    4.723574297233473E+02
                      100    4.918590000000000E-01    4.718155847501986E+02
                      110    5.417742500000000E-01    4.690455186961329E+02
                      120    5.853657500000000E-01    4.680329996542262E+02
                      130    6.319547500000000E-01    4.645148689982154E+02
                      140    6.783472500000000E-01    4.635310204629517E+02
                      150    7.309192500000000E-01    4.618026119777173E+02
                      160    7.812390000000000E-01    4.580567591345973E+02
                      170    8.271215000000000E-01    4.564141379578065E+02
                      180    9.031157500000000E-01    4.572576773147812E+02
                      190    9.481075000000000E-01    4.563168496578862E+02
                      200    9.934397500000000E-01    4.580371405470345E+02
                      210    1.039081250000000E+00    4.559684200915227E+02
                      220    1.084548750000000E+00    4.532766447875687E+02
                      230    1.125430750000000E+00    4.528281620863897E+02
                      240    1.188165000000000E+00    4.540074597399492E+02
                      250    1.239527500000000E+00    4.532526272997205E+02
                      260    1.285399250000000E+00    4.539240191967011E+02
                      270    1.325318000000000E+00    4.536285472027639E+02
                      280    1.379916750000000E+00    4.535502064150432E+02
                      290    1.427620000000000E+00    4.532872598361178E+02
                      300    1.472451500000000E+00    4.529509797702571E+02
                      310    1.517475250000000E+00    4.536221620402116E+02
                      320    1.588613500000000E+00    4.535861950358491E+02
                      330    1.638377000000000E+00    4.530092501667477E+02
                      340    1.701075750000000E+00    4.544674601756297E+02
                      350    1.744690250000000E+00    4.536768362257712E+02
                      360    1.794663750000000E+00    4.543283755405277E+02
                      370    1.846710500000000E+00    4.533087535605736E+02
                      380    1.893668250000000E+00    4.530539240618504E+02
                      390    1.940379000000000E+00    4.532645185812280E+02
                      400    1.996238500000000E+00    4.530222945268666E+02
                      410    2.044177000000000E+00    4.526659376538522E+02
                      420    2.088743250000000E+00    4.526173844601664E+02
                      430    2.142823750000000E+00    4.523103052781230E+02
                      440    2.192823750000000E+00    4.543526776810870E+02
                      450    2.233455500000000E+00    4.536941457692533E+02
                      460    2.285691500000000E+00    4.511109423784050E+02
                      470    2.330757250000000E+00    4.506563089309519E+02
                      480    2.370579500000000E+00    4.513105897270136E+02
                      490    2.419573000000000E+00    4.517768050461666E+02
                      500    2.472991250000000E+00    4.509660487474982E+02
                      510    2.520329250000000E+00    4.508300576456875E+02
                      520    2.575362000000000E+00    4.513390111821743E+02
                      530    2.617884500000000E+00    4.507142549788642E+02
                      540    2.660065000000000E+00    4.503154850263077E+02
                      550    2.708770250000000E+00    4.515343072945689E+02
                      560    2.750317000000000E+00    4.510188853329898E+02
                      570    2.792645500000000E+00    4.507884756578871E+02
                      580    2.836545500000000E+00    4.512773887757597E+02
                      590    2.879465250000000E+00    4.515249815205122E+02
                      600    2.918998000000000E+00    4.509269467835901E+02
                      610    2.960133500000000E+00    4.504859348851127E+02
                      620    3.011167000000000E+00    4.507835062593851E+02
                      630    3.054571250000000E+00    4.507286366768179E+02
                      640    3.090101000000000E+00    4.502121058805882E+02
                      650    3.139712750000000E+00    4.510934751860830E+02
                      660    3.178829250000000E+00    4.507776655710773E+02
                      670    3.220778500000000E+00    4.509114467321057E+02
                      680    3.273387000000000E+00    4.511798739127932E+02
                      690    3.313949250000000E+00    4.509777175265166E+02
                      700    3.353796750000000E+00    4.499884544482839E+02
                      710    3.394433750000000E+00    4.496237222746619E+02
                      720    3.442297750000000E+00    4.503617372174756E+02
                      730    3.484507500000000E+00    4.502856983919663E+02
                      740    3.529934500000000E+00    4.495323250189435E+02
                      750    3.573115000000000E+00    4.491504450221804E+02
                      760    3.612711750000000E+00    4.481373313407901E+02
                      770    3.656833750000000E+00    4.486284137664136E+02
                      780    3.704429750000000E+00    4.487690257576612E+02
                      790    3.748438750000000E+00    4.485188733197792E+02
                      800    3.790958500000000E+00    4.490020221269766E+02
                      810    3.835713000000000E+00    4.490518986487882E+02
                      820    3.882771250000000E+00    4.497339990900743E+02
                      830    3.929889250000000E+00    4.486832360455955E+02
                      840    3.987420750000000E+00    4.490384726141769E+02
                      850    4.022979500000000E+00    4.495032144189558E+02
                      860    4.069793250000000E+00    4.495835860070530E+02
                      870    4.109494750000001E+00    4.495529728683620E+02
                      880    4.145841750000000E+00    4.497028467426219E+02
                      890    4.203071500000000E+00    4.476549101508717E+02
                      900    4.261721750000000E+00    4.486156739789283E+02
                      910    4.314855750000000E+00    4.477235848501691E+02
                      920    4.374733500000000E+00    4.477768709457036E+02
                      930    4.421230000000000E+00    4.482781989470921E+02
                      940    4.466278750000000E+00    4.480012993809064E+02
                      950    4.523725500000000E+00    4.483568914484320E+02
                      960    4.571368250000000E+00    4.484021915834356E+02
                      970    4.644014500000000E+00    4.469607645659222E+02
                      980    4.698481750000000E+00    4.459109070598048E+02
                      990    4.746693000000000E+00    4.454462481879765E+02
                     1000    4.789121000000001E+00    4.448553174051443E+02
                     1010    4.840206500000000E+00    4.448443547029252E+02
                     1020    4.889930750000000E+00    4.449271297547094E+02
                     1030    4.942818000000000E+00    4.455742504973166E+02
                     1040    4.985144250000000E+00    4.451523523217350E+02
                     1050    5.024310000000000E+00    4.449738397012336E+02
                     1060    5.071957500000000E+00    4.432463197179604E+02
                     1070    5.132403000000000E+00    4.440896056944855E+02
                     1080    5.175127500000000E+00    4.430202391856471E+02
                     1090    5.231087000000000E+00    4.441600041674151E+02
                     1100    5.271741500000000E+00    4.442583710938692E+02
                     1110    5.312882750000000E+00    4.429565580404003E+02
                     1120    5.364902750000001E+00    4.440456601648056E+02
                     1130    5.407621750000001E+00    4.438395258211276E+02
                     1140    5.459423250000000E+00    4.440051249837882E+02
                     1150    5.506897250000001E+00    4.430837395093752E+02
                     1160    5.547531750000000E+00    4.441942624150332E+02
                     1170    5.599070000000000E+00    4.444307302797794E+02
                     1180    5.645643000000001E+00    4.430384256157067E+02
                     1190    5.697603750000000E+00    4.439743601160723E+02
                     1200    5.746831000000000E+00    4.431688541038517E+02
                     1210    5.806861500000000E+00    4.439231564187253E+02
                     1220    5.863782250000000E+00    4.428095174483782E+02
                     1230    5.917726000000000E+00    4.442686291892550E+02
                     1240    5.964558250000001E+00    4.435103812257356E+02
                     1250    6.002462000000000E+00    4.431028265183094E+02
                     1260    6.045786250000000E+00    4.433736452699134E+02
                     1270    6.117016500000000E+00    4.435876166497606E+02
                     1280    6.166327750000000E+00    4.430078062559371E+02
                     1290    6.203060750000001E+00    4.432598565958125E+02
                     1300    6.240878750000000E+00    4.435384338406711E+02
                     1310    6.284393500000000E+00    4.432165751898578E+02
                     1320    6.330120750000000E+00    4.430013894381404E+02
                     1330    6.373954750000000E+00    4.444748298062611E+02
                     1340    6.417810750000000E+00    4.434796140859772E+02
                     1350    6.468032500000001E+00    4.435300995652208E+02
                     1360    6.507808500000000E+00    4.440278225593972E+02
                     1370    6.545131250000000E+00    4.433112548369808E+02
                     1380    6.592467750000000E+00    4.436652344744309E+02
                     1390    6.642724500000000E+00    4.440851132043847E+02
                     1400    6.693462500000000E+00    4.430670371265525E+02
                     1410    6.737255750000000E+00    4.431554695163050E+02
                     1420    6.792388250000000E+00    4.435554913533707E+02
                     1430    6.845571250000000E+00    4.439463542621664E+02
                     1440    6.898770750000001E+00    4.430025937158103E+02
                     1450    6.941430250000000E+00    4.445485082759531E+02
                     1460    6.989812250000000E+00    4.441363516452462E+02
                     1470    7.036274000000001E+00    4.436610887715459E+02
                     1480    7.084069500000000E+00    4.437105693655948E+02
                     1490    7.143651750000000E+00    4.441119642475131E+02
                     1500    7.206517750000001E+00    4.435836117732034E+02
                     1510    7.259818250000000E+00    4.428457983165663E+02
                     1520    7.296877500000000E+00    4.441138324980016E+02
                     1530    7.339697500000001E+00    4.438577447488684E+02
                     1540    7.382203750000000E+00    4.447070438646026E+02
                     1550    7.438783000000000E+00    4.437723396290576E+02
                     1560    7.486508750000000E+00    4.441335441640084E+02
                     1570    7.527119000000000E+00    4.439684697467331E+02
                     1580    7.594551000000000E+00    4.439450154558832E+02
                     1590    7.640528000000001E+00    4.449110300008867E+02
                     1600    7.694422750000000E+00    4.433039641101521E+02
                     1610    7.736447500000001E+00    4.437274069392979E+02
                     1620    7.775826000000000E+00    4.430925717227436E+02
                     1630    7.819472500000000E+00    4.434569317446255E+02
                     1640    7.857539000000000E+00    4.443836275434725E+02
                     1650    7.895681250000000E+00    4.434577500168356E+02
                     1660    7.963326000000000E+00    4.439141246343252E+02
                     1670    8.008872250000000E+00    4.434939184712576E+02
                     1680    8.064290249999999E+00    4.433499319835334E+02
                     1690    8.111217249999999E+00    4.430719279761465E+02
                     1700    8.155707249999999E+00    4.434426473880332E+02
                     1710    8.193555000000000E+00    4.425759912211421E+02
                     1720    8.244064000000000E+00    4.444811665329020E+02
                     1730    8.287256999999999E+00    4.442460319522643E+02
                     1740    8.334269249999998E+00    4.439914650720425E+02
                     1750    8.388439750000000E+00    4.439583050981027E+02
                     1760    8.428900250000000E+00    4.437390382819730E+02
                     1770    8.476616499999999E+00    4.441736839300240E+02
                     1780    8.538911250000000E+00    4.428431531381822E+02
                     1790    8.585240749999999E+00    4.433889205477702E+02
                     1800    8.629324749999999E+00    4.435312868034175E+02
                     1810    8.674337249999999E+00    4.437035109099589E+02
                     1820    8.723465500000000E+00    4.444513066762493E+02
                     1830    8.758181250000000E+00    4.438676188025976E+02
                     1840    8.795057249999999E+00    4.437078931053093E+02
                     1850    8.858715000000000E+00    4.436232770609363E+02
                     1860    8.911598750000000E+00    4.436940231749538E+02
                     1870    8.961057499999999E+00    4.428774939197105E+02
                     1880    9.000250749999999E+00    4.438437527922451E+02
                     1890    9.046831500000000E+00    4.438517741783646E+02
                     1900    9.091253750000000E+00    4.441485617834442E+02
                     1910    9.131419999999999E+00    4.438503063980814E+02
                     1920    9.190155499999999E+00    4.430857417241070E+02
                     1930    9.230612499999999E+00    4.437834010716428E+02
                     1940    9.279771999999999E+00    4.438912293200605E+02
                     1950    9.319106249999999E+00    4.430484343225280E+02
                     1960    9.383215249999999E+00    4.438398316267818E+02
                     1970    9.429626250000000E+00    4.450517059522123E+02
                     1980    9.479926499999999E+00    4.446417572789107E+02
                     1990    9.519064250000000E+00    4.439380947987836E+02
                     2000    9.576136499999999E+00    4.435841148185395E+02
                     2010    9.619434000000000E+00    4.436183591902558E+02
                     2020    9.660029750000000E+00    4.440735458238386E+02
                     2030    9.719042999999999E+00    4.446332768794307E+02
                     2040    9.759572499999999E+00    4.441897730036773E+02
                     2050    9.800765750000000E+00    4.439153820950200E+02
                     2060    9.837808250000000E+00    4.434581846842563E+02
                     2070    9.915914250000000E+00    4.429552390495804E+02
                     2080    9.951976000000000E+00    4.431737878684000E+02
                     2090    9.998889250000000E+00    4.437374403807264E+02
                     2100    1.003820225000000E+01    4.428573321249482E+02
                     2110    1.007644650000000E+01    4.437632210747402E+02
                     2120    1.011506050000000E+01    4.445606501267022E+02
                     2130    1.015905950000000E+01    4.434134806254642E+02
                     2140    1.021846175000000E+01    4.430910226508095E+02
                     2150    1.026077550000000E+01    4.431404634686567E+02
                     2160    1.030170675000000E+01    4.435192040830148E+02
                     2170    1.034927600000000E+01    4.443445567782213E+02
                     2180    1.039349525000000E+01    4.439738485379527E+02
                     2190    1.044140375000000E+01    4.444885190159025E+02
                     2200    1.047996300000000E+01    4.440654424964948E+02
                     2210    1.052818925000000E+01    4.438765440661212E+02
                     2220    1.056720250000000E+01    4.441716358188509E+02
                     2230    1.061177050000000E+01    4.438813769547629E+02
                     2240    1.066726550000000E+01    4.432422448953607E+02
                     2250    1.071766400000000E+01    4.433556282271057E+02
                     2260    1.075876825000000E+01    4.438586309063037E+02
                     2270    1.081572775000000E+01    4.431816663691396E+02
                     2280    1.086215400000000E+01    4.430302840870353E+02
                     2290    1.091179225000000E+01    4.445402195746712E+02
                     2300    1.095574725000000E+01    4.432635723974161E+02
                     2310    1.099725475000000E+01    4.438646163826425E+02
                     2320    1.105220400000000E+01    4.431343086847990E+02
                     2330    1.109421825000000E+01    4.435070607487322E+02
                     2340    1.113455525000000E+01    4.434535472839586E+02
                     2350    1.117674775000000E+01    4.446689572051382E+02
                     2360    1.121886100000000E+01    4.437579340422368E+02
                     2370    1.125855200000000E+01    4.440143560229750E+02
                     2380    1.130387025000000E+01    4.436099890702520E+02
                     2390    1.134934600000000E+01    4.445249621558377E+02
                     2400    1.140441050000000E+01    4.431802451379849E+02
                     2410    1.145518650000000E+01    4.443340858121720E+02
                     2420    1.152876075000000E+01    4.439344384373542E+02
                     2430    1.157804575000000E+01    4.429583763972519E+02
                     2440    1.162084525000000E+01    4.433712732706152E+02
                     2450    1.165844275000000E+01    4.443641752692063E+02
                     2460    1.170359600000000E+01    4.441626512510216E+02
                     2470    1.174493900000000E+01    4.445422538624454E+02
                     2480    1.180198175000000E+01    4.429316780588689E+02
                     2490    1.184227300000000E+01    4.438102710227186E+02
                     2500    1.188408000000000E+01    4.430875927145327E+02
                     2510    1.192931200000000E+01    4.440106384369196E+02
                     2520    1.198425425000000E+01    4.404240123414571E+02
                     2530    1.204218350000000E+01    4.374493396397552E+02
                     2540    1.209115050000000E+01    4.386716597143620E+02
                     2550    1.212876725000000E+01    4.377347807827625E+02
                     2560    1.216280875000000E+01    4.379982621005497E+02
                     2570    1.220732950000000E+01    4.383706001373654E+02
                     2580    1.225018825000000E+01    4.376777456546868E+02
                     2590    1.228986725000000E+01    4.383217437052739E+02
                     2600    1.232934900000000E+01    4.385386697789000E+02
                     2610    1.240279775000000E+01    4.384160356267512E+02
                     2620    1.244430425000000E+01    4.381949040040153E+02
                     2630    1.249502825000000E+01    4.389270896543246E+02
                     2640    1.253981750000000E+01    4.395683473361369E+02
                     2650    1.258663000000000E+01    4.381930066350959E+02
                     2660    1.263408900000000E+01    4.374092010002696E+02
                     2670    1.267870225000000E+01    4.372579157874854E+02
                     2680    1.272858525000000E+01    4.380374185454461E+02
                     2690    1.277154250000000E+01    4.380280991946257E+02
                     2700    1.281513600000000E+01    4.367491674581226E+02
                     2710    1.285993375000000E+01    4.381231936011359E+02
                     2720    1.289899975000000E+01    4.377630389081027E+02
                     2730    1.293973925000000E+01    4.387297625446811E+02
                     2740    1.299046225000000E+01    4.391630042307877E+02
                     2750    1.303882725000000E+01    4.376295717248008E+02
                     2760    1.308534150000000E+01    4.377035772622187E+02
                     2770    1.312187325000000E+01    4.377851827850316E+02
                     2780    1.319398575000000E+01    4.374480541124068E+02
                     2790    1.323114375000000E+01    4.380553953919035E+02
                     2800    1.327514600000000E+01    4.384232592623562E+02
                     2810    1.331938825000000E+01    4.372861216961554E+02
                     2820    1.336362475000000E+01    4.386263398093618E+02
                     2830    1.340068925000000E+01    4.371037853667789E+02
                     2840    1.346950050000000E+01    4.377157339026743E+02
                     2850    1.351597900000000E+01    4.379711641812303E+02
                     2860    1.356135650000000E+01    4.386173197655946E+02
                     2870    1.360307450000000E+01    4.383790725007342E+02
                     2880    1.364914600000000E+01    4.372760205347953E+02
                     2890    1.369136750000000E+01    4.383319399565903E+02
                     2900    1.373076225000000E+01    4.377694467670360E+02
                     2910    1.377356950000000E+01    4.381937042600765E+02
                     2920    1.381871125000000E+01    4.391385608433895E+02
                     2930    1.385661200000000E+01    4.377554742371976E+02
                     2940    1.390319400000000E+01    4.382170632032919E+02
                     2950    1.394894975000000E+01    4.397333178098688E+02
                     2960    1.399818700000000E+01    4.389827655195993E+02
                     2970    1.404367950000000E+01    4.376496657936215E+02
                     2980    1.408167925000000E+01    4.380897344960040E+02
                     2990    1.413411225000000E+01    4.385803270190523E+02
                     3000    1.419222275000000E+01    4.392622341933125E+02
                     3010    1.423359200000000E+01    4.382584607301525E+02
                     3020    1.429925925000000E+01    4.379197333613404E+02
                     3030    1.433701000000000E+01    4.380894521223526E+02
                     3040    1.437509750000000E+01    4.383672162821924E+02
                     3050    1.441402000000000E+01    4.378170690405391E+02
                     3060    1.445978175000000E+01    4.381662195231290E+02
                     3070    1.449981150000000E+01    4.371344685575763E+02
                     3080    1.453665100000000E+01    4.389074757200406E+02
                     3090    1.460797725000000E+01    4.377704770165863E+02
                     3100    1.464617325000000E+01    4.378355383983682E+02
                     3110    1.468794075000000E+01    4.375330985140659E+02
                     3120    1.472870725000000E+01    4.378456690224955E+02
                     3130    1.478111950000000E+01    4.376334515936063E+02
                     3140    1.482384100000000E+01    4.387293733697600E+02
                     3150    1.486556375000000E+01    4.377977067047432E+02
                     3160    1.490903600000000E+01    4.374784846921991E+02
                     3170    1.495374100000000E+01    4.385705622438535E+02
                     3180    1.499908875000000E+01    4.385868253134294E+02
                     3190    1.504201825000000E+01    4.395641474436110E+02
                     3200    1.509716675000000E+01    4.381989915235927E+02
                     3210    1.513991850000000E+01    4.382812790163179E+02
                     3220    1.518608625000000E+01    4.371584276094533E+02
                     3230    1.523291775000000E+01    4.381152550934909E+02
                     3240    1.528578425000000E+01    4.389650377583008E+02
                     3250    1.533901725000000E+01    4.379692034638549E+02
                     3260    1.539361425000000E+01    4.373750073367297E+02
                     3270    1.543727475000000E+01    4.383541694739200E+02
                     3280    1.548698150000000E+01    4.386342430362182E+02
                     3290    1.553934600000000E+01    4.378886395488825E+02
                     3300    1.559037850000000E+01    4.389032249130672E+02
                     3310    1.563911525000000E+01    4.383626930753934E+02
                     3320    1.568203200000000E+01    4.370257209605548E+02
                     3330    1.572340450000000E+01    4.385254891480464E+02
                     3340    1.578654875000000E+01    4.389675484414719E+02
