#                  100000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    5.320100000000001E-02    1.615363887160392E+03
                       10    1.599035000000000E-01    1.092615686781168E+03
                       20    2.627655000000000E-01    6.318355359466414E+02
                       30    3.663587500000000E-01    5.186325372521103E+02
                       40    4.683157500000000E-01    4.911782096380867E+02
                       50    5.804997500000000E-01    4.825450627853104E+02
                       60    6.877580000000000E-01    4.786528257491682E+02
                       70    8.073140000000000E-01    4.760246288134189E+02
                       80    9.140360000000000E-01    4.753936952223439E+02
                       90    1.028662000000000E+00    4.748655301283483E+02
                      100    1.146161250000000E+00    4.747448172223266E+02
                      110    1.267703750000000E+00    4.743070961651566E+02
                      120    1.381899250000000E+00    4.732798905184695E+02
                      130    1.477569750000000E+00    4.735348378458991E+02
                      140    1.593639750000000E+00    4.708772328675127E+02
                      150    1.701393000000000E+00    4.717448686073586E+02
                      160    1.815588750000000E+00    4.725732620869936E+02
                      170    1.932406250000000E+00    4.693644129666149E+02
                      180    2.030185000000000E+00    4.701645933242680E+02
                      190    2.149334000000000E+00    4.679035092783439E+02
                      200    2.256066250000000E+00    4.679265974790268E+02
                      210    2.376895000000000E+00    4.640648452376647E+02
                      220    2.480889000000000E+00    4.660707884428960E+02
                      230    2.575313250000000E+00    4.645229670341155E+02
                      240    2.679206500000000E+00    4.664342418520128E+02
                      250    2.788478750000000E+00    4.649902220452555E+02
                      260    2.894352500000000E+00    4.637376553185228E+02
                      270    3.008864000000000E+00    4.617490196104955E+02
                      280    3.127031000000000E+00    4.624326482977820E+02
                      290    3.229548000000000E+00    4.611557320858648E+02
                      300    3.325982250000000E+00    4.623229816058820E+02
                      310    3.440547000000000E+00    4.624925343387478E+02
                      320    3.554005750000000E+00    4.637571118344953E+02
                      330    3.659636250000000E+00    4.625992999865350E+02
                      340    3.769275750000000E+00    4.628682890965348E+02
                      350    3.865713500000000E+00    4.607712822075076E+02
                      360    3.957225250000000E+00    4.639257464825163E+02
                      370    4.045684749999999E+00    4.615582112224376E+02
                      380    4.132601250000000E+00    4.623100265662527E+02
                      390    4.242317249999999E+00    4.632052215038024E+02
                      400    4.335961500000000E+00    4.636128462677011E+02
                      410    4.446527250000000E+00    4.605787979940734E+02
                      420    4.556658499999999E+00    4.623524647043700E+02
                      430    4.665886250000000E+00    4.598145041886000E+02
                      440    4.777138750000000E+00    4.641097002707215E+02
                      450    4.890215250000000E+00    4.615372516885286E+02
                      460    4.998791750000000E+00    4.623017539117650E+02
                      470    5.102766000000000E+00    4.592356563887557E+02
                      480    5.209104500000000E+00    4.608953650178009E+02
                      490    5.286962249999999E+00    4.641862051375034E+02
                      500    5.364606250000000E+00    4.578878266971352E+02
                      510    5.447704500000000E+00    4.620082180680923E+02
                      520    5.555572250000000E+00    4.597955429103314E+02
                      530    5.662070249999999E+00    4.610814594028494E+02
                      540    5.774739749999999E+00    4.612657919618317E+02
                      550    5.883851999999999E+00    4.590474795096131E+02
                      560    5.993059000000000E+00    4.620365346103216E+02
                      570    6.087458250000000E+00    4.607775668385136E+02
                      580    6.151618750000000E+00    4.620188721628035E+02
                      590    6.238438749999999E+00    4.622642423591484E+02
                      600    6.313695249999999E+00    4.604974424817581E+02
                      610    6.408378249999999E+00    4.608544572465116E+02
                      620    6.516418499999999E+00    4.620936373884836E+02
                      630    6.636791000000000E+00    4.583501215913857E+02
                      640    6.736512749999999E+00    4.592920008482737E+02
                      650    6.852078750000000E+00    4.587156410222452E+02
                      660    6.948244750000000E+00    4.619657580931034E+02
                      670    7.065513500000000E+00    4.639017124822524E+02
                      680    7.175693750000000E+00    4.601845238534042E+02
                      690    7.282273999999999E+00    4.622812930583039E+02
                      700    7.393280000000000E+00    4.596994356153563E+02
