#                   Stadt             x-Koordinate             y-Koordinate
                       48    3.874000000000000E+03    1.318000000000000E+03
                       30    3.520000000000000E+03    1.079000000000000E+03
                       39    3.479000000000000E+03    8.210000000000000E+02
                       96    3.756000000000000E+03    8.820000000000000E+02
                       78    3.822000000000000E+03    8.990000000000000E+02
                       52    3.854000000000000E+03    9.230000000000000E+02
                        5    3.888000000000000E+03    6.660000000000000E+02
                       37    3.875000000000000E+03    5.980000000000000E+02
                       33    3.913000000000000E+03    1.920000000000000E+02
                       76    3.893000000000000E+03    1.020000000000000E+02
                       13    3.815000000000000E+03    1.690000000000000E+02
                       95    3.640000000000000E+03    4.300000000000000E+01
                       82    3.416000000000000E+03    1.430000000000000E+02
                       85    3.113000000000000E+03    8.850000000000000E+02
                       68    2.991000000000000E+03    7.920000000000000E+02
                       73    2.863000000000000E+03    5.580000000000000E+02
                       50    3.022000000000000E+03    4.740000000000000E+02
                       44    2.936000000000000E+03    3.370000000000000E+02
                        2    2.848000000000000E+03    9.600000000000000E+01
                       54    2.519000000000000E+03    1.350000000000000E+02
                       40    2.542000000000000E+03    2.360000000000000E+02
                       64    2.588000000000000E+03    3.020000000000000E+02
                       69    2.573000000000000E+03    5.990000000000000E+02
                       81    2.599000000000000E+03    9.010000000000000E+02
                       25    2.574000000000000E+03    9.460000000000000E+02
                       87    2.586000000000000E+03    1.286000000000000E+03
                       51    2.482000000000000E+03    1.183000000000000E+03
                       61    2.421000000000000E+03    1.007000000000000E+03
                       58    2.097000000000000E+03    9.810000000000000E+02
                       67    1.917000000000000E+03    6.870000000000000E+02
                       28    1.795000000000000E+03    9.620000000000000E+02
                       93    1.787000000000000E+03    1.009000000000000E+03
                       47    1.393000000000000E+03    1.368000000000000E+03
                        1    1.380000000000000E+03    9.390000000000000E+02
                       63    1.115000000000000E+03    1.052000000000000E+03
                        6    9.840000000000000E+02    9.650000000000000E+02
                       49    9.380000000000000E+02    9.550000000000000E+02
                       90    7.420000000000000E+02    1.025000000000000E+03
                       19    6.110000000000000E+02    6.730000000000000E+02
                       75    8.390000000000000E+02    6.200000000000000E+02
                       92    1.187000000000000E+03    7.060000000000000E+02
                        8    1.286000000000000E+03    5.250000000000000E+02
                       42    1.323000000000000E+03    2.800000000000000E+02
                       89    1.429000000000000E+03    1.340000000000000E+02
                       31    1.256000000000000E+03    6.100000000000000E+01
                       80    1.178000000000000E+03    1.000000000000000E+02
                       56    9.530000000000000E+02    2.680000000000000E+02
                       97    7.760000000000000E+02    3.920000000000000E+02
                        4    4.570000000000000E+02    3.340000000000000E+02
                       65    3.270000000000000E+02    2.650000000000000E+02
                       26    1.780000000000000E+02    2.400000000000000E+01
                       66    2.410000000000000E+02    3.410000000000000E+02
                       70    1.900000000000000E+01    6.740000000000000E+02
                       22    5.300000000000000E+01    8.570000000000000E+02
                       94    2.200000000000000E+01    9.870000000000000E+02
                       16    1.230000000000000E+02    8.620000000000000E+02
                       88    1.610000000000000E+02    9.060000000000000E+02
                       53    3.760000000000000E+02    8.250000000000000E+02
                       79    3.780000000000000E+02    1.048000000000000E+03
                       18    2.520000000000000E+02    1.240000000000000E+03
                       24    2.740000000000000E+02    1.420000000000000E+03
                       38    2.980000000000000E+02    1.513000000000000E+03
                       99    1.980000000000000E+02    1.810000000000000E+03
                       36    4.630000000000000E+02    1.670000000000000E+03
                       84    6.110000000000000E+02    1.384000000000000E+03
                       10    7.380000000000000E+02    1.325000000000000E+03
                       72    8.720000000000000E+02    1.559000000000000E+03
                       21    9.280000000000000E+02    1.700000000000000E+03
                       74    9.290000000000000E+02    1.766000000000000E+03
                       59    8.900000000000000E+02    1.846000000000000E+03
                       17    1.234000000000000E+03    1.946000000000000E+03
                       15    1.247000000000000E+03    1.945000000000000E+03
                       11    1.251000000000000E+03    1.832000000000000E+03
                       32    1.424000000000000E+03    1.728000000000000E+03
                       45    1.621000000000000E+03    1.830000000000000E+03
                       91    1.625000000000000E+03    1.651000000000000E+03
                       98    1.724000000000000E+03    1.642000000000000E+03
                       23    1.807000000000000E+03    1.711000000000000E+03
                       77    2.178000000000000E+03    1.619000000000000E+03
                       60    2.139000000000000E+03    1.806000000000000E+03
                       62    2.290000000000000E+03    1.810000000000000E+03
                       35    2.573000000000000E+03    1.969000000000000E+03
                       86    2.597000000000000E+03    1.830000000000000E+03
                       27    2.678000000000000E+03    1.825000000000000E+03
                       12    2.728000000000000E+03    1.698000000000000E+03
                       20    2.576000000000000E+03    1.676000000000000E+03
                       57    2.628000000000000E+03    1.479000000000000E+03
                        9    2.716000000000000E+03    1.432000000000000E+03
                        7    2.721000000000000E+03    1.482000000000000E+03
                       55    2.945000000000000E+03    1.622000000000000E+03
                       83    2.961000000000000E+03    1.605000000000000E+03
                       34    3.085000000000000E+03    1.528000000000000E+03
                       29    3.384000000000000E+03    1.498000000000000E+03
                       46    3.373000000000000E+03    1.646000000000000E+03
                       43    3.447000000000000E+03    1.830000000000000E+03
                        3    3.510000000000000E+03    1.671000000000000E+03
                       14    3.683000000000000E+03    1.533000000000000E+03
                       71    3.911000000000000E+03    1.673000000000000E+03
                       41    3.955000000000000E+03    1.743000000000000E+03
                      100    3.950000000000000E+03    1.558000000000000E+03
                       48    3.874000000000000E+03    1.318000000000000E+03
