#                 1000000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    3.233320000000000E-01    3.555593906187983E+04
                       10    2.506666000000000E+00    3.032138298692364E+04
                       20    4.636666000000000E+00    2.837329644728015E+04
                       30    6.473332000000000E+00    2.608994956371002E+04
                       40    8.293332000000001E+00    2.525151269670120E+04
                       50    1.006666500000000E+01    2.525393286633017E+04
                       60    1.183333200000000E+01    2.371951902655122E+04
                       70    1.377333100000000E+01    2.371951902655122E+04
                       80    1.573333100000000E+01    2.371951902655122E+04
                       90    1.746333100000000E+01    2.405163343185485E+04
                      100    1.937333100000000E+01    2.479980192063100E+04
                      110    2.117999800000000E+01    2.371951902655122E+04
                      120    2.286999700000000E+01    2.371951902655122E+04
                      130    2.461666300000000E+01    2.371951902655122E+04
                      140    2.630999700000000E+01    2.326540537476563E+04
                      150    2.794666400000000E+01    2.371951902655122E+04
                      160    2.950666400000000E+01    2.319801915870570E+04
                      170    3.092999600000000E+01    2.319801915870570E+04
                      180    3.239332899999999E+01    2.319801915870570E+04
                      190    3.386666200000000E+01    2.279554025361990E+04
                      200    3.523666300000000E+01    2.279554025361990E+04
                      210    3.651666299999999E+01    2.279554025361990E+04
                      220    3.784999600000000E+01    2.272985809983584E+04
                      230    3.909332900000000E+01    2.279554025361990E+04
                      240    4.041666200000000E+01    2.279554025361990E+04
                      250    4.198999500000000E+01    2.279554025361990E+04
                      260    4.355666200000000E+01    2.279554025361990E+04
                      270    4.503332899999999E+01    2.279554025361990E+04
                      280    4.633999499999999E+01    2.263944936630363E+04
                      290    4.753999500000000E+01    2.279554025361990E+04
                      300    4.867666100000000E+01    2.279554025361990E+04
                      310    4.979666200000000E+01    2.213358247068614E+04
                      320    5.089999400000000E+01    2.213358247068614E+04
                      330    5.199666100000000E+01    2.213358247068614E+04
                      340    5.312999400000000E+01    2.213358247068614E+04
                      350    5.424666100000000E+01    2.213358247068614E+04
                      360    5.541332700000000E+01    2.213358247068614E+04
                      370    5.666999400000000E+01    2.213358247068614E+04
                      380    5.798999300000000E+01    2.213358247068614E+04
                      390    5.910332700000000E+01    2.213358247068614E+04
                      400    6.020332699999999E+01    2.213358247068614E+04
                      410    6.135666000000000E+01    2.213358247068614E+04
                      420    6.243666000000000E+01    2.213358247068614E+04
                      430    6.349332700000000E+01    2.213358247068614E+04
                      440    6.457665900000001E+01    2.213358247068614E+04
                      450    6.564999300000001E+01    2.213358247068614E+04
                      460    6.670666000000000E+01    2.213358247068614E+04
                      470    6.771999200000000E+01    2.213358247068614E+04
                      480    6.875666000000001E+01    2.213358247068614E+04
                      490    6.977999300000000E+01    2.213358247068614E+04
                      500    7.078999300000001E+01    2.213358247068614E+04
                      510    7.180332500000000E+01    2.213358247068614E+04
                      520    7.282999200000000E+01    2.213358247068614E+04
                      530    7.384332600000000E+01    2.213358247068614E+04
                      540    7.483332600000000E+01    2.213358247068614E+04
                      550    7.585999200000001E+01    2.213358247068614E+04
                      560    7.689665800000000E+01    2.213358247068614E+04
                      570    7.791665900000001E+01    2.213358247068614E+04
                      580    7.894999200000001E+01    2.213358247068614E+04
                      590    7.996999100000001E+01    2.213358247068614E+04
                      600    8.096332500000000E+01    2.213358247068614E+04
                      610    8.193332500000001E+01    2.213358247068614E+04
                      620    8.293332500000001E+01    2.213358247068614E+04
                      630    8.392999100000000E+01    2.213358247068614E+04
                      640    8.492332400000001E+01    2.213358247068614E+04
                      650    8.595999100000000E+01    2.213358247068614E+04
                      660    8.704332400000000E+01    2.213358247068614E+04
                      670    8.813332400000000E+01    2.213358247068614E+04
                      680    8.918665700000001E+01    2.213358247068614E+04
                      690    9.018332400000000E+01    2.213358247068614E+04
                      700    9.114665700000000E+01    2.213358247068614E+04
                      710    9.211665700000000E+01    2.213358247068614E+04
                      720    9.310332300000000E+01    2.213358247068614E+04
                      730    9.413999000000000E+01    2.213358247068614E+04
