#                 1000000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    8.852160000000000E-01    3.170211972663799E+04
                       10    2.509916000000000E+00    2.669306933714142E+04
                       20    4.487579000000000E+00    2.627911916968952E+04
                       30    6.334917000000000E+00    2.571388497146552E+04
                       40    8.067192000000000E+00    2.444970347247200E+04
                       50    1.001534800000000E+01    2.444970347247200E+04
                       60    1.176580700000000E+01    2.313494013964173E+04
                       70    1.370469400000000E+01    2.313494013964173E+04
                       80    1.548629900000000E+01    2.212570392587462E+04
                       90    1.737207400000000E+01    2.212570392587462E+04
                      100    1.896991500000000E+01    2.202779575036289E+04
                      110    2.076204700000000E+01    2.202779575036289E+04
                      120    2.253619500000000E+01    2.202779575036289E+04
                      130    2.459960200000000E+01    2.202779575036289E+04
                      140    2.640041900000000E+01    2.202779575036289E+04
                      150    2.823103500000000E+01    2.202779575036289E+04
                      160    2.996950000000000E+01    2.193067647520504E+04
                      170    3.192199700000000E+01    2.193067647520504E+04
                      180    3.398909600000000E+01    2.193067647520504E+04
                      190    3.619246300000000E+01    2.193067647520504E+04
                      200    3.807664300000000E+01    2.193067647520504E+04
                      210    3.999657699999999E+01    2.193067647520504E+04
                      220    4.183752300000000E+01    2.193067647520504E+04
                      230    4.368291900000000E+01    2.193067647520504E+04
                      240    4.582389100000000E+01    2.193067647520504E+04
                      250    4.771238100000000E+01    2.193067647520504E+04
                      260    4.965676100000000E+01    2.193067647520504E+04
                      270    5.185865200000000E+01    2.193067647520504E+04
                      280    5.365515600000000E+01    2.177458558788878E+04
                      290    5.558419400000000E+01    2.177458558788878E+04
                      300    5.755552900000000E+01    2.177458558788878E+04
                      310    5.958163900000000E+01    2.177458558788878E+04
                      320    6.140392600000000E+01    2.177458558788878E+04
                      330    6.328063100000000E+01    2.177458558788878E+04
                      340    6.523348300000001E+01    2.177458558788878E+04
                      350    6.713661400000001E+01    2.177458558788878E+04
                      360    6.897044000000001E+01    2.177458558788878E+04
                      370    7.076997100000000E+01    2.177458558788878E+04
                      380    7.285977200000001E+01    2.177458558788878E+04
                      390    7.495674300000000E+01    2.177458558788878E+04
                      400    7.691720800000000E+01    2.177458558788878E+04
                      410    7.909164300000000E+01    2.177458558788878E+04
                      420    8.096142900000001E+01    2.177458558788878E+04
                      430    8.299157200000001E+01    2.166381076016686E+04
                      440    8.519468100000000E+01    2.166381076016686E+04
                      450    8.710320600000000E+01    2.166381076016686E+04
                      460    8.905024800000001E+01    2.166381076016686E+04
                      470    9.112557100000001E+01    2.166381076016686E+04
