#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    3.233320000000000E-01    1.665141254721050E+05
                       10    2.506666000000000E+00    1.294806882781696E+05
                       20    4.636666000000000E+00    6.609833941942552E+04
                       30    6.473332000000000E+00    4.708721873626424E+04
                       40    8.293332000000001E+00    4.307218002318413E+04
                       50    1.006666500000000E+01    3.980428905518898E+04
                       60    1.183333200000000E+01    3.817455384928742E+04
                       70    1.377333100000000E+01    3.710478444108448E+04
                       80    1.573333100000000E+01    3.691394589899353E+04
                       90    1.746333100000000E+01    3.591829811996435E+04
                      100    1.937333100000000E+01    3.659218480978270E+04
                      110    2.117999800000000E+01    3.640996135014588E+04
                      120    2.286999700000000E+01    3.442473061234000E+04
                      130    2.461666300000000E+01    3.344177230581163E+04
                      140    2.630999700000000E+01    3.287963806787534E+04
                      150    2.794666400000000E+01    3.289288323660893E+04
                      160    2.950666400000000E+01    3.144485362997012E+04
                      170    3.092999600000000E+01    3.093414709636622E+04
                      180    3.239332899999999E+01    3.069247285289069E+04
                      190    3.386666200000000E+01    2.955482177777524E+04
                      200    3.523666300000000E+01    2.957232617970325E+04
                      210    3.651666299999999E+01    2.859039590984866E+04
                      220    3.784999600000000E+01    2.840464529338698E+04
                      230    3.909332900000000E+01    2.773884394027756E+04
                      240    4.041666200000000E+01    2.732513375474245E+04
                      250    4.198999500000000E+01    2.778386360653592E+04
                      260    4.355666200000000E+01    2.782561499713355E+04
                      270    4.503332899999999E+01    2.783315049595504E+04
                      280    4.633999499999999E+01    2.739117433184825E+04
                      290    4.753999500000000E+01    2.652337586875074E+04
                      300    4.867666100000000E+01    2.673985035132153E+04
                      310    4.979666200000000E+01    2.664058574644570E+04
                      320    5.089999400000000E+01    2.619371138999183E+04
                      330    5.199666100000000E+01    2.624159266037158E+04
                      340    5.312999400000000E+01    2.613594595737654E+04
                      350    5.424666100000000E+01    2.641874646443980E+04
                      360    5.541332700000000E+01    2.628708714061642E+04
                      370    5.666999400000000E+01    2.630619429090729E+04
                      380    5.798999300000000E+01    2.611243653720797E+04
                      390    5.910332700000000E+01    2.580163208089540E+04
                      400    6.020332699999999E+01    2.581948084790336E+04
                      410    6.135666000000000E+01    2.571943569750619E+04
                      420    6.243666000000000E+01    2.547254520756956E+04
                      430    6.349332700000000E+01    2.545255678908495E+04
                      440    6.457665900000001E+01    2.556643109184074E+04
                      450    6.564999300000001E+01    2.508726823510154E+04
                      460    6.670666000000000E+01    2.520091571694039E+04
                      470    6.771999200000000E+01    2.564830943733569E+04
                      480    6.875666000000001E+01    2.536342214763288E+04
                      490    6.977999300000000E+01    2.526709680305368E+04
                      500    7.078999300000001E+01    2.535664849508219E+04
                      510    7.180332500000000E+01    2.520313833213120E+04
                      520    7.282999200000000E+01    2.521935703893023E+04
                      530    7.384332600000000E+01    2.533859455627486E+04
                      540    7.483332600000000E+01    2.520330913151468E+04
                      550    7.585999200000001E+01    2.537729178965542E+04
                      560    7.689665800000000E+01    2.529464848521776E+04
                      570    7.791665900000001E+01    2.531790245384512E+04
                      580    7.894999200000001E+01    2.520194997063269E+04
                      590    7.996999100000001E+01    2.510387375671151E+04
                      600    8.096332500000000E+01    2.527866372613252E+04
                      610    8.193332500000001E+01    2.506783594617311E+04
                      620    8.293332500000001E+01    2.507715533136378E+04
                      630    8.392999100000000E+01    2.543991205265502E+04
                      640    8.492332400000001E+01    2.533563737994470E+04
                      650    8.595999100000000E+01    2.518206398971387E+04
                      660    8.704332400000000E+01    2.534922387468836E+04
                      670    8.813332400000000E+01    2.562758238948236E+04
                      680    8.918665700000001E+01    2.538807715622910E+04
                      690    9.018332400000000E+01    2.525943245802479E+04
                      700    9.114665700000000E+01    2.519645694733402E+04
                      710    9.211665700000000E+01    2.522579110345226E+04
                      720    9.310332300000000E+01    2.549087668149784E+04
                      730    9.413999000000000E+01    2.532286675143288E+04
                      740    9.525332300000001E+01    2.544641378167516E+04
                      750    9.632999000000001E+01    2.549677910643065E+04
                      760    9.740332300000000E+01    2.519485906504463E+04
                      770    9.839665600000001E+01    2.507557285434278E+04
                      780    9.937999000000001E+01    2.549261302940087E+04
                      790    1.004166570000000E+02    2.491854603919436E+04
                      800    1.014766560000000E+02    2.530586381316208E+04
                      810    1.024666560000000E+02    2.518298209982264E+04
                      820    1.034966560000000E+02    2.506290456804789E+04
                      830    1.044999890000000E+02    2.499573368115713E+04
                      840    1.055166560000000E+02    2.503355180942062E+04
                      850    1.065766560000000E+02    2.515898782188297E+04
                      860    1.075966550000000E+02    2.516229576342329E+04
                      870    1.086166550000000E+02    2.520792298808101E+04
                      880    1.096299890000000E+02    2.525050526975174E+04
                      890    1.106833220000000E+02    2.545982561704520E+04
                      900    1.116733220000000E+02    2.485651975718564E+04
                      910    1.126466550000000E+02    2.523196595306795E+04
                      920    1.137199880000000E+02    2.548344958747554E+04
                      930    1.147199890000000E+02    2.520955173624489E+04
                      940    1.157233220000000E+02    2.519673649080422E+04
                      950    1.167599880000000E+02    2.511879731144176E+04
                      960    1.177699880000000E+02    2.484515470011245E+04
                      970    1.187866550000000E+02    2.519308838798852E+04
                      980    1.198299880000000E+02    2.513577264802088E+04
                      990    1.208466540000000E+02    2.511278773663353E+04
                     1000    1.219566540000000E+02    2.498099227976921E+04
                     1010    1.229899880000000E+02    2.514363234427324E+04
                     1020    1.240499880000000E+02    2.523816190989430E+04
                     1030    1.251033210000000E+02    2.511958494759367E+04
                     1040    1.261633210000000E+02    2.490328088086427E+04
                     1050    1.271966540000000E+02    2.539154831201285E+04
                     1060    1.281966530000000E+02    2.510987938914833E+04
                     1070    1.291766530000000E+02    2.499668830964174E+04
                     1080    1.302066530000000E+02    2.501311389471695E+04
                     1090    1.311999870000000E+02    2.496658889293700E+04
                     1100    1.322566530000000E+02    2.514087389713059E+04
                     1110    1.333399860000000E+02    2.508434084711623E+04
                     1120    1.344366530000000E+02    2.511302723903596E+04
                     1130    1.356666520000000E+02    2.505221023230599E+04
                     1140    1.371733200000000E+02    2.554465232053881E+04
                     1150    1.386199860000000E+02    2.517936267595171E+04
                     1160    1.396166520000000E+02    2.498726732194037E+04
                     1170    1.406033190000000E+02    2.487529070699049E+04
                     1180    1.416299860000000E+02    2.471201234124746E+04
                     1190    1.426533190000000E+02    2.485540405572239E+04
                     1200    1.436233180000000E+02    2.475626692871413E+04
                     1210    1.446633180000000E+02    2.471308356383237E+04
                     1220    1.456833190000000E+02    2.457896349695882E+04
                     1230    1.466866510000000E+02    2.494960210205784E+04
                     1240    1.476899850000000E+02    2.490018732006684E+04
                     1250    1.487233190000000E+02    2.485068493446435E+04
                     1260    1.497066510000000E+02    2.487846574915915E+04
                     1270    1.507599840000000E+02    2.498517470295829E+04
                     1280    1.517599850000000E+02    2.499521175162535E+04
                     1290    1.527699840000000E+02    2.482440041903952E+04
                     1300    1.537699850000000E+02    2.463347690973753E+04
                     1310    1.547833180000000E+02    2.461592416253901E+04
                     1320    1.558133170000000E+02    2.481536001263200E+04
                     1330    1.568566510000000E+02    2.491809355508069E+04
                     1340    1.578499840000000E+02    2.480994585802747E+04
                     1350    1.588533170000000E+02    2.495982760107119E+04
                     1360    1.598699830000000E+02    2.472510932354664E+04
                     1370    1.608766500000000E+02    2.508971006113854E+04
                     1380    1.618966500000000E+02    2.496843068171709E+04
                     1390    1.629199840000000E+02    2.501154859735868E+04
                     1400    1.639199830000000E+02    2.504433659626777E+04
                     1410    1.649666500000000E+02    2.481762177480840E+04
                     1420    1.659833160000000E+02    2.480892504514234E+04
