#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    1.841491000000000E+00    1.667059268168471E+05
                       10    5.459091000000000E+00    1.248542517240621E+05
                       20    8.598156000000001E+00    5.949530469926296E+04
                       30    1.254464500000000E+01    4.627917182530971E+04
                       40    1.612782200000000E+01    4.240266203227192E+04
                       50    1.960406900000000E+01    4.003953194944233E+04
                       60    2.288655300000000E+01    3.742666262353878E+04
                       70    2.594187500000000E+01    3.555131553311595E+04
                       80    2.984874700000000E+01    3.472347394157578E+04
                       90    3.354823300000000E+01    3.373344991013668E+04
                      100    3.715714600000000E+01    3.212514644493018E+04
                      110    4.059273100000000E+01    3.103702306428980E+04
                      120    4.416214400000000E+01    2.982409296705738E+04
                      130    4.785127700000000E+01    2.891856489029164E+04
                      140    5.187985800000001E+01    2.855773046044822E+04
                      150    5.571568100000000E+01    2.856801707184024E+04
                      160    5.942175800000000E+01    2.875157499433241E+04
                      170    6.305656900000000E+01    2.866869131755462E+04
                      180    6.709122599999999E+01    2.893784553076073E+04
                      190    7.072527900000000E+01    2.856179764973939E+04
                      200    7.474474599999999E+01    2.871762827664066E+04
                      210    7.880201799999999E+01    2.857379824491703E+04
                      220    8.238699099999999E+01    2.863621030881656E+04
                      230    8.623587599999999E+01    2.908957448697087E+04
                      240    8.975245500000000E+01    2.892159857066247E+04
                      250    9.364253599999999E+01    2.819650606809756E+04
                      260    9.758698500000000E+01    2.814112956941967E+04
                      270    1.013072000000000E+02    2.801769018624222E+04
                      280    1.048551760000000E+02    2.738345988873049E+04
                      290    1.086057200000000E+02    2.718101073326669E+04
                      300    1.123718270000000E+02    2.713521814394540E+04
                      310    1.161893380000000E+02    2.695873527663768E+04
                      320    1.202294760000000E+02    2.680922970359278E+04
                      330    1.246282110000000E+02    2.674912080577506E+04
                      340    1.284128170000000E+02    2.658585946988449E+04
                      350    1.320938800000000E+02    2.716946578079164E+04
                      360    1.360754730000000E+02    2.709691349875779E+04
                      370    1.397817790000000E+02    2.706379406742545E+04
                      380    1.435542270000000E+02    2.668485076405667E+04
                      390    1.471281210000000E+02    2.679055088830055E+04
                      400    1.512808100000000E+02    2.681737900018685E+04
                      410    1.556268810000000E+02    2.690757398491496E+04
                      420    1.594642950000000E+02    2.650415567041358E+04
                      430    1.632299710000000E+02    2.638909725243345E+04
                      440    1.668633040000000E+02    2.632344262357902E+04
                      450    1.709337410000000E+02    2.649619050793056E+04
                      460    1.747385840000000E+02    2.629746905853799E+04
                      470    1.786151670000000E+02    2.655341463102656E+04
                      480    1.828200900000000E+02    2.714224463980871E+04
                      490    1.866768580000000E+02    2.717386466443070E+04
                      500    1.901672730000000E+02    2.670233818619357E+04
                      510    1.942381000000000E+02    2.612376194459514E+04
                      520    1.979971930000000E+02    2.590110637037956E+04
                      530    2.024154930000000E+02    2.577806426306119E+04
                      540    2.064552690000000E+02    2.605047453160214E+04
                      550    2.106092710000000E+02    2.580069791135217E+04
                      560    2.147661180000000E+02    2.589444956110094E+04
                      570    2.188622890000000E+02    2.573693369318377E+04
                      580    2.226786850000000E+02    2.573251066863861E+04
                      590    2.269616950000000E+02    2.568752181773491E+04
                      600    2.305391740000000E+02    2.553824827989156E+04
                      610    2.344014030000000E+02    2.582736946456248E+04
                      620    2.381925340000000E+02    2.569801870300564E+04
                      630    2.420775550000000E+02    2.564682686091241E+04
                      640    2.463262290000000E+02    2.549678555166345E+04
                      650    2.503859360000000E+02    2.569222548126420E+04
