#                   Stadt             x-Koordinate             y-Koordinate
                       54    2.773000000000000E+03    1.286000000000000E+03
                        6    2.687000000000000E+03    1.353000000000000E+03
                       75    2.933000000000000E+03    1.459000000000000E+03
                       22    3.078000000000000E+03    1.541000000000000E+03
                        8    3.092000000000000E+03    1.668000000000000E+03
                       17    3.314000000000000E+03    1.881000000000000E+03
                       25    3.409000000000000E+03    1.917000000000000E+03
                       90    3.499000000000000E+03    1.885000000000000E+03
                       34    3.586000000000000E+03    1.909000000000000E+03
                       58    3.853000000000000E+03    1.712000000000000E+03
                       98    3.736000000000000E+03    1.542000000000000E+03
                       88    3.808000000000000E+03    1.375000000000000E+03
                       28    3.729000000000000E+03    1.188000000000000E+03
                       39    3.635000000000000E+03    1.174000000000000E+03
                       38    3.704000000000000E+03    1.082000000000000E+03
                       71    3.646000000000000E+03    1.018000000000000E+03
                       56    3.835000000000000E+03    9.630000000000000E+02
                       43    3.939000000000000E+03    6.400000000000000E+02
                        5    3.806000000000000E+03    7.460000000000000E+02
                       86    3.564000000000000E+03    6.760000000000000E+02
                       72    3.394000000000000E+03    1.028000000000000E+03
                       83    3.213000000000000E+03    1.085000000000000E+03
                       62    3.174000000000000E+03    1.064000000000000E+03
                       50    3.278000000000000E+03    7.990000000000000E+02
                       95    3.297000000000000E+03    4.910000000000000E+02
                       94    3.249000000000000E+03    3.780000000000000E+02
                       91    3.124000000000000E+03    4.080000000000000E+02
                       76    3.099000000000000E+03    1.730000000000000E+02
                       70    2.990000000000000E+03    2.140000000000000E+02
                       23    2.781000000000000E+03    4.780000000000000E+02
                       21    2.576000000000000E+03    1.890000000000000E+02
                       89    2.221000000000000E+03    2.910000000000000E+02
                       41    2.049000000000000E+03    4.170000000000000E+02
                       59    1.868000000000000E+03    1.970000000000000E+02
                       73    1.779000000000000E+03    9.000000000000000E+01
                        3    1.774000000000000E+03    1.070000000000000E+02
                       69    1.410000000000000E+03    3.070000000000000E+02
                       60    1.544000000000000E+03    8.630000000000000E+02
                        4    1.307000000000000E+03    9.640000000000000E+02
                       93    1.027000000000000E+03    1.041000000000000E+03
                       99    8.680000000000000E+02    7.310000000000000E+02
                       19    7.790000000000000E+02    7.770000000000000E+02
                       92    7.810000000000000E+02    6.710000000000000E+02
                       10    8.340000000000000E+02    6.290000000000000E+02
                       14    1.097000000000000E+03    6.430000000000000E+02
                       36    1.000000000000000E+03    4.570000000000000E+02
                       57    1.031000000000000E+03    4.280000000000000E+02
                       74    1.058000000000000E+03    3.720000000000000E+02
                      100    9.600000000000000E+02    3.030000000000000E+02
                       33    9.130000000000000E+02    3.170000000000000E+02
                       45    8.120000000000000E+02    3.510000000000000E+02
                       81    8.050000000000000E+02    2.720000000000000E+02
                       97    7.210000000000000E+02    1.860000000000000E+02
                       96    2.130000000000000E+02    2.200000000000000E+02
                       87    2.900000000000000E+01    6.000000000000000E+00
                       52    1.400000000000000E+01    4.540000000000000E+02
                       11    4.000000000000000E+01    4.620000000000000E+02
                       84    9.900000000000000E+01    5.360000000000000E+02
                       48    2.420000000000000E+02    5.840000000000000E+02
                       66    3.960000000000000E+02    8.280000000000000E+02
                       44    2.190000000000000E+02    8.980000000000000E+02
                       63    1.920000000000000E+02    1.004000000000000E+03
                       51    8.600000000000000E+01    1.065000000000000E+03
                       16    2.340000000000000E+02    1.118000000000000E+03
                       37    4.820000000000000E+02    1.337000000000000E+03
                        9    1.850000000000000E+02    1.542000000000000E+03
                       78    1.380000000000000E+02    1.610000000000000E+03
                       82    2.200000000000000E+01    1.617000000000000E+03
                        7    4.300000000000000E+01    1.957000000000000E+03
                       26    3.230000000000000E+02    1.714000000000000E+03
                       61    4.570000000000000E+02    1.607000000000000E+03
                       32    5.540000000000000E+02    1.825000000000000E+03
                       24    7.050000000000000E+02    1.812000000000000E+03
                       46    9.010000000000000E+02    1.552000000000000E+03
                       29    6.930000000000000E+02    1.383000000000000E+03
                       18    7.370000000000000E+02    1.285000000000000E+03
                       49    8.260000000000000E+02    1.226000000000000E+03
                       12    1.183000000000000E+03    1.391000000000000E+03
                       40    1.362000000000000E+03    1.526000000000000E+03
                       53    1.327000000000000E+03    1.893000000000000E+03
                        1    1.357000000000000E+03    1.905000000000000E+03
                       85    1.533000000000000E+03    1.780000000000000E+03
                       27    1.660000000000000E+03    1.556000000000000E+03
                       15    1.838000000000000E+03    1.732000000000000E+03
                       13    2.048000000000000E+03    1.628000000000000E+03
                       79    2.082000000000000E+03    1.753000000000000E+03
                       64    2.318000000000000E+03    1.925000000000000E+03
                       20    2.312000000000000E+03    1.949000000000000E+03
                       42    2.552000000000000E+03    1.909000000000000E+03
                       55    2.469000000000000E+03    1.838000000000000E+03
                       67    2.365000000000000E+03    1.649000000000000E+03
                       47    2.513000000000000E+03    1.572000000000000E+03
                       31    2.433000000000000E+03    1.538000000000000E+03
                       65    2.232000000000000E+03    1.374000000000000E+03
                       80    2.302000000000000E+03    1.127000000000000E+03
                       77    2.178000000000000E+03    9.780000000000000E+02
                       30    2.361000000000000E+03    6.400000000000000E+02
                       68    2.499000000000000E+03    6.580000000000000E+02
                       35    2.636000000000000E+03    7.270000000000000E+02
                        2    2.650000000000000E+03    8.020000000000000E+02
                       54    2.773000000000000E+03    1.286000000000000E+03
