#                 1000000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    4.460476250000000E-01    3.264010568338252E+04
                       10    1.492095000000000E+00    3.078099591971283E+04
                       20    2.617809000000000E+00    2.510417336285748E+04
                       30    3.752880750000000E+00    2.428020332031520E+04
                       40    4.920911375000000E+00    2.351327320826290E+04
                       50    6.124962875000000E+00    2.340572094417114E+04
                       60    7.434272250000000E+00    2.340572094417114E+04
                       70    8.705418500000000E+00    2.320094198271857E+04
                       80    9.884126500000001E+00    2.292789067495379E+04
                       90    1.115621662500000E+01    2.292789067495379E+04
                      100    1.251340912500000E+01    2.281200431336543E+04
                      110    1.380366862500000E+01    2.252244308542126E+04
                      120    1.509572087500000E+01    2.178793167499343E+04
                      130    1.647965500000000E+01    2.178793167499343E+04
                      140    1.775582712500000E+01    2.178793167499343E+04
                      150    1.902936025000000E+01    2.178352927082426E+04
                      160    2.029960900000000E+01    2.171465377039725E+04
                      170    2.155265437500000E+01    2.171465377039725E+04
                      180    2.291051050000000E+01    2.171025136622807E+04
                      190    2.415825737500000E+01    2.171025136622807E+04
                      200    2.561510075000000E+01    2.171025136622807E+04
                      210    2.699870300000000E+01    2.171025136622807E+04
                      220    2.826473937500000E+01    2.171025136622807E+04
                      230    2.962857237500000E+01    2.171025136622807E+04
                      240    3.100612775000000E+01    2.171025136622807E+04
                      250    3.230181012500000E+01    2.171025136622807E+04
                      260    3.360175312499999E+01    2.171025136622807E+04
                      270    3.497424337500000E+01    2.171025136622807E+04
                      280    3.627449600000000E+01    2.171025136622807E+04
                      290    3.758827675000000E+01    2.171025136622807E+04
                      300    3.914375125000000E+01    2.171025136622807E+04
                      310    4.043038087500000E+01    2.171025136622807E+04
                      320    4.178472662500000E+01    2.171025136622807E+04
                      330    4.309318587500000E+01    2.171025136622807E+04
                      340    4.436703737500000E+01    2.171025136622807E+04
                      350    4.579831350000000E+01    2.171025136622807E+04
                      360    4.729090762500000E+01    2.171025136622807E+04
                      370    4.872230287500000E+01    2.171025136622807E+04
                      380    5.016911537500000E+01    2.171025136622807E+04
                      390    5.149843300000000E+01    2.171025136622807E+04
                      400    5.278940575000000E+01    2.171025136622807E+04
                      410    5.410548550000000E+01    2.171025136622807E+04
                      420    5.556191800000000E+01    2.164235422966600E+04
                      430    5.683935087500000E+01    2.164235422966600E+04
                      440    5.813243587500000E+01    2.164235422966600E+04
                      450    5.947137025000000E+01    2.164235422966600E+04
                      460    6.079130312500000E+01    2.164235422966600E+04
                      470    6.210273137500000E+01    2.164235422966600E+04
                      480    6.350683537500000E+01    2.164235422966600E+04
                      490    6.483394224999999E+01    2.164235422966600E+04
                      500    6.625810475000000E+01    2.164235422966600E+04
                      510    6.755840987500000E+01    2.164235422966600E+04
                      520    6.894960625000000E+01    2.164235422966600E+04
                      530    7.027245599999999E+01    2.164235422966600E+04
                      540    7.162684050000000E+01    2.164235422966600E+04
                      550    7.308413737500000E+01    2.164235422966600E+04
                      560    7.441846337500000E+01    2.164235422966600E+04
                      570    7.599660137500000E+01    2.164235422966600E+04
                      580    7.733320499999999E+01    2.164235422966600E+04
                      590    7.867460149999999E+01    2.164235422966600E+04
                      600    7.996021050000000E+01    2.164235422966600E+04
                      610    8.131509774999999E+01    2.162820892938631E+04
                      620    8.262154562500000E+01    2.162820892938631E+04
                      630    8.398476725000000E+01    2.162820892938631E+04
                      640    8.542597150000000E+01    2.162820892938631E+04
                      650    8.679358162500000E+01    2.160588043661650E+04
                      660    8.809019162500000E+01    2.160588043661650E+04
                      670    8.937297825000000E+01    2.160588043661650E+04
                      680    9.065273925000000E+01    2.160588043661650E+04
                      690    9.207689025000001E+01    2.155414471473571E+04
                      700    9.341626112499999E+01    2.155414471473571E+04
                      710    9.474455987499999E+01    2.155414471473571E+04
                      720    9.607512287500001E+01    2.155414471473571E+04
                      730    9.757101462500000E+01    2.155414471473571E+04
                      740    9.887278050000000E+01    2.155414471473571E+04
                      750    1.001986301250000E+02    2.155414471473571E+04
                      760    1.015799978750000E+02    2.155414471473571E+04
                      770    1.028472953750000E+02    2.155414471473571E+04
                      780    1.041809926250000E+02    2.155414471473571E+04
                      790    1.056717246250000E+02    2.155414471473571E+04
                      800    1.069651581250000E+02    2.155414471473571E+04
                      810    1.083395972500000E+02    2.155414471473571E+04
                      820    1.096001942500000E+02    2.155414471473571E+04
                      830    1.110760602500000E+02    2.155414471473571E+04
                      840    1.124152690000000E+02    2.155414471473571E+04
                      850    1.137801000000000E+02    2.155414471473571E+04
                      860    1.151026521250000E+02    2.155414471473571E+04
                      870    1.164707525000000E+02    2.155414471473571E+04
                      880    1.178591386250000E+02    2.155414471473571E+04
                      890    1.191753977500000E+02    2.155414471473571E+04
                      900    1.206018455000000E+02    2.155414471473571E+04
                      910    1.218984978750000E+02    2.155414471473571E+04
                      920    1.232297211250000E+02    2.155414471473571E+04
                      930    1.245618437500000E+02    2.155414471473571E+04
                      940    1.259575233750000E+02    2.155414471473571E+04
                      950    1.273304842500000E+02    2.155414471473571E+04
                      960    1.285924873750000E+02    2.155414471473571E+04
                      970    1.299317788750000E+02    2.155414471473571E+04
                      980    1.312897482500000E+02    2.155414471473571E+04
                      990    1.328828408750000E+02    2.155414471473571E+04
                     1000    1.341643706250000E+02    2.155414471473571E+04
                     1010    1.354614280000000E+02    2.155414471473571E+04
                     1020    1.367941776250000E+02    2.155414471473571E+04
                     1030    1.381726460000000E+02    2.155414471473571E+04
                     1040    1.395436540000000E+02    2.155414471473571E+04
                     1050    1.410552037500000E+02    2.155414471473571E+04
                     1060    1.425064228750000E+02    2.155414471473571E+04
                     1070    1.438338171250000E+02    2.155414471473571E+04
                     1080    1.451230595000000E+02    2.155414471473571E+04
                     1090    1.466201413750000E+02    2.155414471473571E+04
                     1100    1.479265230000000E+02    2.155414471473571E+04
                     1110    1.492975375000000E+02    2.155414471473571E+04
                     1120    1.507459635000000E+02    2.155414471473571E+04
                     1130    1.522414403750000E+02    2.155414471473571E+04
                     1140    1.535946057500000E+02    2.155414471473571E+04
                     1150    1.550575487500000E+02    2.155414471473571E+04
                     1160    1.564218963750000E+02    2.155414471473571E+04
                     1170    1.577578823750000E+02    2.155414471473571E+04
                     1180    1.590809470000000E+02    2.155414471473571E+04
                     1190    1.603440646250000E+02    2.155414471473571E+04
                     1200    1.616995051250000E+02    2.155414471473571E+04
                     1210    1.630056645000000E+02    2.155414471473571E+04
                     1220    1.643392747500000E+02    2.155414471473571E+04
                     1230    1.656503321250000E+02    2.155414471473571E+04
                     1240    1.670099193750000E+02    2.155414471473571E+04
                     1250    1.684063930000000E+02    2.155414471473571E+04
                     1260    1.697006421250000E+02    2.155414471473571E+04
                     1270    1.712235582500000E+02    2.155414471473571E+04
                     1280    1.725274632500000E+02    2.155414471473571E+04
                     1290    1.740046106250000E+02    2.155414471473571E+04
                     1300    1.753647895000000E+02    2.155414471473571E+04
                     1310    1.767569547500000E+02    2.155414471473571E+04
                     1320    1.780408413750000E+02    2.155414471473571E+04
                     1330    1.793677715000000E+02    2.155414471473571E+04
                     1340    1.806758636250000E+02    2.155414471473571E+04
                     1350    1.820971423750000E+02    2.155414471473571E+04
                     1360    1.834804983750000E+02    2.155414471473571E+04
                     1370    1.848513270000000E+02    2.155414471473571E+04
                     1380    1.862138255000000E+02    2.155414471473571E+04
                     1390    1.875363721250000E+02    2.155414471473571E+04
                     1400    1.889805611250000E+02    2.155414471473571E+04
                     1410    1.902865463750000E+02    2.155414471473571E+04
                     1420    1.916313933750000E+02    2.155414471473571E+04
                     1430    1.929662997500000E+02    2.155414471473571E+04
                     1440    1.944371297500000E+02    2.155414471473571E+04
                     1450    1.957475282500000E+02    2.155414471473571E+04
                     1460    1.970733548750000E+02    2.155414471473571E+04
                     1470    1.985069115000000E+02    2.155414471473571E+04
                     1480    2.000162306250000E+02    2.155414471473571E+04
                     1490    2.013713518750000E+02    2.155414471473571E+04
                     1500    2.027085911250000E+02    2.155414471473571E+04
                     1510    2.040474315000000E+02    2.155414471473571E+04
                     1520    2.053828983750000E+02    2.155414471473571E+04
                     1530    2.067171376250000E+02    2.155414471473571E+04
                     1540    2.081799421250000E+02    2.155414471473571E+04
                     1550    2.094967251250000E+02    2.155414471473571E+04
                     1560    2.109002292500000E+02    2.155414471473571E+04
                     1570    2.121888902500000E+02    2.142137033999850E+04
                     1580    2.135268261250000E+02    2.142137033999850E+04
                     1590    2.149497597500000E+02    2.142137033999850E+04
                     1600    2.163375418750000E+02    2.142137033999850E+04
                     1610    2.176232125000000E+02    2.142137033999850E+04
                     1620    2.189180192500000E+02    2.142137033999850E+04
                     1630    2.201879936250000E+02    2.142137033999850E+04
                     1640    2.215763000000000E+02    2.142137033999850E+04
                     1650    2.228292972500000E+02    2.142137033999850E+04
                     1660    2.241184950000000E+02    2.142137033999850E+04
                     1670    2.254894678750000E+02    2.142137033999850E+04
                     1680    2.269330158750000E+02    2.142137033999850E+04
                     1690    2.283643127500000E+02    2.142137033999850E+04
                     1700    2.296899083750000E+02    2.142137033999850E+04
                     1710    2.309830400000000E+02    2.142137033999850E+04
                     1720    2.323215978750000E+02    2.142137033999850E+04
                     1730    2.338508268750000E+02    2.142137033999850E+04
                     1740    2.353618481250000E+02    2.142137033999850E+04
                     1750    2.366916083750000E+02    2.142137033999850E+04
                     1760    2.380702775000000E+02    2.142137033999850E+04
                     1770    2.393763011250000E+02    2.142137033999850E+04
                     1780    2.408744705000000E+02    2.142137033999850E+04
                     1790    2.421913665000000E+02    2.142137033999850E+04
                     1800    2.434840683750000E+02    2.142137033999850E+04
                     1810    2.448695920000000E+02    2.142137033999850E+04
                     1820    2.462243233750000E+02    2.142137033999850E+04
                     1830    2.475112373750000E+02    2.142137033999850E+04
                     1840    2.488773595000000E+02    2.142137033999850E+04
                     1850    2.502601108750000E+02    2.142137033999850E+04
                     1860    2.515394092500000E+02    2.142137033999850E+04
                     1870    2.528337065000000E+02    2.142137033999850E+04
                     1880    2.542022152500000E+02    2.142137033999850E+04
                     1890    2.555465747500000E+02    2.142137033999850E+04
                     1900    2.568739080000000E+02    2.142137033999850E+04
                     1910    2.582506797500000E+02    2.142137033999850E+04
                     1920    2.595852753750000E+02    2.142137033999850E+04
                     1930    2.609183072500000E+02    2.142137033999850E+04
                     1940    2.622146553750000E+02    2.142137033999850E+04
                     1950    2.635603388750000E+02    2.142137033999850E+04
                     1960    2.649189751250000E+02    2.142137033999850E+04
                     1970    2.663202003750000E+02    2.142137033999850E+04
                     1980    2.676670876250000E+02    2.142137033999850E+04
                     1990    2.689460770000000E+02    2.142137033999850E+04
                     2000    2.702338520000000E+02    2.142137033999850E+04
                     2010    2.715257196250000E+02    2.142137033999850E+04
                     2020    2.728237667500000E+02    2.142137033999850E+04
                     2030    2.741621635000000E+02    2.142137033999850E+04
                     2040    2.754747100000000E+02    2.142137033999850E+04
                     2050    2.767754927500000E+02    2.142137033999850E+04
                     2060    2.780023945000000E+02    2.142137033999850E+04
                     2070    2.793250855000000E+02    2.142137033999850E+04
                     2080    2.806458538750000E+02    2.142137033999850E+04
                     2090    2.819815205000000E+02    2.142137033999850E+04
                     2100    2.833487413750000E+02    2.142137033999850E+04
                     2110    2.846900278750000E+02    2.142137033999850E+04
                     2120    2.859965415000000E+02    2.142137033999850E+04
                     2130    2.873633107500000E+02    2.142137033999850E+04
                     2140    2.886845986250000E+02    2.142137033999850E+04
                     2150    2.900137575000000E+02    2.142137033999850E+04
                     2160    2.914310282500000E+02    2.142137033999850E+04
                     2170    2.929040371250000E+02    2.142137033999850E+04
                     2180    2.941948686250000E+02    2.142137033999850E+04
                     2190    2.954742693750000E+02    2.142137033999850E+04
                     2200    2.967702220000000E+02    2.142137033999850E+04
                     2210    2.981927987500000E+02    2.142137033999850E+04
                     2220    2.994917516250000E+02    2.142137033999850E+04
                     2230    3.007708173750000E+02    2.142137033999850E+04
                     2240    3.020837762500000E+02    2.142137033999850E+04
                     2250    3.034981947500000E+02    2.142137033999850E+04
