#                 1000000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    4.460476250000000E-01    1.660295344381956E+05
                       10    1.492095000000000E+00    1.285530768541940E+05
                       20    2.617809000000000E+00    4.622691934218534E+04
                       30    3.752880750000000E+00    3.760144650016952E+04
                       40    4.920911375000000E+00    3.352541064178522E+04
                       50    6.124962875000000E+00    3.138186054814424E+04
                       60    7.434272250000000E+00    3.007228387521239E+04
                       70    8.705418500000000E+00    2.927253964105238E+04
                       80    9.884126500000001E+00    2.867293922609414E+04
                       90    1.115621662500000E+01    2.805705499942831E+04
                      100    1.251340912500000E+01    2.719867253915346E+04
                      110    1.380366862500000E+01    2.659584445982235E+04
                      120    1.509572087500000E+01    2.620689226481234E+04
                      130    1.647965500000000E+01    2.614976803429693E+04
                      140    1.775582712500000E+01    2.621089208058856E+04
                      150    1.902936025000000E+01    2.612374009871255E+04
                      160    2.029960900000000E+01    2.579299617338695E+04
                      170    2.155265437500000E+01    2.577788767863141E+04
                      180    2.291051050000000E+01    2.574223705371489E+04
                      190    2.415825737500000E+01    2.575167877586399E+04
                      200    2.561510075000000E+01    2.546879127897737E+04
                      210    2.699870300000000E+01    2.546540995705188E+04
                      220    2.826473937500000E+01    2.535222783202551E+04
                      230    2.962857237500000E+01    2.539968768508917E+04
                      240    3.100612775000000E+01    2.550610661055899E+04
                      250    3.230181012500000E+01    2.538467778978990E+04
                      260    3.360175312499999E+01    2.528982903658217E+04
                      270    3.497424337500000E+01    2.534838724969920E+04
                      280    3.627449600000000E+01    2.518768427609592E+04
                      290    3.758827675000000E+01    2.516522290485431E+04
                      300    3.914375125000000E+01    2.524810177391442E+04
                      310    4.043038087500000E+01    2.529610459940943E+04
                      320    4.178472662500000E+01    2.508684336748744E+04
                      330    4.309318587500000E+01    2.512465526590481E+04
                      340    4.436703737500000E+01    2.487566652840842E+04
                      350    4.579831350000000E+01    2.500099223219106E+04
                      360    4.729090762500000E+01    2.501526205001526E+04
                      370    4.872230287500000E+01    2.473513694175103E+04
                      380    5.016911537500000E+01    2.489431568366254E+04
                      390    5.149843300000000E+01    2.467802405916800E+04
                      400    5.278940575000000E+01    2.478436310708457E+04
                      410    5.410548550000000E+01    2.479832290999244E+04
                      420    5.556191800000000E+01    2.488830777573740E+04
                      430    5.683935087500000E+01    2.455834221509354E+04
                      440    5.813243587500000E+01    2.482588431959007E+04
                      450    5.947137025000000E+01    2.479649244849856E+04
                      460    6.079130312500000E+01    2.487970607525305E+04
                      470    6.210273137500000E+01    2.474651289836653E+04
                      480    6.350683537500000E+01    2.482442096820325E+04
                      490    6.483394224999999E+01    2.461526354691497E+04
                      500    6.625810475000000E+01    2.470787376415409E+04
                      510    6.755840987500000E+01    2.461966031952538E+04
                      520    6.894960625000000E+01    2.466319353247058E+04
                      530    7.027245599999999E+01    2.474393874039845E+04
                      540    7.162684050000000E+01    2.474060471679835E+04
                      550    7.308413737500000E+01    2.482386499755075E+04
                      560    7.441846337500000E+01    2.459079797253458E+04
                      570    7.599660137500000E+01    2.460443460822256E+04
                      580    7.733320499999999E+01    2.471067985640998E+04
                      590    7.867460149999999E+01    2.461021322430138E+04
                      600    7.996021050000000E+01    2.452412588469645E+04
                      610    8.131509774999999E+01    2.455005706789684E+04
                      620    8.262154562500000E+01    2.456209099334822E+04
                      630    8.398476725000000E+01    2.497099349655832E+04
                      640    8.542597150000000E+01    2.475183780137647E+04
                      650    8.679358162500000E+01    2.477610422375304E+04
                      660    8.809019162500000E+01    2.474568126715747E+04
                      670    8.937297825000000E+01    2.478238580206706E+04
                      680    9.065273925000000E+01    2.468047833877308E+04
                      690    9.207689025000001E+01    2.442749143994132E+04
                      700    9.341626112499999E+01    2.460686210803618E+04
                      710    9.474455987499999E+01    2.460949973078402E+04
                      720    9.607512287500001E+01    2.474567763763639E+04
                      730    9.757101462500000E+01    2.471270125726743E+04
                      740    9.887278050000000E+01    2.458566205712477E+04
                      750    1.001986301250000E+02    2.439313551430276E+04
                      760    1.015799978750000E+02    2.461090808292572E+04
                      770    1.028472953750000E+02    2.450131771584182E+04
                      780    1.041809926250000E+02    2.442831950440920E+04
                      790    1.056717246250000E+02    2.449232737365862E+04
                      800    1.069651581250000E+02    2.466955242411748E+04
                      810    1.083395972500000E+02    2.458329157507163E+04
                      820    1.096001942500000E+02    2.452680012480823E+04
                      830    1.110760602500000E+02    2.453765576632623E+04
                      840    1.124152690000000E+02    2.451875837697363E+04
                      850    1.137801000000000E+02    2.452224569488916E+04
                      860    1.151026521250000E+02    2.440481248175268E+04
                      870    1.164707525000000E+02    2.448729996549090E+04
                      880    1.178591386250000E+02    2.446589415027371E+04
                      890    1.191753977500000E+02    2.461466244344398E+04
                      900    1.206018455000000E+02    2.456484750936602E+04
                      910    1.218984978750000E+02    2.471851033886741E+04
                      920    1.232297211250000E+02    2.475087867662817E+04
                      930    1.245618437500000E+02    2.452683400967945E+04
                      940    1.259575233750000E+02    2.456059512523675E+04
                      950    1.273304842500000E+02    2.435005119225969E+04
                      960    1.285924873750000E+02    2.463644393222128E+04
                      970    1.299317788750000E+02    2.456146044453602E+04
                      980    1.312897482500000E+02    2.440155678888553E+04
                      990    1.328828408750000E+02    2.464229480051313E+04
                     1000    1.341643706250000E+02    2.456588628006067E+04
                     1010    1.354614280000000E+02    2.442248264252449E+04
                     1020    1.367941776250000E+02    2.463895831665462E+04
                     1030    1.381726460000000E+02    2.445768341260868E+04
                     1040    1.395436540000000E+02    2.448296503219464E+04
                     1050    1.410552037500000E+02    2.452131226743935E+04
                     1060    1.425064228750000E+02    2.441647786081231E+04
                     1070    1.438338171250000E+02    2.424967316289804E+04
                     1080    1.451230595000000E+02    2.444712809359675E+04
                     1090    1.466201413750000E+02    2.451645358576220E+04
                     1100    1.479265230000000E+02    2.430233122113160E+04
                     1110    1.492975375000000E+02    2.447116619055495E+04
                     1120    1.507459635000000E+02    2.457184870483652E+04
                     1130    1.522414403750000E+02    2.435899426889917E+04
                     1140    1.535946057500000E+02    2.436389737731257E+04
                     1150    1.550575487500000E+02    2.458650646424304E+04
                     1160    1.564218963750000E+02    2.430864983361018E+04
                     1170    1.577578823750000E+02    2.465085843191097E+04
                     1180    1.590809470000000E+02    2.454102136100685E+04
                     1190    1.603440646250000E+02    2.433198502726920E+04
                     1200    1.616995051250000E+02    2.466242486051065E+04
                     1210    1.630056645000000E+02    2.447511156362323E+04
                     1220    1.643392747500000E+02    2.472174114614206E+04
                     1230    1.656503321250000E+02    2.466802295912762E+04
                     1240    1.670099193750000E+02    2.456886469116255E+04
                     1250    1.684063930000000E+02    2.452771786391499E+04
                     1260    1.697006421250000E+02    2.435145942708807E+04
                     1270    1.712235582500000E+02    2.432857475720254E+04
                     1280    1.725274632500000E+02    2.449890565904479E+04
                     1290    1.740046106250000E+02    2.453901494960802E+04
                     1300    1.753647895000000E+02    2.458059470127831E+04
