#                   Stadt             x-Koordinate             y-Koordinate
                       20    6.380000000000000E+02    3.140000000000000E+02
                       23    6.770000000000000E+02    3.150000000000000E+02
                       28    7.090000000000000E+02    3.150000000000000E+02
                       33    8.580000000000000E+02    3.700000000000000E+02
                       32    8.430000000000000E+02    1.730000000000000E+02
                       31    8.110000000000000E+02    1.890000000000000E+02
                       30    7.640000000000000E+02    2.200000000000000E+02
                       29    7.010000000000000E+02    1.420000000000000E+02
                       22    6.690000000000000E+02    1.420000000000000E+02
                       21    6.380000000000000E+02    1.420000000000000E+02
                      103    6.060000000000000E+02    2.200000000000000E+02
                       15    5.280000000000000E+02    1.570000000000000E+02
                       11    3.940000000000000E+02    6.900000000000000E+01
                       10    3.620000000000000E+02    6.900000000000000E+01
                        7    2.440000000000000E+02    6.900000000000000E+01
                        6    2.130000000000000E+02    6.900000000000000E+01
                        2    9.400000000000000E+01    7.100000000000000E+01
                        1    6.300000000000000E+01    7.100000000000000E+01
                        3    1.420000000000000E+02    3.700000000000000E+02
                        8    2.760000000000000E+02    6.300000000000000E+02
                        9    2.830000000000000E+02    7.320000000000000E+02
                        5    2.050000000000000E+02    1.213000000000000E+03
                        4    1.730000000000000E+02    1.276000000000000E+03
                       13    4.800000000000000E+02    1.276000000000000E+03
                       14    5.120000000000000E+02    1.213000000000000E+03
                       34    8.900000000000000E+02    1.276000000000000E+03
                       35    9.210000000000000E+02    1.213000000000000E+03
                       38    1.197000000000000E+03    1.276000000000000E+03
                       39    1.228000000000000E+03    1.213000000000000E+03
                       60    1.811000000000000E+03    1.276000000000000E+03
                       61    1.843000000000000E+03    1.213000000000000E+03
                       65    2.118000000000000E+03    1.276000000000000E+03
                       66    2.150000000000000E+03    1.213000000000000E+03
                       87    2.528000000000000E+03    1.276000000000000E+03
                       88    2.559000000000000E+03    1.213000000000000E+03
                       94    2.835000000000000E+03    1.276000000000000E+03
                       95    2.866000000000000E+03    1.213000000000000E+03
                      100    3.016000000000000E+03    1.276000000000000E+03
                       99    2.945000000000000E+03    7.320000000000000E+02
                       98    2.937000000000000E+03    6.300000000000000E+02
                       90    2.638000000000000E+03    7.320000000000000E+02
                       89    2.630000000000000E+03    6.300000000000000E+02
                       93    2.803000000000000E+03    3.700000000000000E+02
                      102    3.087000000000000E+03    6.900000000000000E+01
                      101    3.055000000000000E+03    6.900000000000000E+01
                       97    2.937000000000000E+03    6.900000000000000E+01
                       96    2.906000000000000E+03    6.900000000000000E+01
                       92    2.787000000000000E+03    6.900000000000000E+01
                       91    2.756000000000000E+03    6.900000000000000E+01
                       85    2.480000000000000E+03    1.420000000000000E+02
                       84    2.402000000000000E+03    2.200000000000000E+02
                       83    2.402000000000000E+03    1.570000000000000E+02
                       82    2.362000000000000E+03    1.420000000000000E+02
                       78    2.331000000000000E+03    1.420000000000000E+02
                       71    2.244000000000000E+03    1.420000000000000E+02
                       68    2.220000000000000E+03    1.890000000000000E+02
                       67    2.189000000000000E+03    2.050000000000000E+02
                       64    2.087000000000000E+03    3.700000000000000E+02
                       72    2.276000000000000E+03    3.150000000000000E+02
                       77    2.315000000000000E+03    3.150000000000000E+02
                       79    2.346000000000000E+03    3.150000000000000E+02
                       86    2.496000000000000E+03    3.700000000000000E+02
                       80    2.346000000000000E+03    4.960000000000000E+02
                       76    2.315000000000000E+03    4.960000000000000E+02
                       73    2.276000000000000E+03    4.960000000000000E+02
                       81    2.346000000000000E+03    6.540000000000000E+02
                       75    2.315000000000000E+03    6.540000000000000E+02
                       74    2.276000000000000E+03    6.540000000000000E+02
                       69    2.220000000000000E+03    6.300000000000000E+02
                       70    2.228000000000000E+03    7.320000000000000E+02
                       63    1.921000000000000E+03    7.320000000000000E+02
                       62    1.913000000000000E+03    6.300000000000000E+02
                      105    1.780000000000000E+03    3.700000000000000E+02
                       59    1.732000000000000E+03    1.890000000000000E+02
                       56    1.614000000000000E+03    2.910000000000000E+02
                       55    1.551000000000000E+03    2.910000000000000E+02
                       50    1.488000000000000E+03    2.910000000000000E+02
                       48    1.425000000000000E+03    2.910000000000000E+02
                       45    1.362000000000000E+03    2.910000000000000E+02
                       49    1.417000000000000E+03    1.730000000000000E+02
                       40    1.276000000000000E+03    2.050000000000000E+02
                      104    1.165000000000000E+03    3.700000000000000E+02
                       44    1.362000000000000E+03    4.960000000000000E+02
                       47    1.425000000000000E+03    4.960000000000000E+02
                       51    1.488000000000000E+03    4.960000000000000E+02
                       54    1.551000000000000E+03    4.960000000000000E+02
                       57    1.614000000000000E+03    4.960000000000000E+02
                       58    1.614000000000000E+03    6.540000000000000E+02
                       53    1.551000000000000E+03    6.540000000000000E+02
                       52    1.488000000000000E+03    6.540000000000000E+02
                       46    1.425000000000000E+03    6.540000000000000E+02
                       43    1.362000000000000E+03    6.540000000000000E+02
                       41    1.299000000000000E+03    6.300000000000000E+02
                       42    1.307000000000000E+03    7.320000000000000E+02
                       37    1.000000000000000E+03    7.320000000000000E+02
                       36    9.920000000000000E+02    6.300000000000000E+02
                       26    7.090000000000000E+02    6.540000000000000E+02
                       25    6.770000000000000E+02    6.540000000000000E+02
                       18    6.380000000000000E+02    6.540000000000000E+02
                       17    5.910000000000000E+02    7.320000000000000E+02
                       16    5.830000000000000E+02    6.300000000000000E+02
                       27    7.090000000000000E+02    4.960000000000000E+02
                       24    6.770000000000000E+02    4.960000000000000E+02
                       19    6.380000000000000E+02    4.960000000000000E+02
                       12    4.490000000000000E+02    3.700000000000000E+02
                       20    6.380000000000000E+02    3.140000000000000E+02
