#                   50000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    5.129300000000000E-02    2.257928815095891E+04
                       10    1.213062500000000E-01    1.711301878651293E+04
                       20    2.113952500000000E-01    1.564272243050554E+04
                       30    2.941220000000000E-01    1.564272243050554E+04
                       40    3.722400000000000E-01    1.549938304145602E+04
                       50    4.646390000000000E-01    1.549938304145602E+04
                       60    5.441757500000001E-01    1.549938304145602E+04
                       70    6.223342500000000E-01    1.543059071116337E+04
                       80    7.113412500000000E-01    1.543059071116337E+04
                       90    7.921127500000000E-01    1.543059071116337E+04
                      100    8.840755000000000E-01    1.543059071116337E+04
                      110    9.791647500000000E-01    1.541050743183007E+04
                      120    1.059735500000000E+00    1.541050743183007E+04
                      130    1.152069000000000E+00    1.541050743183007E+04
                      140    1.230732750000000E+00    1.541050743183007E+04
                      150    1.319868000000000E+00    1.541050743183007E+04
                      160    1.406113500000000E+00    1.541050743183007E+04
                      170    1.503174000000000E+00    1.541050743183007E+04
                      180    1.595264500000000E+00    1.541050743183007E+04
                      190    1.678637250000000E+00    1.541050743183007E+04
                      200    1.777076750000000E+00    1.504518087336920E+04
                      210    1.858222750000000E+00    1.504518087336920E+04
                      220    1.951344250000000E+00    1.504518087336920E+04
                      230    2.038565250000000E+00    1.504518087336920E+04
                      240    2.152769500000000E+00    1.488858052536314E+04
                      250    2.244592250000000E+00    1.481461586983279E+04
                      260    2.324960000000000E+00    1.477901805338055E+04
                      270    2.406131750000000E+00    1.468004039572423E+04
                      280    2.494174500000000E+00    1.468004039572423E+04
                      290    2.590207500000000E+00    1.468004039572423E+04
                      300    2.680085250000000E+00    1.468004039572423E+04
                      310    2.769253750000000E+00    1.468004039572423E+04
                      320    2.860511500000000E+00    1.458315730250196E+04
                      330    2.940297000000000E+00    1.458315730250196E+04
                      340    3.019232250000000E+00    1.458315730250196E+04
                      350    3.101034750000000E+00    1.458315730250196E+04
                      360    3.186323500000000E+00    1.458315730250196E+04
                      370    3.268336750000000E+00    1.458315730250196E+04
                      380    3.361767500000000E+00    1.458315730250196E+04
                      390    3.449641500000000E+00    1.458315730250196E+04
                      400    3.531602500000000E+00    1.458315730250196E+04
                      410    3.624718250000000E+00    1.458315730250196E+04
                      420    3.730653250000000E+00    1.458315730250196E+04
                      430    3.820894000000000E+00    1.458315730250196E+04
                      440    3.921798750000000E+00    1.452497902129336E+04
                      450    4.003888000000000E+00    1.452497902129336E+04
                      460    4.082515750000001E+00    1.452497902129336E+04
                      470    4.163868500000000E+00    1.452497902129336E+04
                      480    4.246509500000000E+00    1.452497902129336E+04
                      490    4.335061000000000E+00    1.452497902129336E+04
                      500    4.422096000000001E+00    1.452497902129336E+04
                      510    4.520261750000000E+00    1.452497902129336E+04
                      520    4.608479250000000E+00    1.452497902129336E+04
                      530    4.697539500000000E+00    1.452497902129336E+04
                      540    4.786264000000000E+00    1.452497902129336E+04
                      550    4.864342750000000E+00    1.449768345456933E+04
                      560    4.942062250000000E+00    1.449768345456933E+04
                      570    5.029412250000000E+00    1.449768345456933E+04
                      580    5.110360750000001E+00    1.449768345456933E+04
                      590    5.200038250000000E+00    1.449768345456933E+04
                      600    5.278574000000001E+00    1.449768345456933E+04
                      610    5.376172750000000E+00    1.449768345456933E+04
                      620    5.465840750000000E+00    1.449768345456933E+04
                      630    5.545547000000000E+00    1.449768345456933E+04
                      640    5.629141000000001E+00    1.449768345456933E+04
                      650    5.705189000000001E+00    1.449768345456933E+04
                      660    5.788645000000001E+00    1.449768345456933E+04
                      670    5.864832000000001E+00    1.449768345456933E+04
                      680    5.950022750000000E+00    1.449768345456933E+04
                      690    6.033970500000001E+00    1.449768345456933E+04
                      700    6.113138750000000E+00    1.449768345456933E+04
                      710    6.203947500000000E+00    1.449768345456933E+04
                      720    6.288653750000000E+00    1.449768345456933E+04
                      730    6.367908000000000E+00    1.449768345456933E+04
                      740    6.464468000000000E+00    1.449768345456933E+04
                      750    6.548809500000000E+00    1.449768345456933E+04
                      760    6.638015500000001E+00    1.449768345456933E+04
                      770    6.722138750000000E+00    1.449768345456933E+04
                      780    6.800118250000001E+00    1.449768345456933E+04
                      790    6.879617750000000E+00    1.449768345456933E+04
                      800    6.960054000000000E+00    1.449768345456933E+04
                      810    7.047274250000000E+00    1.449768345456933E+04
                      820    7.141888000000001E+00    1.449768345456933E+04
                      830    7.232556750000001E+00    1.449768345456933E+04
                      840    7.310430500000001E+00    1.449768345456933E+04
                      850    7.415403250000001E+00    1.449768345456933E+04
                      860    7.518807500000000E+00    1.449768345456933E+04
                      870    7.610986000000000E+00    1.449768345456933E+04
                      880    7.708667000000000E+00    1.449768345456933E+04
                      890    7.787966250000000E+00    1.449768345456933E+04
                      900    7.868497750000000E+00    1.449768345456933E+04
