#                   Stadt             x-Koordinate             y-Koordinate
                       36    5.100000000000000E+03    4.700000000000000E+03
                       37    5.000000000000000E+03    4.700000000000000E+03
                       35    5.000000000000000E+03    5.000000000000000E+03
                       34    5.100000000000000E+03    5.000000000000000E+03
                       33    5.100000000000000E+03    5.300000000000000E+03
                       32    4.500000000000000E+03    5.400000000000000E+03
                       31    4.300000000000000E+03    5.700000000000000E+03
                       30    4.700000000000000E+03    6.100000000000000E+03
                       29    4.500000000000000E+03    6.500000000000000E+03
                       28    3.800000000000000E+03    6.600000000000000E+03
                       27    3.500000000000000E+03    6.400000000000000E+03
                       26    3.300000000000000E+03    6.500000000000000E+03
                       25    3.500000000000000E+03    6.100000000000000E+03
                       24    3.300000000000000E+03    5.900000000000000E+03
                       23    3.500000000000000E+03    5.700000000000000E+03
                       22    3.500000000000000E+03    5.600000000000000E+03
                       21    3.700000000000000E+03    5.800000000000000E+03
                       20    3.800000000000000E+03    5.800000000000000E+03
                       19    3.900000000000000E+03    5.700000000000000E+03
                       18    3.800000000000000E+03    5.500000000000000E+03
                       17    3.500000000000000E+03    5.000000000000000E+03
                       16    3.300000000000000E+03    4.900000000000000E+03
                       15    3.500000000000000E+03    4.800000000000000E+03
                       14    3.500000000000000E+03    4.700000000000000E+03
                       13    3.500000000000000E+03    4.500000000000000E+03
                       12    3.300000000000000E+03    4.300000000000000E+03
                       11    3.500000000000000E+03    4.300000000000000E+03
                       10    3.500000000000000E+03    4.100000000000000E+03
                        9    3.500000000000000E+03    4.000000000000000E+03
                        8    3.500000000000000E+03    3.900000000000000E+03
                        7    3.500000000000000E+03    3.700000000000000E+03
                      152    3.500000000000000E+03    3.600000000000000E+03
                      153    3.500000000000000E+03    3.500000000000000E+03
                        6    3.300000000000000E+03    3.500000000000000E+03
                        5    3.500000000000000E+03    3.300000000000000E+03
                        4    3.500000000000000E+03    3.100000000000000E+03
                        2    3.500000000000000E+03    2.900000000000000E+03
                        3    3.300000000000000E+03    2.900000000000000E+03
                        1    3.300000000000000E+03    2.200000000000000E+03
                      159    3.500000000000000E+03    2.400000000000000E+03
                      158    3.900000000000000E+03    3.000000000000000E+03
                      157    3.800000000000000E+03    3.200000000000000E+03
                      156    3.700000000000000E+03    3.200000000000000E+03
                      155    3.800000000000000E+03    3.500000000000000E+03
                      154    3.700000000000000E+03    3.500000000000000E+03
                      151    3.700000000000000E+03    3.700000000000000E+03
                      150    3.900000000000000E+03    3.800000000000000E+03
                      149    3.800000000000000E+03    4.000000000000000E+03
                      148    3.700000000000000E+03    3.900000000000000E+03
                      147    3.700000000000000E+03    4.000000000000000E+03
                      146    3.700000000000000E+03    4.100000000000000E+03
                      145    3.800000000000000E+03    4.300000000000000E+03
                      144    3.700000000000000E+03    4.300000000000000E+03
                      143    3.700000000000000E+03    4.400000000000000E+03
                      142    3.900000000000000E+03    4.600000000000000E+03
                      141    4.100000000000000E+03    4.400000000000000E+03
                      139    4.300000000000000E+03    4.400000000000000E+03
                      140    4.300000000000000E+03    4.600000000000000E+03
                      138    4.700000000000000E+03    4.700000000000000E+03
                      137    4.700000000000000E+03    4.400000000000000E+03
                      136    5.000000000000000E+03    4.200000000000000E+03
                      135    5.100000000000000E+03    4.200000000000000E+03
                      133    5.000000000000000E+03    3.900000000000000E+03
                      134    5.100000000000000E+03    3.900000000000000E+03
                      132    5.200000000000000E+03    3.700000000000000E+03
                      131    5.000000000000000E+03    3.400000000000000E+03
                      128    5.000000000000000E+03    3.100000000000000E+03
                      127    4.700000000000000E+03    2.900000000000000E+03
                      126    4.300000000000000E+03    2.600000000000000E+03
                      125    4.700000000000000E+03    2.100000000000000E+03
                      129    5.100000000000000E+03    2.900000000000000E+03
                      124    5.300000000000000E+03    2.800000000000000E+03
                      130    5.300000000000000E+03    3.100000000000000E+03
                      123    5.900000000000000E+03    3.500000000000000E+03
                      122    6.100000000000000E+03    3.500000000000000E+03
                      121    6.300000000000000E+03    3.500000000000000E+03
                      120    6.500000000000000E+03    3.500000000000000E+03
                      119    6.700000000000000E+03    3.500000000000000E+03
                      118    6.700000000000000E+03    2.900000000000000E+03
                      117    6.500000000000000E+03    2.900000000000000E+03
                      116    6.300000000000000E+03    2.900000000000000E+03
                      115    6.100000000000000E+03    2.900000000000000E+03
                      114    5.900000000000000E+03    2.900000000000000E+03
                      113    5.900000000000000E+03    2.300000000000000E+03
                      112    6.100000000000000E+03    2.300000000000000E+03
                      111    6.300000000000000E+03    2.300000000000000E+03
                      110    6.500000000000000E+03    2.300000000000000E+03
                      109    6.700000000000000E+03    2.300000000000000E+03
                      108    6.900000000000000E+03    2.200000000000000E+03
                       93    7.300000000000000E+03    2.800000000000000E+03
                       92    7.300000000000000E+03    3.000000000000000E+03
                       91    7.400000000000000E+03    3.400000000000000E+03
                       90    7.600000000000000E+03    3.400000000000000E+03
                       89    7.800000000000000E+03    3.400000000000000E+03
                       94    7.700000000000000E+03    3.200000000000000E+03
                       88    8.000000000000000E+03    3.200000000000000E+03
                       87    8.200000000000000E+03    3.200000000000000E+03
                       96    8.100000000000000E+03    3.000000000000000E+03
                       95    8.000000000000000E+03    2.900000000000000E+03
                      107    7.800000000000000E+03    2.100000000000000E+03
                      106    8.200000000000000E+03    2.100000000000000E+03
                      105    8.500000000000000E+03    2.300000000000000E+03
                      104    8.500000000000000E+03    2.400000000000000E+03
                      103    8.500000000000000E+03    2.500000000000000E+03
                      102    8.500000000000000E+03    2.600000000000000E+03
                      101    8.500000000000000E+03    2.700000000000000E+03
                      100    8.500000000000000E+03    2.800000000000000E+03
                       99    8.500000000000000E+03    2.900000000000000E+03
                       98    8.500000000000000E+03    3.000000000000000E+03
                       97    8.500000000000000E+03    3.100000000000000E+03
                       86    8.500000000000000E+03    3.400000000000000E+03
                       85    8.500000000000000E+03    3.500000000000000E+03
                       84    8.500000000000000E+03    3.600000000000000E+03
                       83    8.500000000000000E+03    3.700000000000000E+03
                       82    8.500000000000000E+03    3.800000000000000E+03
                       81    8.500000000000000E+03    3.900000000000000E+03
                       80    8.500000000000000E+03    4.000000000000000E+03
                       79    8.500000000000000E+03    4.100000000000000E+03
                       78    8.500000000000000E+03    4.200000000000000E+03
                       77    8.100000000000000E+03    4.000000000000000E+03
                       76    8.000000000000000E+03    4.300000000000000E+03
                       75    7.700000000000000E+03    4.300000000000000E+03
                       74    7.800000000000000E+03    4.600000000000000E+03
                       73    8.200000000000000E+03    4.600000000000000E+03
                       72    8.500000000000000E+03    4.500000000000000E+03
                       71    8.500000000000000E+03    4.600000000000000E+03
                       70    8.500000000000000E+03    4.700000000000000E+03
                       69    8.500000000000000E+03    4.800000000000000E+03
                       68    8.500000000000000E+03    4.900000000000000E+03
                       67    8.500000000000000E+03    5.000000000000000E+03
                       66    8.500000000000000E+03    5.100000000000000E+03
                       65    8.500000000000000E+03    5.200000000000000E+03
                       64    8.500000000000000E+03    5.300000000000000E+03
                       63    8.200000000000000E+03    5.700000000000000E+03
                       62    8.500000000000000E+03    5.700000000000000E+03
                       61    8.500000000000000E+03    6.000000000000000E+03
                       60    8.500000000000000E+03    6.300000000000000E+03
                       59    8.100000000000000E+03    6.600000000000000E+03
                       58    7.700000000000000E+03    6.600000000000000E+03
                       57    7.600000000000000E+03    6.500000000000000E+03
                       56    7.300000000000000E+03    6.500000000000000E+03
                       55    7.300000000000000E+03    6.200000000000000E+03
                       54    7.800000000000000E+03    5.700000000000000E+03
                       53    7.700000000000000E+03    5.500000000000000E+03
                       52    7.400000000000000E+03    5.100000000000000E+03
                       51    7.300000000000000E+03    4.700000000000000E+03
                       50    7.300000000000000E+03    4.500000000000000E+03
                       49    7.000000000000000E+03    4.500000000000000E+03
                       48    6.900000000000000E+03    4.100000000000000E+03
                       47    6.700000000000000E+03    4.100000000000000E+03
                       46    6.500000000000000E+03    4.100000000000000E+03
                       45    6.300000000000000E+03    4.100000000000000E+03
                       44    6.100000000000000E+03    3.900000000000000E+03
                       43    5.900000000000000E+03    4.100000000000000E+03
                       42    5.700000000000000E+03    3.900000000000000E+03
                       41    5.500000000000000E+03    4.100000000000000E+03
                       40    5.600000000000000E+03    4.400000000000000E+03
                       39    5.500000000000000E+03    4.400000000000000E+03
                       38    5.200000000000000E+03    4.500000000000000E+03
                       36    5.100000000000000E+03    4.700000000000000E+03
