#                   50000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    4.036950000000000E-02    6.816701917297812E+04
                       10    2.212000000000000E-01    5.259779670745447E+04
                       20    3.948024999999999E-01    5.259779670745447E+04
                       30    5.544555000000000E-01    4.935632816372500E+04
                       40    7.072990000000000E-01    4.782332276529688E+04
                       50    8.563625000000000E-01    4.782332276529688E+04
                       60    9.951307500000000E-01    4.782332276529688E+04
                       70    1.129689000000000E+00    4.762134628151318E+04
                       80    1.266630250000000E+00    4.747056940975902E+04
                       90    1.406670750000000E+00    4.724073766971251E+04
                      100    1.541763000000000E+00    4.724073766971251E+04
                      110    1.675288000000000E+00    4.530107958335884E+04
                      120    1.810108750000000E+00    4.530107958335884E+04
                      130    1.947249000000000E+00    4.452514452695887E+04
                      140    2.082667000000000E+00    4.443745508952063E+04
                      150    2.218796500000000E+00    4.439024149402068E+04
                      160    2.358298500000000E+00    4.439024149402068E+04
                      170    2.490516500000000E+00    4.439024149402068E+04
                      180    2.624778500000000E+00    4.439024149402068E+04
                      190    2.757958250000000E+00    4.439024149402068E+04
                      200    2.892887500000000E+00    4.439024149402068E+04
                      210    3.026434500000000E+00    4.439024149402068E+04
                      220    3.159881000000000E+00    4.439024149402068E+04
                      230    3.291936250000000E+00    4.439024149402068E+04
                      240    3.427384750000000E+00    4.439024149402068E+04
                      250    3.558249750000000E+00    4.439024149402068E+04
                      260    3.690452250000000E+00    4.439024149402068E+04
                      270    3.823664000000000E+00    4.439024149402068E+04
                      280    3.955112250000000E+00    4.439024149402068E+04
                      290    4.088375750000000E+00    4.439024149402068E+04
                      300    4.221089000000000E+00    4.439024149402068E+04
                      310    4.356385750000000E+00    4.439024149402068E+04
                      320    4.487927000000000E+00    4.439024149402068E+04
                      330    4.620180750000000E+00    4.439024149402068E+04
                      340    4.750985500000000E+00    4.439024149402068E+04
                      350    4.883113250000000E+00    4.439024149402068E+04
                      360    5.014829250000000E+00    4.413938453412626E+04
                      370    5.147478000000000E+00    4.413938453412626E+04
                      380    5.281582500000000E+00    4.413938453412626E+04
                      390    5.422485000000000E+00    4.389210395698588E+04
                      400    5.555516250000000E+00    4.389210395698588E+04
                      410    5.689426000000000E+00    4.389210395698588E+04
                      420    5.822210250000000E+00    4.389210395698588E+04
                      430    5.955022500000000E+00    4.389210395698588E+04
                      440    6.088886250000000E+00    4.389210395698588E+04
                      450    6.221301750000000E+00    4.389210395698588E+04
                      460    6.352484000000000E+00    4.389210395698588E+04
                      470    6.488757000000001E+00    4.389210395698588E+04
                      480    6.619913750000000E+00    4.389210395698588E+04
                      490    6.751871000000000E+00    4.389210395698588E+04
                      500    6.885505250000000E+00    4.389210395698588E+04
                      510    7.017526750000000E+00    4.389210395698588E+04
                      520    7.147846250000000E+00    4.389210395698588E+04
                      530    7.278696750000000E+00    4.389210395698588E+04
                      540    7.415315500000000E+00    4.389210395698588E+04
                      550    7.547212500000000E+00    4.389210395698588E+04
                      560    7.678166250000000E+00    4.389210395698588E+04
                      570    7.808713000000000E+00    4.389210395698588E+04
