#                   50000                    lines
#       Iterationsschritt                     Zeit       Bester Fitnesswert
                        1    2.896650000000000E-02    6.719126479387253E+04
                       10    1.544550000000000E-01    5.295204740285328E+04
                       20    2.630680000000000E-01    5.209661299673343E+04
                       30    3.671905000000000E-01    5.119158569438125E+04
                       40    4.704035000000000E-01    4.943962595823428E+04
                       50    5.648642500000001E-01    4.829752594107868E+04
                       60    6.599732500000001E-01    4.829752594107868E+04
                       70    7.514570000000000E-01    4.829752594107868E+04
                       80    8.460455000000000E-01    4.829752594107868E+04
                       90    9.365060000000001E-01    4.712545462893403E+04
                      100    1.025638750000000E+00    4.712545462893403E+04
                      110    1.117005750000000E+00    4.712545462893403E+04
                      120    1.204428750000000E+00    4.708600862671204E+04
                      130    1.292278500000000E+00    4.696115294336875E+04
                      140    1.376712750000000E+00    4.696115294336875E+04
                      150    1.460799000000000E+00    4.696115294336875E+04
                      160    1.541687750000000E+00    4.696115294336875E+04
                      170    1.622630250000000E+00    4.696115294336875E+04
                      180    1.705341500000000E+00    4.696115294336875E+04
                      190    1.788051750000000E+00    4.696115294336875E+04
                      200    1.873201500000000E+00    4.678541701208069E+04
                      210    1.954400250000000E+00    4.678541701208069E+04
                      220    2.035375250000000E+00    4.678541701208069E+04
                      230    2.116181500000000E+00    4.678541701208069E+04
                      240    2.196785250000000E+00    4.678541701208069E+04
                      250    2.277205000000000E+00    4.678541701208069E+04
                      260    2.360060000000000E+00    4.671454121696258E+04
                      270    2.442375500000000E+00    4.662361289994576E+04
                      280    2.527663000000000E+00    4.483435422997797E+04
                      290    2.608029000000000E+00    4.466147215785313E+04
                      300    2.686118500000000E+00    4.457054384083631E+04
                      310    2.766828250000000E+00    4.457054384083631E+04
                      320    2.848309250000000E+00    4.457054384083631E+04
                      330    2.931280750000000E+00    4.457054384083631E+04
                      340    3.015946500000000E+00    4.457054384083631E+04
                      350    3.100909000000000E+00    4.457054384083631E+04
                      360    3.185795250000000E+00    4.457054384083631E+04
                      370    3.270250250000000E+00    4.457054384083631E+04
