#                   50000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    4.036950000000000E-02    4.326680970719140E+05
                       10    2.212000000000000E-01    1.823848301500471E+05
                       20    3.948024999999999E-01    7.142544596497856E+04
                       30    5.544555000000000E-01    5.911894839132392E+04
                       40    7.072990000000000E-01    5.539799304407519E+04
                       50    8.563625000000000E-01    5.400060974008698E+04
                       60    9.951307500000000E-01    5.342726319077059E+04
                       70    1.129689000000000E+00    5.279432438246564E+04
                       80    1.266630250000000E+00    5.241872852247603E+04
                       90    1.406670750000000E+00    5.166642488105105E+04
                      100    1.541763000000000E+00    5.166385234830038E+04
                      110    1.675288000000000E+00    5.172909618281095E+04
                      120    1.810108750000000E+00    5.149563881512503E+04
                      130    1.947249000000000E+00    5.049658024166340E+04
                      140    2.082667000000000E+00    5.040363235834779E+04
                      150    2.218796500000000E+00    4.984026707312731E+04
                      160    2.358298500000000E+00    4.962247293323930E+04
                      170    2.490516500000000E+00    5.014354074129746E+04
                      180    2.624778500000000E+00    4.938508949992063E+04
                      190    2.757958250000000E+00    4.963537567089099E+04
                      200    2.892887500000000E+00    4.929203737089395E+04
                      210    3.026434500000000E+00    4.921779678183176E+04
                      220    3.159881000000000E+00    4.915592738614057E+04
                      230    3.291936250000000E+00    4.912377298284628E+04
                      240    3.427384750000000E+00    4.908319225519960E+04
                      250    3.558249750000000E+00    4.913823986441013E+04
                      260    3.690452250000000E+00    4.930659830506434E+04
                      270    3.823664000000000E+00    4.959147972835107E+04
                      280    3.955112250000000E+00    4.937360793348632E+04
                      290    4.088375750000000E+00    4.924562249443735E+04
                      300    4.221089000000000E+00    4.906317520229476E+04
                      310    4.356385750000000E+00    4.897649566542507E+04
                      320    4.487927000000000E+00    4.869796804041832E+04
                      330    4.620180750000000E+00    4.909022700165602E+04
                      340    4.750985500000000E+00    4.881494615814953E+04
                      350    4.883113250000000E+00    4.883720210974771E+04
                      360    5.014829250000000E+00    4.895818695746092E+04
                      370    5.147478000000000E+00    4.880124615716996E+04
                      380    5.281582500000000E+00    4.910374258422361E+04
                      390    5.422485000000000E+00    4.876099572813163E+04
                      400    5.555516250000000E+00    4.856436752230259E+04
                      410    5.689426000000000E+00    4.859344448161148E+04
                      420    5.822210250000000E+00    4.862488178199636E+04
                      430    5.955022500000000E+00    4.858988008919673E+04
                      440    6.088886250000000E+00    4.837002753503942E+04
                      450    6.221301750000000E+00    4.884354100805840E+04
                      460    6.352484000000000E+00    4.851615580655832E+04
                      470    6.488757000000001E+00    4.856651703944498E+04
                      480    6.619913750000000E+00    4.849658800178622E+04
                      490    6.751871000000000E+00    4.861928104819411E+04
                      500    6.885505250000000E+00    4.796404769532537E+04
                      510    7.017526750000000E+00    4.815634147730721E+04
                      520    7.147846250000000E+00    4.830216038106436E+04
                      530    7.278696750000000E+00    4.795109088329790E+04
                      540    7.415315500000000E+00    4.785427404193010E+04
                      550    7.547212500000000E+00    4.790424027200663E+04
                      560    7.678166250000000E+00    4.792829226469945E+04
