#                   50000                    lines
#       Iterationsschritt                     Zeit                <Fitness>
                        1    3.166325000000000E-02    4.304206879195482E+05
                       10    1.591590000000000E-01    1.744115835048090E+05
                       20    2.736967500000000E-01    8.096917292404670E+04
                       30    3.847305000000000E-01    7.080314342607613E+04
                       40    4.894025000000000E-01    6.629790666303430E+04
                       50    5.904215000000000E-01    6.302088534127880E+04
                       60    6.932507500000000E-01    6.182247949045137E+04
                       70    7.973435000000000E-01    6.028514186698798E+04
                       80    8.960522500000000E-01    5.929265359072539E+04
                       90    9.877737500000000E-01    5.830428584735003E+04
                      100    1.073212250000000E+00    5.819291308543896E+04
                      110    1.159534000000000E+00    5.743981336138427E+04
                      120    1.243992000000000E+00    5.734518875656321E+04
                      130    1.325919250000000E+00    5.691820659680989E+04
                      140    1.410133750000000E+00    5.606767200158854E+04
                      150    1.497746750000000E+00    5.561212810058326E+04
                      160    1.589993000000000E+00    5.613490207420781E+04
                      170    1.684755000000000E+00    5.581159316459866E+04
                      180    1.780155000000000E+00    5.542640047117372E+04
                      190    1.876005250000000E+00    5.492038259839641E+04
                      200    1.968975250000000E+00    5.536855036976763E+04
                      210    2.056806750000000E+00    5.580834306271585E+04
                      220    2.139322500000000E+00    5.460033199826968E+04
                      230    2.219681000000000E+00    5.542331218116267E+04
                      240    2.300267750000000E+00    5.422504995239212E+04
                      250    2.380453750000000E+00    5.427116055729237E+04
                      260    2.461599750000000E+00    5.385555473097187E+04
                      270    2.542870250000000E+00    5.394503404971220E+04
                      280    2.626227500000000E+00    5.352182848480453E+04
                      290    2.708412500000000E+00    5.402264117442996E+04
                      300    2.789706000000000E+00    5.469373035483735E+04
                      310    2.870399000000000E+00    5.351396375048075E+04
                      320    2.949982250000000E+00    5.273713542166963E+04
                      330    3.031680500000000E+00    5.380595014488935E+04
                      340    3.114062750000000E+00    5.359993388325079E+04
                      350    3.197118500000000E+00    5.366574421152254E+04
                      360    3.281024250000000E+00    5.330586482832342E+04
                      370    3.365477000000000E+00    5.337569972746778E+04
                      380    3.455384000000000E+00    5.396524193941434E+04
                      390    3.547846750000000E+00    5.320847890266639E+04
                      400    3.638221500000000E+00    5.275979349130009E+04
                      410    3.727118750000000E+00    5.388233051164702E+04
                      420    3.814270000000000E+00    5.247178839234882E+04
                      430    3.899143250000000E+00    5.330227745933237E+04
                      440    3.981834750000000E+00    5.318761380364645E+04
                      450    4.066222750000001E+00    5.380070358692764E+04
                      460    4.150579250000000E+00    5.246767005288681E+04
                      470    4.235614250000000E+00    5.445981899665435E+04
                      480    4.319882250000000E+00    5.341095920128639E+04
                      490    4.401196750000000E+00    5.348336229946194E+04
                      500    4.481683000000000E+00    5.291440123161320E+04
                      510    4.561750750000000E+00    5.370920889119237E+04
                      520    4.640938250000000E+00    5.278194816270679E+04
                      530    4.720924500000000E+00    5.268285800152618E+04
                      540    4.801131000000000E+00    5.337404000627363E+04
                      550    4.881782750000000E+00    5.378075339534230E+04
                      560    4.963519500000000E+00    5.386641348394567E+04
                      570    5.044386500000000E+00    5.349473974883652E+04
                      580    5.125017250000000E+00    5.331132384839144E+04
                      590    5.207299500000000E+00    5.353636874805113E+04
                      600    5.288749500000000E+00    5.282645453003625E+04
                      610    5.369671750000000E+00    5.254902098645159E+04
                      620    5.451693500000000E+00    5.231886573341681E+04
                      630    5.532927000000000E+00    5.330005079607748E+04
                      640    5.614784750000000E+00    5.288251473656342E+04
                      650    5.697161000000000E+00    5.284415574340608E+04
                      660    5.778153500000000E+00    5.260598817997024E+04
                      670    5.858885250000000E+00    5.254648859166485E+04
                      680    5.940124250000000E+00    5.322290671116230E+04
                      690    6.020711000000000E+00    5.150454488985524E+04
                      700    6.101306000000000E+00    5.151894454755801E+04
                      710    6.181797250000000E+00    5.203784392687079E+04
                      720    6.261951000000000E+00    5.216053750514806E+04
                      730    6.341956750000000E+00    5.285632243826162E+04
                      740    6.422556000000000E+00    5.248817231839726E+04
                      750    6.502814000000000E+00    5.296588638790880E+04
                      760    6.582532500000000E+00    5.196253817903654E+04
                      770    6.665029000000000E+00    5.227225161193990E+04
                      780    6.746824250000000E+00    5.219625708135121E+04
                      790    6.824901750000000E+00    5.200525277520034E+04
                      800    6.905611250000000E+00    5.299173772863304E+04
                      810    6.986743750000000E+00    5.162621870593996E+04
                      820    7.066775250000000E+00    5.157453247371236E+04
                      830    7.147208500000001E+00    5.208120594039476E+04
                      840    7.229392250000000E+00    5.151053483480804E+04
                      850    7.313370500000000E+00    5.194811579133592E+04
                      860    7.400697750000000E+00    5.258862169436543E+04
                      870    7.489593000000000E+00    5.306147938933378E+04
                      880    7.576273000000000E+00    5.224447892644924E+04
                      890    7.658055500000001E+00    5.177214574207744E+04
                      900    7.745841750000000E+00    5.185764115523828E+04
                      910    7.833569500000000E+00    5.166968789244155E+04
                      920    7.916586250000000E+00    5.221421127254706E+04
                      930    8.001750749999999E+00    5.274429257480020E+04
                      940    8.084739749999999E+00    5.216596894767894E+04
                      950    8.167189499999999E+00    5.127265356262433E+04
                      960    8.248692999999999E+00    5.253134322470334E+04
                      970    8.329180999999998E+00    5.275501944764562E+04
                      980    8.411390500000000E+00    5.301440542205924E+04
                      990    8.491147750000000E+00    5.270736918029299E+04
                     1000    8.571331499999999E+00    5.288724134106194E+04
                     1010    8.654047250000000E+00    5.149181236461882E+04
                     1020    8.742271499999999E+00    5.204007795186278E+04
                     1030    8.829607500000000E+00    5.227095944036800E+04
                     1040    8.917681999999999E+00    5.257677049103300E+04
                     1050    9.000675999999999E+00    5.136607460421076E+04
                     1060    9.085652000000000E+00    5.147933665513550E+04
                     1070    9.170639249999999E+00    5.223368359763290E+04
                     1080    9.258193499999999E+00    5.240312393151502E+04
                     1090    9.345617749999999E+00    5.242605042346094E+04
                     1100    9.427195500000000E+00    5.257682363404435E+04
                     1110    9.506923749999999E+00    5.177745698495384E+04
                     1120    9.585326749999998E+00    5.171824878828141E+04
                     1130    9.663660750000000E+00    5.186835512591428E+04
                     1140    9.742759500000000E+00    5.188706365354299E+04
                     1150    9.821283500000000E+00    5.182583764763395E+04
                     1160    9.899789250000000E+00    5.142379220136526E+04
                     1170    9.979048749999999E+00    5.147146672701403E+04
                     1180    1.005834925000000E+01    5.158721761988004E+04
                     1190    1.013618250000000E+01    5.133592766287010E+04
                     1200    1.021546375000000E+01    5.173245908118226E+04
                     1210    1.029422725000000E+01    5.258166859087806E+04
                     1220    1.037364500000000E+01    5.170196209664240E+04
                     1230    1.045260450000000E+01    5.230210544311711E+04
                     1240    1.053301125000000E+01    5.110956646349053E+04
                     1250    1.061326500000000E+01    5.143235300761828E+04
